external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Göteborg,away,Oscar Vilhelmsson,Carl Johansson,51,51,35.0,58.0,0,3,pass accurate,,-0.0039105920314679715,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,IFK Göteborg,away,Carl Johansson,,35,48,77.0,34.0,2,5,pass inaccurate,,,0.44025575889791935,1,False,False,False,nan,nan,nan,,nan
2,Degerfors IF,home,Oliver Ekroth,Alfie Malik Whiteman,23,66,9.0,45.0,5,8,pass accurate,,0.00042809364519768786,0.9329569701129256,1,False,False,False,nan,nan,nan,,nan
3,Degerfors IF,home,Alfie Malik Whiteman,Oliver Ekroth,9,49,10.0,70.0,15,18,pass accurate,,-0.0015684386635658881,0.9110734499787234,1,False,False,False,nan,nan,nan,,nan
4,Degerfors IF,home,Oliver Ekroth,Abdelrahman Saidi,9,70,31.0,73.0,17,20,pass accurate,,0.0024228298661596124,0.7679163555994749,1,False,False,False,nan,nan,nan,,nan
5,Degerfors IF,home,Abdelrahman Saidi,,39,58,94.0,41.0,23,26,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
6,Degerfors IF,home,Abdelrahman Saidi,,39,58,94.0,41.0,23,26,pass inaccurate,,,0.3384425296544011,1,False,False,False,nan,nan,nan,,nan
7,IFK Göteborg,away,Ioannis Anestis,,6,59,58.0,92.0,50,60,pass inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
8,IFK Göteborg,away,Ioannis Anestis,,6,59,58.0,92.0,50,60,goalkeeper kick inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
9,Degerfors IF,home,Adam Carlén,,42,8,43.0,9.0,60,63,pass inaccurate,,,0.16114791168565518,2,False,False,False,nan,nan,nan,,nan
10,Degerfors IF,home,Adam Carlén,,43,9,,,60,63,air challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
11,Degerfors IF,home,Adam Carlén,,43,9,,,60,63,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
12,IFK Göteborg,away,August Erlingmark,,57,91,,,60,63,air challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
13,IFK Göteborg,away,August Erlingmark,,57,91,,,60,63,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
14,IFK Göteborg,away,Oscar Wendt,August Erlingmark,43,80,45.0,88.0,64,67,pass accurate,,-0.0016237188844384545,0.7932398159456352,2,False,False,False,nan,nan,nan,,nan
15,IFK Göteborg,away,August Erlingmark,,46,88,66.0,65.0,64,67,pass inaccurate,,,0.6907283609058956,2,False,False,False,nan,nan,nan,,nan
16,Degerfors IF,home,Oliver Ekroth,,34,35,34.0,35.0,67,70,pass inaccurate,,,0.2580122557114815,2,False,False,False,nan,nan,nan,,nan
17,Degerfors IF,home,Victor Edvardsen,,98,27,,,68,78,penalty box entry unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
18,IFK Göteborg,away,Gustav Svensson,,56,57,58.0,51.0,68,71,pass inaccurate,,,0.6301978309798063,2,False,False,False,nan,nan,nan,,nan
