external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Göteborg,home,Marcus Berg,Kevin Yakob,51,50,47.0,50.0,0,2,pass accurate,,-0.0024020638852423268,0.6868242121666164,1,False,False,False,nan,nan,nan,,nan
1,IFK Göteborg,home,Kevin Yakob,,48,51,97.0,49.0,1,3,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
2,IFK Göteborg,home,Kevin Yakob,,48,51,97.0,49.0,1,3,pass inaccurate,,,0.1725424148950127,1,False,False,False,nan,nan,nan,,nan
3,Kalmar FF,away,Tobias Andersson,Rasmus Sjöstedt,3,51,5.0,73.0,14,24,pass accurate,,,,1,False,False,False,nan,nan,nan,,nan
4,Kalmar FF,away,Tobias Andersson,Rasmus Sjöstedt,3,51,5.0,73.0,14,24,goalkeeper kick accurate,,,,1,False,False,False,nan,nan,nan,,nan
5,Kalmar FF,away,Rasmus Sjöstedt,Sebastian Ring,8,74,9.0,92.0,20,22,pass accurate,,-0.0005152385428955995,0.9205228746528532,1,False,False,False,nan,nan,nan,,nan
6,Kalmar FF,away,Sebastian Ring,Oliver Berg,9,85,18.0,74.0,22,24,pass accurate,,0.002106691391938356,0.9112335515838063,1,False,False,False,nan,nan,nan,,nan
7,Kalmar FF,away,Oliver Berg,Rasmus Sjöstedt,17,72,4.0,74.0,22,24,pass accurate,,-0.0029336916384656783,0.9203094189184302,1,False,False,False,nan,nan,nan,,nan
8,Kalmar FF,away,Rasmus Sjöstedt,,4,73,33.0,76.0,24,26,pass inaccurate,,,0.7118833938042486,1,False,False,False,nan,nan,nan,,nan
9,IFK Göteborg,home,Carl Johansson,Oscar Vilhelmsson,67,24,80.0,28.0,26,28,pass accurate,,0.007517909892408754,0.6227037847291943,1,False,False,False,nan,nan,nan,,nan
10,IFK Göteborg,home,Oscar Vilhelmsson,,81,27,88.0,29.0,28,30,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
11,IFK Göteborg,home,Oscar Vilhelmsson,,81,27,88.0,29.0,28,30,pass inaccurate,,,0.6008273706342597,1,False,False,False,nan,nan,nan,,nan
12,Kalmar FF,away,Rasmus Sjöstedt,Sebastian Ring,12,71,12.0,81.0,29,31,pass accurate,,-0.0009663463735701556,0.8797337518577286,1,False,False,False,nan,nan,nan,,nan
13,IFK Göteborg,home,Hosam Aiesh,,94,3,,,34,39,tackle unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
14,IFK Göteborg,home,Hosam Aiesh,,94,3,,,34,39,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
15,Kalmar FF,away,Sebastian Ring,Oliver Berg,5,98,10.0,90.0,50,52,pass accurate,,0.0014459941826564637,0.9075280682014785,1,False,False,False,nan,nan,nan,,nan
16,Kalmar FF,away,Oliver Berg,Sebastian Ring,12,91,6.0,93.0,51,53,pass accurate,,-0.0014459941826564637,0.7729306382362162,1,False,False,False,nan,nan,nan,,nan
17,Kalmar FF,away,Sebastian Ring,Piotr Johansson,5,95,13.0,32.0,52,54,pass accurate,,0.004513987444045353,0.9200235750520116,1,False,False,False,nan,nan,nan,,nan
18,Kalmar FF,away,Piotr Johansson,Romario Pereira Sipiao,46,10,41.0,24.0,64,66,pass accurate,,-0.00014427313560944587,0.8333402153402731,2,False,False,False,nan,nan,nan,,nan
19,Kalmar FF,away,Piotr Johansson,,13,32,46.0,10.0,52,66,carry,,0.0027530823387422187,,1,False,False,False,nan,nan,nan,,nan
20,Kalmar FF,away,Romario Pereira Sipiao,Piotr Johansson,41,21,45.0,10.0,64,66,pass accurate,,0.00014427313560944587,0.8440887383327677,2,False,False,False,nan,nan,nan,,nan
