external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IK Sirius FK,home,Christian Kouakou,Joseph Colley,51,50,28.0,50.0,0,2,pass accurate,,-0.005153687985360585,0.9161791357261458,1,False,False,False,nan,nan,nan,,nan
1,IK Sirius FK,home,Joseph Colley,Marcus Klingenberg Mathisen,29,51,37.0,49.0,2,4,pass accurate,,0.0013303679972444214,0.8430462501865745,1,False,False,False,nan,nan,nan,,nan
2,IK Sirius FK,home,Marcus Klingenberg Mathisen,Tim Björkström,38,42,30.0,24.0,5,7,pass accurate,,-0.002296354815537133,0.9121279654433834,1,False,False,False,nan,nan,nan,,nan
3,IK Sirius FK,home,Tim Björkström,,28,9,89.0,35.0,8,10,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
4,IK Sirius FK,home,Tim Björkström,,28,9,89.0,35.0,8,10,pass inaccurate,,,0.3002194855503533,1,False,False,False,nan,nan,nan,,nan
5,Kalmar FF,away,Lucas Hägg Johansson,Lars Saetra,11,65,21.0,27.0,13,15,pass accurate,,0.0015509676021901782,0.9079753358291264,1,False,False,False,nan,nan,nan,,nan
6,Kalmar FF,away,Lars Saetra,Lucas Hägg Johansson,25,22,4.0,37.0,18,20,pass accurate,,-0.002431935966555698,0.9320542947832422,1,False,False,False,nan,nan,nan,,nan
7,Kalmar FF,away,Lucas Hägg Johansson,,5,37,23.0,2.0,21,23,pass inaccurate,,,0.9396439554515164,1,False,False,False,nan,nan,nan,,nan
8,IK Sirius FK,home,Axel Björnström,Jamie Roche,77,98,63.0,94.0,32,34,pass accurate,,-0.009613284787725596,0.8542256720889345,1,False,False,False,nan,nan,nan,,nan
9,IK Sirius FK,home,Jamie Roche,Joseph Colley,59,95,45.0,70.0,35,37,pass accurate,,-0.002220083527312223,0.8600750341183492,1,False,False,False,nan,nan,nan,,nan
10,IK Sirius FK,home,Joseph Colley,,44,65,56.0,45.0,37,39,pass inaccurate,,,0.7298763686299669,1,False,False,False,nan,nan,nan,,nan
11,Kalmar FF,away,Romario Pereira Sipiao,,44,55,64.0,69.0,38,40,pass inaccurate,,,0.6873013845992838,1,False,False,False,nan,nan,nan,,nan
12,IK Sirius FK,home,Tim Björkström,Joseph Colley,36,31,39.0,48.0,41,43,pass accurate,,0.0002644216839887033,0.8335412710396295,1,False,False,False,nan,nan,nan,,nan
13,IK Sirius FK,home,Joseph Colley,Jamie Roche,46,55,46.0,91.0,45,47,pass accurate,,-0.002951062582035627,0.8176532637994183,1,False,False,False,nan,nan,nan,,nan
