external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Mjällby AIF,home,Viktor Gustafson,Jesper Gustavsson,49,52,41.0,49.0,0,3,pass accurate,,-0.0014212561028738371,0.8606791863384019,1,False,False,False,nan,nan,nan,,nan
1,Mjällby AIF,home,Jesper Gustavsson,,43,50,78.0,29.0,1,4,pass inaccurate,,,0.4956328405836756,1,False,False,False,nan,nan,nan,,nan
2,IF Elfsborg,away,Maudo Lamine Jarjué,,22,71,,,3,8,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
3,IF Elfsborg,away,Maudo Lamine Jarjué,,22,71,,,3,8,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
4,Mjällby AIF,home,Mamudu Moro,,79,28,,,4,7,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
5,Mjällby AIF,home,Mamudu Moro,,79,28,,,4,7,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
6,IF Elfsborg,away,Maudo Lamine Jarjué,,22,70,,,4,7,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
7,IF Elfsborg,away,Maudo Lamine Jarjué,,22,70,,,4,7,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
8,IF Elfsborg,away,Simon Strand,,26,86,56.0,51.0,6,9,pass inaccurate,,,0.5532763772817328,1,False,False,False,nan,nan,nan,,nan
9,Mjällby AIF,home,Carlos Moros Gracia,,44,49,67.0,39.0,10,13,pass inaccurate,,,0.6065670418475301,1,False,False,False,nan,nan,nan,,nan
10,Mjällby AIF,home,Sam Garyahzon Johnson,,67,39,,,11,16,offside,,,,1,False,False,False,nan,nan,nan,,nan
11,IF Elfsborg,away,Simon Strand,Leo Väisänen,31,71,30.0,38.0,20,23,pass accurate,,0.0007967997868467257,0.8896402558914637,1,False,False,False,nan,nan,nan,,nan
12,IF Elfsborg,away,Leo Väisänen,Christopher Mc Vey,29,31,36.0,6.0,23,26,pass accurate,,-0.0006341390131263652,0.7577800658473212,1,False,False,False,nan,nan,nan,,nan
13,IF Elfsborg,away,Christopher Mc Vey,Leo Väisänen,36,7,25.0,31.0,26,29,pass accurate,,0.0006341390131263652,0.9060218968868815,1,False,False,False,nan,nan,nan,,nan
14,IF Elfsborg,away,Leo Väisänen,Maudo Lamine Jarjué,27,33,26.0,73.0,30,33,pass accurate,,-0.00039776366689430603,0.9049990307025046,1,False,False,False,nan,nan,nan,,nan
15,IF Elfsborg,away,Maudo Lamine Jarjué,Leo Väisänen,27,70,27.0,29.0,33,36,pass accurate,,0.00039776366689430603,0.9183147481415196,1,False,False,False,nan,nan,nan,,nan
16,IF Elfsborg,away,Leo Väisänen,Christopher Mc Vey,31,18,70.0,20.0,36,39,pass accurate,,0.01426702529251636,0.44829456864326644,1,False,False,False,nan,nan,nan,,nan
17,IF Elfsborg,away,Christopher Mc Vey,,70,17,92.0,26.0,38,41,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
18,IF Elfsborg,away,Christopher Mc Vey,,70,17,92.0,26.0,38,41,pass inaccurate,,,0.5749202900914785,1,False,False,False,nan,nan,nan,,nan
19,Mjällby AIF,home,Carlos Moros Gracia,,8,74,,,40,45,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
20,IF Elfsborg,away,Christopher Mc Vey,Per Frick,88,0,96.0,31.0,51,54,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
21,IF Elfsborg,away,Christopher Mc Vey,Per Frick,88,0,96.0,31.0,51,54,pass accurate,,0.022522360643155076,0.4001030982931648,1,False,False,False,nan,nan,nan,,nan
22,IF Elfsborg,away,Alexander Bernhardsson,,90,30,,,52,57,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
23,IF Elfsborg,away,Per Frick,Alexander Bernhardsson,98,29,90.0,34.0,53,56,pass accurate,,0.005114791392225787,0.5670902162038398,1,False,False,False,nan,nan,nan,,nan
24,Mjällby AIF,home,Ivan Kričak,,5,71,34.0,66.0,75,78,pass inaccurate,,,0.7197260299277928,2,False,False,False,nan,nan,nan,,nan
25,IF Elfsborg,away,Frederik Holst,,66,34,,,77,82,interception unsuccesful,,,,2,False,False,False,nan,nan,nan,,nan
