external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Norrköping FK,home,Carl Björk,Yahav Gurfinkel,51,50,33.0,73.0,0,3,pass accurate,,-0.00578583508098094,0.8839699525949453,1,False,False,False,nan,nan,nan,,nan
1,IFK Norrköping FK,home,Yahav Gurfinkel,Abdulrazaq Ishaq,33,71,69.0,8.0,2,5,pass accurate,,0.010949846033633515,0.5923790303707972,1,False,False,False,nan,nan,nan,,nan
2,IFK Norrköping FK,home,Abdulrazaq Ishaq,,69,5,72.0,30.0,6,9,pass inaccurate,,,0.6960088075368308,1,False,False,False,nan,nan,nan,,nan
3,Kalmar FF,away,Romario Pereira Sipiao,,28,70,,,6,11,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
4,Kalmar FF,away,Romario Pereira Sipiao,,28,70,,,6,11,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
5,Kalmar FF,away,Romario Pereira Sipiao,Sebastian Ring,29,72,28.0,93.0,8,11,pass accurate,,-0.0023342967808737715,0.7957313814077815,1,False,False,False,nan,nan,nan,,nan
6,Kalmar FF,away,Sebastian Ring,Rasmus Sjöstedt,28,90,14.0,85.0,9,12,pass accurate,,-0.0010548794588559965,0.9388950260577313,1,False,False,False,nan,nan,nan,,nan
7,Kalmar FF,away,Rasmus Sjöstedt,Sebastian Ring,12,85,22.0,94.0,12,15,pass accurate,,-0.00014021077967341783,0.9146061023353298,1,False,False,False,nan,nan,nan,,nan
8,Kalmar FF,away,Sebastian Ring,Carl Gustafsson,25,96,24.0,76.0,13,16,pass accurate,,-1.1340439885558842e-05,0.9179735918928688,1,False,False,False,nan,nan,nan,,nan
9,Kalmar FF,away,Carl Gustafsson,Nils Fröling,23,76,31.0,92.0,14,17,pass accurate,,1.1340439885558842e-05,0.8466652626467752,1,False,False,False,nan,nan,nan,,nan
10,IFK Norrköping FK,home,Abdulrazaq Ishaq,,76,6,,,15,20,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
11,IFK Norrköping FK,home,Abdulrazaq Ishaq,,76,6,,,15,20,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
12,Kalmar FF,away,Nils Fröling,,28,93,22.0,72.0,16,19,pass inaccurate,,,0.9296752198709151,1,False,False,False,nan,nan,nan,,nan
13,Kalmar FF,away,Rasmus Sjöstedt,,22,72,,,19,24,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
14,Kalmar FF,away,Rasmus Sjöstedt,,22,72,,,19,24,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
