external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Halmstad,away,Amir Al-Ammari,Alexander Berntsson,49,50,30.0,49.0,0,2,pass accurate,,-0.0025869714088918878,0.903703020964266,1,False,False,False,nan,nan,nan,,nan
1,Halmstad,away,Alexander Berntsson,,30,50,30.0,50.0,2,5,pass inaccurate,,,0.275901653839826,1,False,False,False,nan,nan,nan,,nan
2,Halmstad,away,Andreas Bengtsson,,42,93,70.0,17.0,10,13,pass inaccurate,,,0.5652819319045288,1,False,False,False,nan,nan,nan,,nan
3,Östersund,home,Henrik Bellman,,30,83,,,11,16,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
4,Östersund,home,Henrik Bellman,,30,83,,,11,16,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
5,Halmstad,away,Joel Allansson,,60,35,,,13,18,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
6,Halmstad,away,Joel Allansson,,60,35,,,13,18,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
7,Östersund,home,Henrik Bellman,,30,77,33.0,71.0,13,16,pass inaccurate,,,0.7797079517100434,1,False,False,False,nan,nan,nan,,nan
8,Östersund,home,Frank Arhin,Noah Sonko Sundberg,33,71,26.0,56.0,15,18,pass accurate,,0.000632147095620355,0.9109544843745668,1,False,False,False,nan,nan,nan,,nan
9,Östersund,home,Noah Sonko Sundberg,,28,37,70.0,36.0,18,21,pass inaccurate,,,0.48676020019993843,1,False,False,False,nan,nan,nan,,nan
10,Halmstad,away,Alexander Berntsson,,30,64,32.0,56.0,21,24,pass inaccurate,,,0.7763013291729887,1,False,False,False,nan,nan,nan,,nan
11,Östersund,home,Francis Jno-Baptiste,Frank Arhin,68,44,55.0,50.0,26,29,pass accurate,,-0.00813737106470451,0.8419131418587554,1,False,False,False,nan,nan,nan,,nan
12,Östersund,home,Frank Arhin,Henrik Bellman,57,48,67.0,85.0,28,31,pass accurate,,0.006539214968347733,0.6943772010901385,1,False,False,False,nan,nan,nan,,nan
13,Östersund,home,Henrik Bellman,Noah Sonko Sundberg,67,86,31.0,55.0,31,34,pass accurate,,-0.011688256343633272,0.8993004247500541,1,False,False,False,nan,nan,nan,,nan
14,Östersund,home,Noah Sonko Sundberg,Sebastian Karlsson Grach,30,54,67.0,35.0,37,40,pass accurate,,0.01325134955879918,0.49861933875570597,1,False,False,False,nan,nan,nan,,nan
15,Östersund,home,Sebastian Karlsson Grach,Felix Hörberg,68,32,75.0,9.0,41,44,pass accurate,,0.002862623862084447,0.6502178156550802,1,False,False,False,nan,nan,nan,,nan
16,Östersund,home,Felix Hörberg,,78,8,96.0,48.0,44,47,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
17,Östersund,home,Felix Hörberg,,78,8,96.0,48.0,44,47,pass inaccurate,,,0.17585032207326268,1,False,False,False,nan,nan,nan,,nan
18,Östersund,home,Felix Hörberg,,78,8,96.0,48.0,44,47,cross inacurate,,,0.17585032207326268,1,False,False,False,nan,nan,nan,,nan
19,Halmstad,away,Malkolm Nilsson Säfqvist,,4,52,,,44,49,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
20,Östersund,home,Nikolaos Dosis,,76,29,96.0,53.0,47,50,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
21,Östersund,home,Nikolaos Dosis,,76,29,96.0,53.0,47,50,pass inaccurate,,,0.22100332011498952,1,False,False,False,nan,nan,nan,,nan
22,Halmstad,away,Malkolm Nilsson Säfqvist,,4,47,64.0,31.0,68,78,pass inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
23,Halmstad,away,Malkolm Nilsson Säfqvist,,4,47,64.0,31.0,68,78,goalkeeper kick inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
24,Halmstad,away,Sadat Karim,,64,31,,,76,79,air challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
25,Halmstad,away,Sadat Karim,,64,31,,,76,79,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
26,Östersund,home,Nikolaos Dosis,,33,62,,,76,79,air challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
27,Östersund,home,Nikolaos Dosis,,33,62,,,76,79,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
28,Östersund,home,Nikolaos Dosis,Isak Ssali Ssewankambo,34,70,26.0,28.0,76,79,pass accurate,,-0.0009943261759786937,0.9241870767905805,2,False,False,False,nan,nan,nan,,nan
29,Östersund,home,Isak Ssali Ssewankambo,,30,24,70.0,32.0,79,82,pass inaccurate,,,0.44829456864326644,2,False,False,False,nan,nan,nan,,nan
30,Halmstad,away,Alexander Berntsson,Andreas Bengtsson,30,68,40.0,78.0,80,83,pass accurate,,0.0006439532062550383,0.8057091075624093,2,False,False,False,nan,nan,nan,,nan
31,Östersund,home,Felix Hörberg,,33,20,,,83,88,interception unsuccesful,,,,2,False,False,False,nan,nan,nan,,nan
32,Östersund,home,Felix Hörberg,,33,20,,,83,88,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
33,Halmstad,away,Andreas Bengtsson,,42,78,42.0,78.0,84,87,pass inaccurate,,,0.2531889771608074,2,False,False,False,nan,nan,nan,,nan
