external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Mjällby AIF,away,David Löfquist,Elias Andersson,49,51,43.0,54.0,0,2,pass accurate,,,0.8458080204303329,1,False,False,False,nan,nan,nan,,nan
1,Mjällby AIF,away,Elias Andersson,,48,58,82.0,7.0,2,4,pass inaccurate,,,0.6615960872317046,1,False,False,False,nan,nan,nan,,nan
2,BK Häcken,home,Kristoffer Lund Hansen,Leo Bengtsson,18,93,31.0,95.0,5,7,pass accurate,,0.0011950902385294143,0.7906268496934706,1,False,False,False,nan,nan,nan,,nan
3,BK Häcken,home,Leo Bengtsson,,29,97,68.0,79.0,7,9,pass inaccurate,,,0.47253136470337476,1,False,False,False,nan,nan,nan,,nan
4,Mjällby AIF,away,Ivan Kričak,Max Watson,32,21,34.0,6.0,12,14,pass accurate,,9.746437644029757e-05,0.7536450809263104,1,False,False,False,nan,nan,nan,,nan
5,Mjällby AIF,away,Max Watson,Viktor Gustafson,33,5,42.0,3.0,14,16,pass accurate,,0.002772356367954634,0.7865966121065341,1,False,False,False,nan,nan,nan,,nan
6,Mjällby AIF,away,Viktor Gustafson,Jesper Gustavsson,39,4,39.0,19.0,16,18,pass accurate,,0.0011817627816010316,0.7974838870489906,1,False,False,False,nan,nan,nan,,nan
7,BK Häcken,home,Leo Bengtsson,,54,92,,,16,21,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
8,BK Häcken,home,Leo Bengtsson,,54,92,,,16,21,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
9,Mjällby AIF,away,Jesper Gustavsson,,43,17,53.0,6.0,17,19,pass inaccurate,,,0.6350644121799153,1,False,False,False,nan,nan,nan,,nan
10,BK Häcken,home,Kristoffer Lund Hansen,,47,94,66.0,98.0,18,20,pass inaccurate,,,0.3671363156627563,1,False,False,False,nan,nan,nan,,nan
11,Mjällby AIF,away,Max Watson,Ivan Kričak,34,2,31.0,36.0,26,28,pass accurate,,0.0006341390131263652,0.8355737290430402,1,False,False,False,nan,nan,nan,,nan
12,Mjällby AIF,away,Ivan Kričak,Kadir Hodzic,30,49,40.0,89.0,31,33,pass accurate,,-0.0018155631268219306,0.7918402231897383,1,False,False,False,nan,nan,nan,,nan
13,Mjällby AIF,away,Kadir Hodzic,Elias Andersson,48,92,45.0,80.0,34,36,pass accurate,,0.0016237188844384545,0.860609853834688,1,False,False,False,nan,nan,nan,,nan
14,Mjällby AIF,away,Elias Andersson,,47,79,84.0,86.0,35,37,pass inaccurate,,,0.5275268228989004,1,False,False,False,nan,nan,nan,,nan
15,BK Häcken,home,Joona Toivio,,16,14,,,38,43,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
16,BK Häcken,home,Joona Toivio,,16,14,,,38,43,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
17,BK Häcken,home,Godswill Ekpolo,,24,8,34.0,24.0,40,42,pass inaccurate,,,0.7864945865098957,1,False,False,False,nan,nan,nan,,nan
