external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Norrköping FK,away,Sead Haksabanovic,Marco Lund Nielsen,52,48,33.0,53.0,0,3,pass accurate,,-0.005149041375285539,0.8786857382041054,1,False,False,False,nan,nan,nan,,nan
1,IFK Norrköping FK,away,Marco Lund Nielsen,,32,46,70.0,13.0,2,5,pass inaccurate,,,0.5378860113823409,1,False,False,False,nan,nan,nan,,nan
2,Varbergs BoIS FC,home,Adama Fofana,,30,87,30.0,84.0,5,8,pass inaccurate,,,0.2802583267101338,1,False,False,False,nan,nan,nan,,nan
3,IFK Norrköping FK,away,Kevin Javier Alvarez Hernandez,,70,16,,,5,8,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
4,IFK Norrköping FK,away,Kevin Javier Alvarez Hernandez,,70,16,,,5,8,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
5,Varbergs BoIS FC,home,Adama Fofana,,30,65,,,5,8,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
6,Varbergs BoIS FC,home,Adama Fofana,,30,65,,,5,8,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
7,Varbergs BoIS FC,home,Luke Le Roux,,32,78,,,15,20,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
8,Varbergs BoIS FC,home,Luke Le Roux,,32,78,,,15,20,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
9,IFK Norrköping FK,away,Linus Wahlqvist,,64,6,69.0,22.0,15,18,pass inaccurate,,,0.6579106627672747,1,False,False,False,nan,nan,nan,,nan
10,Varbergs BoIS FC,home,Luke Le Roux,,31,78,31.0,78.0,16,19,pass inaccurate,,,0.26936147417997536,1,False,False,False,nan,nan,nan,,nan
11,Varbergs BoIS FC,home,Tashreeq Matthews,,73,66,,,17,42,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
12,IFK Norrköping FK,away,Linus Wahlqvist,,62,17,73.0,21.0,18,21,pass inaccurate,,,0.7048058785213529,1,False,False,False,nan,nan,nan,,nan
13,Varbergs BoIS FC,home,Joakim Lindner,Adama Fofana,27,79,30.0,91.0,20,23,pass accurate,,-0.0013944507131610114,0.8870674954504294,1,False,False,False,nan,nan,nan,,nan
14,Varbergs BoIS FC,home,Joakim Lindner,Adama Fofana,26,82,36.0,89.0,20,23,pass accurate,,-7.891727226244476e-05,0.8295423766030667,1,False,False,False,nan,nan,nan,,nan
15,Varbergs BoIS FC,home,Adama Fofana,Joakim Lindner,30,91,24.0,78.0,22,25,pass accurate,,-1.1340439885558842e-05,0.9250350679202979,1,False,False,False,nan,nan,nan,,nan
16,Varbergs BoIS FC,home,Adama Fofana,Joakim Lindner,29,91,24.0,81.0,22,25,pass accurate,,-1.1340439885558842e-05,0.9250350679202979,1,False,False,False,nan,nan,nan,,nan
17,IFK Norrköping FK,away,Alexander Fransson,,67,35,,,22,27,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
18,IFK Norrköping FK,away,Alexander Fransson,,67,35,,,22,27,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
19,Varbergs BoIS FC,home,Joakim Lindner,,18,86,33.0,69.0,23,26,pass inaccurate,,,0.7881137852646195,1,False,False,False,nan,nan,nan,,nan
20,IFK Norrköping FK,away,Ísak Bergmann Jóhannesson,Kevin Javier Alvarez Hernandez,67,31,69.0,12.0,23,26,pass accurate,,-0.0029336506207860193,0.7739554111105621,1,False,False,False,nan,nan,nan,,nan
21,IFK Norrköping FK,away,Kevin Javier Alvarez Hernandez,Ísak Bergmann Jóhannesson,74,12,76.0,22.0,26,29,pass accurate,,0.008024806478663438,0.7058464995463785,1,False,False,False,nan,nan,nan,,nan
22,IFK Norrköping FK,away,Kevin Javier Alvarez Hernandez,,69,12,74.0,12.0,23,29,carry,,,,1,False,False,False,nan,nan,nan,,nan
23,IFK Norrköping FK,away,Kevin Javier Alvarez Hernandez,Ísak Bergmann Jóhannesson,74,16,73.0,35.0,26,29,pass accurate,,-4.968891542446799e-05,0.7474190963419686,1,False,False,False,nan,nan,nan,,nan
24,IFK Norrköping FK,away,Ísak Bergmann Jóhannesson,Kevin Javier Alvarez Hernandez,72,30,90.0,13.0,27,30,pass accurate,,0.010861614341523457,0.6607585635243942,1,False,False,False,nan,nan,nan,,nan
25,Varbergs BoIS FC,home,Adama Fofana,,13,68,,,28,33,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
26,Varbergs BoIS FC,home,Adama Fofana,,13,68,,,28,33,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
27,IFK Norrköping FK,away,Kevin Javier Alvarez Hernandez,,89,14,85.0,14.0,28,31,pass inaccurate,,,0.5938088202915396,1,False,False,False,nan,nan,nan,,nan
28,IFK Norrköping FK,away,Kevin Javier Alvarez Hernandez,Henrik Castegren,85,14,71.0,48.0,31,34,pass accurate,,-0.010821904850257542,0.7346895161691734,1,False,False,False,nan,nan,nan,,nan
29,IFK Norrköping FK,away,Henrik Castegren,Viktor Agardius,71,51,66.0,80.0,33,36,pass accurate,,-0.00630203431442216,0.8035686426550009,1,False,False,False,nan,nan,nan,,nan
30,IFK Norrköping FK,away,Viktor Agardius,Sead Haksabanovic,64,89,76.0,94.0,36,39,pass accurate,,0.009613284787725596,0.7271419830775301,1,False,False,False,nan,nan,nan,,nan
31,IFK Norrköping FK,away,Viktor Agardius,,66,80,64.0,89.0,33,39,carry,,-0.002372399841753102,,1,False,False,False,nan,nan,nan,,nan
32,IFK Norrköping FK,away,Sead Haksabanovic,,77,95,85.0,3.0,39,42,pass inaccurate,,,0.670210176368798,1,False,False,False,nan,nan,nan,,nan
33,IFK Norrköping FK,away,Sead Haksabanovic,,77,95,85.0,3.0,39,42,cross inacurate,,,0.670210176368798,1,False,False,False,nan,nan,nan,,nan
34,IFK Norrköping FK,away,Kevin Javier Alvarez Hernandez,Linus Wahlqvist,85,3,69.0,12.0,54,57,pass accurate,,-0.011797694501235093,0.741876864545879,1,False,False,False,nan,nan,nan,,nan
35,IFK Norrköping FK,away,Linus Wahlqvist,Kevin Javier Alvarez Hernandez,66,11,77.0,12.0,57,60,pass accurate,,0.010588674130308683,0.6612544732149744,1,False,False,False,nan,nan,nan,,nan
36,IFK Norrköping FK,away,Kevin Javier Alvarez Hernandez,Marco Lund Nielsen,74,13,39.0,20.0,58,61,pass accurate,,-0.01298779813447503,0.8119848377262586,1,False,False,False,nan,nan,nan,,nan
37,IFK Norrköping FK,away,Marco Lund Nielsen,,43,21,93.0,45.0,62,65,pass into the box,,,,2,False,False,False,nan,nan,nan,,nan
38,IFK Norrköping FK,away,Marco Lund Nielsen,,43,21,93.0,45.0,62,65,pass inaccurate,,,0.33318156831722745,2,False,False,False,nan,nan,nan,,nan
39,Varbergs BoIS FC,home,Philip Mårtensson,,7,55,88.0,7.0,72,82,pass inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
40,Varbergs BoIS FC,home,Philip Mårtensson,,7,55,88.0,7.0,72,82,goalkeeper kick inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
41,IFK Norrköping FK,away,Viktor Agardius,,12,93,,,82,87,clearance accurate,,,,2,False,False,False,nan,nan,nan,,nan
42,IFK Norrköping FK,away,Jonathan Levi,Henrik Castegren,27,95,33.0,81.0,95,98,pass accurate,,0.0013944507131610114,0.8403174356032477,2,False,False,False,nan,nan,nan,,nan
43,IFK Norrköping FK,away,Henrik Castegren,Jonathan Levi,27,78,28.0,95.0,96,99,pass accurate,,-0.0013944507131610114,0.8987309224712555,2,False,False,False,nan,nan,nan,,nan
44,IFK Norrköping FK,away,Jonathan Levi,Ísak Bergmann Jóhannesson,25,91,35.0,79.0,97,100,pass accurate,,0.0029782499871288098,0.8267702374780278,2,False,False,False,nan,nan,nan,,nan
45,IFK Norrköping FK,away,Ísak Bergmann Jóhannesson,,37,71,31.0,67.0,99,102,pass inaccurate,,,0.8649754457432263,2,False,False,False,nan,nan,nan,,nan
46,Varbergs BoIS FC,home,Luke Le Roux,,69,33,,,102,107,interception succesful,,,,2,False,False,False,nan,nan,nan,,nan
47,Varbergs BoIS FC,home,Luke Le Roux,,69,33,,,102,107,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
48,Varbergs BoIS FC,home,Luke Le Roux,Tashreeq Matthews,72,33,69.0,48.0,104,107,pass accurate,,3.970949126591572e-05,0.7768776930382337,2,False,False,False,nan,nan,nan,,nan
49,Varbergs BoIS FC,home,Tashreeq Matthews,Jean Carlos De Brito,71,58,64.0,71.0,108,111,pass accurate,,-0.005360355493494371,0.8053446259567161,2,False,False,False,nan,nan,nan,,nan
50,Varbergs BoIS FC,home,Tashreeq Matthews,,69,48,71.0,58.0,104,111,carry,,-0.00023845223947661573,,2,False,False,False,nan,nan,nan,,nan
51,Varbergs BoIS FC,home,Jean Carlos De Brito,Adama Fofana,68,69,69.0,88.0,111,114,pass accurate,,-0.0040383882022595255,0.7849380677907181,2,False,False,False,nan,nan,nan,,nan
52,Varbergs BoIS FC,home,Adama Fofana,Jon Birkfeldt,63,82,30.0,56.0,114,117,pass accurate,,-0.00675057249616632,0.9069580617813418,2,False,False,False,nan,nan,nan,,nan
53,Varbergs BoIS FC,home,Adama Fofana,,69,88,63.0,82.0,111,117,carry,,-0.0015529266837266097,,2,False,False,False,nan,nan,nan,,nan
54,Varbergs BoIS FC,home,Jon Birkfeldt,,32,49,91.0,47.0,117,120,pass into the box,,,,2,False,False,False,nan,nan,nan,,nan
55,Varbergs BoIS FC,home,Jon Birkfeldt,,32,49,91.0,47.0,117,120,pass inaccurate,,,0.37469373211500917,2,False,False,False,nan,nan,nan,,nan
56,IFK Norrköping FK,away,Oscar Jansson,Marco Lund Nielsen,9,53,10.0,45.0,132,135,pass accurate,,0.0004359818854511345,0.7315231112364552,3,False,False,False,nan,nan,nan,,nan
57,IFK Norrköping FK,away,Marco Lund Nielsen,,10,32,69.0,25.0,135,138,pass inaccurate,,,0.5120885019935671,3,False,False,False,nan,nan,nan,,nan
58,Varbergs BoIS FC,home,Jean Carlos De Brito,,31,75,31.0,75.0,138,141,pass inaccurate,,,0.26936147417997536,3,False,False,False,nan,nan,nan,,nan
