external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Malmö FF,away,Anders Bleg Christiansen,Franz Brorsson,49,51,30.0,57.0,0,2,pass accurate,,-0.0027516241001182586,0.9069476952091619,1,False,False,False,nan,nan,nan,,nan
1,Malmö FF,away,Franz Brorsson,Jonas Bruun Knudsen,29,56,29.0,49.0,1,3,pass accurate,,0.0001646526912263708,0.7360873648043381,1,False,False,False,nan,nan,nan,,nan
2,Malmö FF,away,Jonas Bruun Knudsen,,31,43,62.0,13.0,2,4,pass inaccurate,,,0.6084706732509422,1,False,False,False,nan,nan,nan,,nan
3,Malmö FF,away,Eric Larsson,,62,13,,,11,16,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
4,Malmö FF,away,Eric Larsson,,62,13,,,11,16,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
5,Malmö FF,away,Eric Larsson,,63,13,,,11,14,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
6,Malmö FF,away,Eric Larsson,,63,13,,,11,14,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
7,Djurgården,home,Kalle Holmberg,,36,87,,,11,14,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
8,Djurgården,home,Kalle Holmberg,,36,87,,,11,14,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
9,Malmö FF,away,Antonio Colak,,90,24,,,11,36,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
10,Djurgården,home,Elliot Käck,,28,98,37.0,87.0,11,13,pass inaccurate,,,0.8389211348235887,1,False,False,False,nan,nan,nan,,nan
11,Malmö FF,away,Eric Larsson,Erdal Rakip,63,13,63.0,25.0,12,14,pass accurate,,0.0005115672019537672,0.7767712605136669,1,False,False,False,nan,nan,nan,,nan
12,Malmö FF,away,Erdal Rakip,Ola Toivonen,63,21,66.0,21.0,14,16,pass accurate,,,0.4972267463020254,1,False,False,False,nan,nan,nan,,nan
13,Malmö FF,away,Ola Toivonen,Jo Inge Berget,68,21,66.0,6.0,14,16,pass accurate,,-0.007775739183648704,0.6709821562142404,1,False,False,False,nan,nan,nan,,nan
14,Malmö FF,away,Jo Inge Berget,Antonio Colak,68,6,80.0,30.0,15,17,pass accurate,,0.010501249428619241,0.5510747457421613,1,False,False,False,nan,nan,nan,,nan
15,Malmö FF,away,Antonio Colak,,91,24,95.0,54.0,20,22,pass inaccurate,,,0.4059665420424799,1,False,False,False,nan,nan,nan,,nan
16,Malmö FF,away,Antonio Colak,,91,24,95.0,54.0,20,22,cross inacurate,,,0.4059665420424799,1,False,False,False,nan,nan,nan,,nan
17,Malmö FF,away,Antonio Colak,,80,30,91.0,24.0,15,22,carry,,0.003294015533690235,,1,False,False,False,nan,nan,nan,,nan
18,Djurgården,home,Aslak Fonn Witry,,5,46,,,21,26,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
19,Djurgården,home,Edward Chilufya,,11,6,,,31,36,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
20,Djurgården,home,Edward Chilufya,,11,6,,,31,36,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
21,Malmö FF,away,Søren Rieks,,89,94,79.0,94.0,32,34,pass inaccurate,,,0.274045405988375,1,False,False,False,nan,nan,nan,,nan
22,Malmö FF,away,Jonas Bruun Knudsen,,91,91,,,47,72,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
23,Malmö FF,away,Jonas Bruun Knudsen,Anel Ahmedhodzic,84,100,89.0,60.0,51,53,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
24,Malmö FF,away,Jonas Bruun Knudsen,Anel Ahmedhodzic,84,100,89.0,60.0,51,53,pass accurate,,0.09110167066801347,0.6036525880709679,1,False,False,False,nan,nan,nan,,nan
25,Malmö FF,away,Anel Ahmedhodzic,,91,59,,,52,55,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
26,Malmö FF,away,Anel Ahmedhodzic,,91,59,,,52,55,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
27,Djurgården,home,Hampus Finndell,,9,41,,,52,55,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
28,Djurgården,home,Hampus Finndell,,9,41,,,52,55,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
29,Malmö FF,away,Anel Ahmedhodzic,Jonas Bruun Knudsen,91,59,91.0,91.0,53,55,pass accurate,,-0.09110167066801347,0.6336550417182463,1,False,False,False,nan,nan,nan,,nan
30,Malmö FF,away,Jonas Bruun Knudsen,,91,90,90.0,49.0,56,58,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
31,Malmö FF,away,Jonas Bruun Knudsen,,91,90,90.0,49.0,56,58,pass inaccurate,,,0.5361081442100412,1,False,False,False,nan,nan,nan,,nan
32,Malmö FF,away,Jonas Bruun Knudsen,,91,90,90.0,49.0,56,58,cross inacurate,,,0.5361081442100412,1,False,False,False,nan,nan,nan,,nan
33,Djurgården,home,Magnus Eriksson,,10,51,,,57,62,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
34,Malmö FF,away,Søren Rieks,,74,52,,,60,65,lost ball,,,,2,False,False,False,nan,nan,nan,,nan
35,Djurgården,home,Nicklas Bärkroth,,27,48,,,60,65,tackle successful,,,,2,False,False,False,nan,nan,nan,,nan
36,Djurgården,home,Nicklas Bärkroth,,27,48,,,60,65,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
37,Djurgården,home,Kalle Holmberg,,37,33,37.0,33.0,65,67,pass inaccurate,,,0.27625352859831964,2,False,False,False,nan,nan,nan,,nan
38,Malmö FF,away,Erdal Rakip,Marko Johansson,29,88,7.0,55.0,69,71,pass accurate,,0.0013821788125977594,0.9379211625077785,2,False,False,False,nan,nan,nan,,nan
39,Malmö FF,away,Marko Johansson,,8,57,30.0,77.0,73,75,pass inaccurate,,,0.7827948593419022,2,False,False,False,nan,nan,nan,,nan
40,Djurgården,home,Hampus Finndell,,70,23,98.0,49.0,75,77,pass into the box,,,,2,False,False,False,nan,nan,nan,,nan
41,Djurgården,home,Hampus Finndell,,70,23,98.0,49.0,75,77,pass inaccurate,,,0.1862053761182143,2,False,False,False,nan,nan,nan,,nan
42,Malmö FF,away,Marko Johansson,Franz Brorsson,2,51,6.0,68.0,80,90,pass accurate,,,,2,False,False,False,nan,nan,nan,,nan
43,Malmö FF,away,Marko Johansson,Franz Brorsson,2,51,6.0,68.0,80,90,goalkeeper kick accurate,,,,2,False,False,False,nan,nan,nan,,nan
44,Malmö FF,away,Franz Brorsson,Anel Ahmedhodzic,6,67,9.0,32.0,86,88,pass accurate,,0.00255275471849329,0.9291838138548909,2,False,False,False,nan,nan,nan,,nan
45,Malmö FF,away,Anel Ahmedhodzic,Franz Brorsson,10,35,10.0,65.0,89,91,pass accurate,,-0.0007594080983958119,0.9146089977232003,2,False,False,False,nan,nan,nan,,nan
46,Malmö FF,away,Franz Brorsson,Anders Bleg Christiansen,21,68,28.0,50.0,94,96,pass accurate,,0.001914631943411767,0.8550327111468262,2,False,False,False,nan,nan,nan,,nan
