external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IF Elfsborg,away,Simon Olsson,Christopher Mc Vey,51,50,34.0,63.0,0,2,pass accurate,,-0.004393745238107941,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,IF Elfsborg,away,Christopher Mc Vey,Per Frick,32,58,73.0,13.0,2,4,pass accurate,,0.013301038474223648,0.5619870100147254,1,False,False,False,nan,nan,nan,,nan
2,IF Elfsborg,away,Per Frick,,73,13,,,4,7,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
3,IF Elfsborg,away,Per Frick,,73,13,,,4,7,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
4,Kalmar FF,home,Sebastian Ring,,27,87,,,4,7,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
5,Kalmar FF,home,Sebastian Ring,,27,87,,,4,7,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
6,IF Elfsborg,away,Per Frick,,73,11,81.0,2.0,5,7,pass inaccurate,,,0.8019502837040924,1,False,False,False,nan,nan,nan,,nan
7,Kalmar FF,home,Sebastian Ring,Oliver Berg,19,98,27.0,91.0,17,19,pass accurate,,0.0011950902385294143,0.8639528993017126,1,False,False,False,nan,nan,nan,,nan
8,Kalmar FF,home,Oliver Berg,Sebastian Ring,26,92,16.0,97.0,18,20,pass accurate,,-0.0023971182482789184,0.9572444849726908,1,False,False,False,nan,nan,nan,,nan
9,Kalmar FF,home,Sebastian Ring,Noah Shamoun,19,96,59.0,91.0,18,20,pass accurate,,0.008539706769436758,0.5542184732000613,1,False,False,False,nan,nan,nan,,nan
10,IF Elfsborg,away,Per Frick,,68,19,,,19,23,offside,,,,1,False,False,False,nan,nan,nan,,nan
11,Kalmar FF,home,Noah Shamoun,,61,96,58.0,79.0,24,26,pass inaccurate,,,0.81263528137597,1,False,False,False,nan,nan,nan,,nan
12,IF Elfsborg,away,Andrè Ibsen Rømer,Per Frick,42,21,69.0,20.0,25,27,pass accurate,,0.011588098455553239,0.5155743379187853,1,False,False,False,nan,nan,nan,,nan
13,Kalmar FF,home,Sebastian Ring,Carl Gustafsson,34,82,31.0,76.0,30,32,pass accurate,,-0.0015837992739677984,0.8077427680964214,1,False,False,False,nan,nan,nan,,nan
14,Kalmar FF,home,Carl Gustafsson,Piotr Johansson,31,66,32.0,26.0,33,35,pass accurate,,0.00039776366689430603,0.8553954773628953,1,False,False,False,nan,nan,nan,,nan
15,Kalmar FF,home,Jonathan Ring,,47,13,,,37,42,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
16,Kalmar FF,home,Piotr Johansson,Carl Gustafsson,33,22,33.0,31.0,37,39,pass accurate,,0.0007316033895666627,0.8379921553346255,1,False,False,False,nan,nan,nan,,nan
17,Kalmar FF,home,Carl Gustafsson,,34,26,34.0,26.0,38,40,pass inaccurate,,,0.2541338654625296,1,False,False,False,nan,nan,nan,,nan
18,IF Elfsborg,away,Simon Strand,Christopher Mc Vey,38,98,20.0,93.0,49,51,pass accurate,,-0.002510623679427981,0.8641681468583241,1,False,False,False,nan,nan,nan,,nan
19,IF Elfsborg,away,Christopher Mc Vey,Alexander Bernhardsson,18,94,48.0,48.0,52,54,pass accurate,,0.006940784070809988,0.6083858337664951,1,False,False,False,nan,nan,nan,,nan
20,Kalmar FF,home,Carl Gustafsson,,53,53,,,54,57,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
21,Kalmar FF,home,Carl Gustafsson,,53,53,,,54,57,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
22,IF Elfsborg,away,Alexander Bernhardsson,,47,47,,,54,57,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
23,IF Elfsborg,away,Alexander Bernhardsson,,47,47,,,54,57,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
24,IF Elfsborg,away,Alexander Bernhardsson,Per Frick,47,49,57.0,53.0,55,57,pass accurate,,0.002374438029574138,0.7571517796960572,1,False,False,False,nan,nan,nan,,nan
25,IF Elfsborg,away,Per Frick,Simon Olsson,56,53,61.0,71.0,56,58,pass accurate,,0.0025385633317335232,0.7796409118478956,1,False,False,False,nan,nan,nan,,nan
26,IF Elfsborg,away,Simon Olsson,Jeppe Møldrup Okkels,77,68,81.0,80.0,60,62,pass accurate,,-0.003243340465912216,0.6778998099024323,2,False,False,False,nan,nan,nan,,nan
27,IF Elfsborg,away,Simon Olsson,,61,71,77.0,68.0,56,62,carry,,0.012138768422169276,,1,False,False,False,nan,nan,nan,,nan
28,IF Elfsborg,away,Jeppe Møldrup Okkels,Robert Gojani,78,65,74.0,35.0,64,66,pass accurate,,-0.006579670180464205,0.7460090820726986,2,False,False,False,nan,nan,nan,,nan
29,IF Elfsborg,away,Jeppe Møldrup Okkels,,81,80,78.0,65.0,60,66,carry,,0.003243340465912216,,2,False,False,False,nan,nan,nan,,nan
30,IF Elfsborg,away,Robert Gojani,Simon Strand,75,37,72.0,93.0,65,67,pass accurate,,-0.012515449186739473,0.4880830088509065,2,False,False,False,nan,nan,nan,,nan
31,IF Elfsborg,away,Simon Strand,,67,86,97.0,56.0,71,73,pass into the box,,,,2,False,False,False,nan,nan,nan,,nan
