external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Djurgården,away,Kalle Holmberg,Elliot Käck,49,52,33.0,65.0,0,3,pass accurate,,-0.0033837711957386135,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,Djurgården,away,Elliot Käck,Joel Asoro,39,71,69.0,15.0,2,5,pass accurate,,0.012541095726971003,0.55190249365322,1,False,False,False,nan,nan,nan,,nan
2,Djurgården,away,Joel Asoro,,71,14,71.0,14.0,6,9,pass inaccurate,,,0.22483007342315167,1,False,False,False,nan,nan,nan,,nan
3,Djurgården,away,Joel Asoro,,71,14,,,6,9,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
4,Djurgården,away,Joel Asoro,,71,14,,,6,9,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
5,Östersund,home,Ludvig Fritzson,,29,85,,,6,9,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
6,Östersund,home,Ludvig Fritzson,,29,85,,,6,9,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
7,Östersund,home,Patrick Kpozo,,9,99,34.0,92.0,23,26,pass inaccurate,,,0.7360988397310357,1,False,False,False,nan,nan,nan,,nan
8,Djurgården,away,Haris Radetinac,,66,8,,,24,29,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
9,Djurgården,away,Haris Radetinac,,66,8,,,24,29,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
10,Östersund,home,Malcolm Stolt,,37,90,44.0,76.0,26,29,pass inaccurate,,,0.8274106689567862,1,False,False,False,nan,nan,nan,,nan
11,Djurgården,away,Hjalmar Ekdal,,56,24,,,28,33,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
12,Djurgården,away,Hjalmar Ekdal,,56,24,,,28,33,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
13,Djurgården,away,Hjalmar Ekdal,Elliot Käck,56,25,52.0,43.0,29,32,pass accurate,,5.2111995479109385e-05,0.8165161887030936,1,False,False,False,nan,nan,nan,,nan
14,Djurgården,away,Elliot Käck,,52,44,68.0,46.0,30,33,pass inaccurate,,,0.6702173347905152,1,False,False,False,nan,nan,nan,,nan
15,Östersund,home,Samuel Laryea Mensiro,,32,54,,,32,37,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
16,Östersund,home,Samuel Laryea Mensiro,,32,54,,,32,37,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
17,Östersund,home,Samuel Laryea Mensiro,Malcolm Stolt,33,50,49.0,57.0,33,36,pass accurate,,0.0027516241001182586,0.7387043451948073,1,False,False,False,nan,nan,nan,,nan
18,Östersund,home,Samuel Laryea Mensiro,,32,54,,,33,36,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
19,Östersund,home,Samuel Laryea Mensiro,,32,54,,,33,36,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
20,Djurgården,away,Edward Chilufya,,68,50,,,33,36,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
21,Djurgården,away,Edward Chilufya,,68,50,,,33,36,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
22,Östersund,home,Malcolm Stolt,Blair Sebastian Turgott,49,56,59.0,49.0,34,37,pass accurate,,0.006072259566971116,0.7715347905756087,1,False,False,False,nan,nan,nan,,nan
23,Djurgården,away,Hjalmar Ekdal,,27,45,,,36,41,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
24,Djurgården,away,Hjalmar Ekdal,,27,45,,,36,41,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
25,Djurgården,away,Hjalmar Ekdal,Tommi Vaiho,19,51,4.0,49.0,38,41,pass accurate,,0.00028740729459433324,0.9276438973576284,1,False,False,False,nan,nan,nan,,nan
26,Djurgården,away,Tommi Vaiho,Joel Asoro,5,59,43.0,11.0,43,46,pass accurate,,0.0020417785392544303,0.7238386580019739,1,False,False,False,nan,nan,nan,,nan
27,Djurgården,away,Joel Asoro,Haris Radetinac,45,13,34.0,13.0,46,49,pass accurate,,-0.001399699678921791,0.8582846243776666,1,False,False,False,nan,nan,nan,,nan
28,Djurgården,away,Haris Radetinac,Joel Asoro,36,11,44.0,6.0,49,52,pass accurate,,0.0013260359172104774,0.6859512141235936,1,False,False,False,nan,nan,nan,,nan
29,Djurgården,away,Joel Asoro,Haris Radetinac,43,6,35.0,16.0,50,53,pass accurate,,-0.00014427313560944587,0.8387654507290707,1,False,False,False,nan,nan,nan,,nan
30,Djurgården,away,Joel Asoro,,88,10,,,54,79,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
31,Djurgården,away,Haris Radetinac,Hampus Finndell,35,13,39.0,17.0,55,58,pass accurate,,,0.7375051221026211,1,False,False,False,nan,nan,nan,,nan
32,Djurgården,away,Hampus Finndell,Haris Radetinac,40,14,41.0,7.0,56,59,pass accurate,,-0.0011817627816010316,0.7173198638781447,1,False,False,False,nan,nan,nan,,nan
33,Djurgården,away,Haris Radetinac,Joel Asoro,47,7,90.0,11.0,59,62,pass accurate,,0.021657879963890188,0.40976474300628607,1,False,False,False,nan,nan,nan,,nan
34,Djurgården,away,Haris Radetinac,Joel Asoro,47,7,90.0,11.0,59,62,through ball successful,,,0.40976474300628607,1,False,False,False,nan,nan,nan,,nan
35,Djurgården,away,Joel Asoro,,88,10,91.0,43.0,63,66,pass into the box,,,,2,False,False,False,nan,nan,nan,,nan
36,Djurgården,away,Joel Asoro,,88,10,91.0,43.0,63,66,pass inaccurate,,,0.5156371135585329,2,False,False,False,nan,nan,nan,,nan
37,Djurgården,away,Joel Asoro,,88,10,91.0,43.0,63,66,cross inacurate,,,0.5156371135585329,2,False,False,False,nan,nan,nan,,nan
38,Östersund,home,Noah Sonko Sundberg,,9,57,,,63,68,interception unsuccesful,,,,2,False,False,False,nan,nan,nan,,nan
39,Östersund,home,Noah Sonko Sundberg,,9,57,,,63,68,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
