external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Varbergs BoIS FC,away,Albin Mörfelt,Joakim Lindner,49,50,29.0,45.0,0,2,pass accurate,,-0.0025869714088918878,0.9069476952091619,1,False,False,False,nan,nan,nan,,nan
1,Varbergs BoIS FC,away,Joakim Lindner,,29,48,75.0,72.0,2,4,pass inaccurate,,,0.41484269811482455,1,False,False,False,nan,nan,nan,,nan
2,Mjällby AIF,home,Max Watson,,25,28,,,4,9,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
3,Varbergs BoIS FC,away,Albin Mörfelt,Robin Simovic,69,71,74.0,71.0,7,9,pass accurate,,,0.6483703340195754,1,False,False,False,nan,nan,nan,,nan
4,Varbergs BoIS FC,away,Robin Simovic,Albin Mörfelt,76,68,74.0,76.0,7,9,pass accurate,,-0.008142763395630113,0.6820294524326693,1,False,False,False,nan,nan,nan,,nan
5,Varbergs BoIS FC,away,Albin Mörfelt,Adama Fofana,85,85,91.0,95.0,10,12,pass accurate,,-0.001191926604358462,0.6132268669322736,1,False,False,False,nan,nan,nan,,nan
6,Varbergs BoIS FC,away,Albin Mörfelt,,74,76,85.0,85.0,7,12,carry,,0.009709563505715859,,1,False,False,False,nan,nan,nan,,nan
7,Varbergs BoIS FC,away,Adama Fofana,,93,94,,,11,16,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
8,Mjällby AIF,home,Joel Nilsson,,8,4,,,12,17,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
9,Mjällby AIF,home,Joel Nilsson,,8,4,,,12,17,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
10,Mjällby AIF,home,Max Watson,Jacob Bergström,10,1,34.0,16.0,28,30,pass accurate,,0.005165182204041968,0.6570965440760478,1,False,False,False,nan,nan,nan,,nan
11,Varbergs BoIS FC,away,Albert Ejupi,,69,83,,,29,32,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
12,Varbergs BoIS FC,away,Albert Ejupi,,69,83,,,29,32,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
13,Mjällby AIF,home,Jacob Bergström,,31,17,,,29,32,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
14,Mjällby AIF,home,Jacob Bergström,,31,17,,,29,32,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
15,Mjällby AIF,home,Jacob Bergström,Joel Nilsson,32,22,30.0,8.0,31,33,pass accurate,,-0.001348856074303859,0.8868058699481887,1,False,False,False,nan,nan,nan,,nan
16,Mjällby AIF,home,Joel Nilsson,,29,8,80.0,21.0,31,33,pass inaccurate,,,0.38644568688017844,1,False,False,False,nan,nan,nan,,nan
17,Varbergs BoIS FC,away,August Strömberg,Jon Birkfeldt,20,79,20.0,70.0,38,40,pass accurate,,0.0010631523729679182,0.9066614280991511,1,False,False,False,nan,nan,nan,,nan
18,Varbergs BoIS FC,away,Jon Birkfeldt,,27,65,64.0,100.0,42,44,pass inaccurate,,,0.11342707522328252,1,False,False,False,nan,nan,nan,,nan
19,Mjällby AIF,home,Max Watson,Jesper Gustavsson,36,0,35.0,20.0,53,55,pass accurate,,0.0011817627816010316,0.860222770001047,1,False,False,False,nan,nan,nan,,nan
20,Mjällby AIF,home,Jesper Gustavsson,Max Watson,34,21,35.0,5.0,54,56,pass accurate,,-0.0011817627816010316,0.8943175917027211,1,False,False,False,nan,nan,nan,,nan
21,Mjällby AIF,home,Max Watson,,34,4,43.0,14.0,55,57,pass inaccurate,,,0.7781639024924196,1,False,False,False,nan,nan,nan,,nan
22,Varbergs BoIS FC,away,Adama Fofana,,57,86,,,55,60,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
23,Varbergs BoIS FC,away,Adama Fofana,,57,86,,,55,60,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
24,Mjällby AIF,home,Joel Nilsson,,38,4,50.0,10.0,58,60,pass inaccurate,,,0.713429217028602,1,False,False,False,nan,nan,nan,,nan
25,Varbergs BoIS FC,away,Albert Ejupi,Joakim Lindner,50,90,29.0,52.0,60,62,pass accurate,,-0.0016947485648196106,0.8961295660305691,2,False,False,False,nan,nan,nan,,nan
26,Varbergs BoIS FC,away,Joakim Lindner,August Strömberg,27,35,9.0,42.0,63,65,pass accurate,,-0.0012521548694880303,0.9382103971515722,2,False,False,False,nan,nan,nan,,nan
27,Varbergs BoIS FC,away,August Strömberg,,71,27,91.0,27.0,72,74,pass into the box,,,,2,False,False,False,nan,nan,nan,,nan
