external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Norrköping FK,away,Maic Sema,Marco Lund Nielsen,51,50,35.0,49.0,0,2,pass accurate,,-0.003823319988116164,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,IFK Norrköping FK,away,Marco Lund Nielsen,,36,56,74.0,20.0,2,4,pass inaccurate,,,0.5361944160319264,1,False,False,False,nan,nan,nan,,nan
2,IF Elfsborg,home,Joseph Stanley Okumu,,26,80,,,4,9,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
3,IFK Norrköping FK,away,Linus Wahlqvist,,56,0,70.0,23.0,10,12,pass inaccurate,,,0.66344834403107,1,False,False,False,nan,nan,nan,,nan
4,IF Elfsborg,home,Christopher Mc Vey,,30,77,,,11,16,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
5,IF Elfsborg,home,Christopher Mc Vey,,30,77,,,11,16,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
6,IF Elfsborg,home,Christopher Mc Vey,Jeppe Møldrup Okkels,30,69,33.0,89.0,12,14,pass accurate,,-0.0023342967808737715,0.8565365547329258,1,False,False,False,nan,nan,nan,,nan
7,IF Elfsborg,home,Jeppe Møldrup Okkels,,35,81,67.0,64.0,13,15,pass inaccurate,,,0.5103587200861986,1,False,False,False,nan,nan,nan,,nan
8,IFK Norrköping FK,away,Henrik Castegren,Oscar Jansson,33,36,12.0,39.0,16,18,pass accurate,,-0.0012521548694880303,0.9414389322072737,1,False,False,False,nan,nan,nan,,nan
9,IFK Norrköping FK,away,Oscar Jansson,,9,34,59.0,23.0,22,24,pass inaccurate,,,0.6104191750813136,1,False,False,False,nan,nan,nan,,nan
10,IF Elfsborg,home,Simon Strand,,41,77,,,24,29,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
11,IF Elfsborg,home,Simon Strand,,40,84,,,24,27,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
12,IF Elfsborg,home,Simon Strand,,40,84,,,24,27,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
13,IFK Norrköping FK,away,Abdulrazaq Ishaq,,61,17,,,24,27,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
14,IFK Norrköping FK,away,Abdulrazaq Ishaq,,61,17,,,24,27,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
15,IFK Norrköping FK,away,Abdulrazaq Ishaq,Jonathan Levi,73,0,69.0,17.0,34,36,pass accurate,,0.0029833395362104873,0.782658033803769,1,False,False,False,nan,nan,nan,,nan
16,IFK Norrköping FK,away,Jonathan Levi,,68,19,70.0,0.0,35,37,pass inaccurate,,,0.3276612300163787,1,False,False,False,nan,nan,nan,,nan
17,IFK Norrköping FK,away,Linus Wahlqvist,Abdulrazaq Ishaq,70,0,92.0,19.0,41,43,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
