external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Mjällby AIF,home,Jesper Gustavsson,Elias Andersson,49,51,33.0,49.0,0,3,pass accurate,,-0.0025869714088918878,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,Mjällby AIF,home,Elias Andersson,,34,48,67.0,23.0,2,5,pass inaccurate,,,0.5496567683587285,1,False,False,False,nan,nan,nan,,nan
2,Hammarby,away,Darijan Bojanic,,33,77,45.0,98.0,4,7,pass inaccurate,,,0.6311765495954593,1,False,False,False,nan,nan,nan,,nan
3,Mjällby AIF,home,Max Watson,Jacob Bergström,55,2,78.0,14.0,10,13,pass accurate,,0.01570733819087099,0.5102860162489837,1,False,False,False,nan,nan,nan,,nan
4,Hammarby,away,Darijan Bojanic,,21,84,8.0,71.0,13,16,pass inaccurate,,,0.93034367111261,1,False,False,False,nan,nan,nan,,nan
5,Hammarby,away,Richard Magyar,,8,71,2.0,97.0,17,20,pass inaccurate,,,0.9518043533311532,1,False,False,False,nan,nan,nan,,nan
6,Mjällby AIF,home,Elias Andersson,,98,3,98.0,3.0,43,53,right corner inaccurate,,,,1,False,False,False,corner,cleared,nan,,nan
7,Mjällby AIF,home,Elias Andersson,,98,3,96.0,46.0,45,48,pass into the box,,,,1,False,False,False,corner,nan,nan,,nan
8,Mjällby AIF,home,Elias Andersson,,98,3,96.0,46.0,45,48,pass inaccurate,,,0.16101722045326738,1,False,False,False,corner,nan,nan,,nan
9,Hammarby,away,Richard Magyar,,4,54,,,45,50,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
10,Hammarby,away,Darijan Bojanic,,19,54,,,48,53,block successful,,,,1,False,False,False,nan,nan,nan,,nan
11,Hammarby,away,Darijan Bojanic,,19,54,,,48,53,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
12,Hammarby,away,Darijan Bojanic,,19,54,,,48,53,block successful,,,,1,False,False,False,nan,nan,nan,,nan
13,Hammarby,away,Darijan Bojanic,,19,54,,,48,53,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
14,Mjällby AIF,home,Joel Nilsson,,81,47,,,49,52,blocked shot,0.047167821190688936,,,1,False,False,False,corner,nan,nan,,nan
15,Mjällby AIF,home,Joel Nilsson,,81,47,,,49,52,shot,0.047167821190688936,,,1,False,False,False,corner,nan,left foot,,nan
16,Hammarby,away,Akinkunmi Ayobami Amoo,,32,75,,,50,55,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
17,Hammarby,away,Mads Fenger Nielsen,Akinkunmi Ayobami Amoo,18,52,31.0,76.0,50,53,pass accurate,,-5.202550574828074e-06,0.7963226513688368,1,False,False,False,nan,nan,nan,,nan
18,Mjällby AIF,home,Max Watson,Carlos Moros Gracia,60,4,37.0,30.0,67,70,pass accurate,,-0.004459352977319225,0.8357267962885616,2,False,False,False,nan,nan,nan,,nan
19,Mjällby AIF,home,Carlos Moros Gracia,Magnus Wørts,37,28,35.0,52.0,70,73,pass accurate,,0.00017714964063689567,0.8675454770169531,2,False,False,False,nan,nan,nan,,nan
20,Mjällby AIF,home,Magnus Wørts,Jacob Bergström,36,54,70.0,31.0,75,78,pass accurate,,0.012008253604906566,0.4260406920135383,2,False,False,False,nan,nan,nan,,nan
21,Mjällby AIF,home,Jacob Bergström,,72,31,82.0,31.0,77,80,pass inaccurate,,,0.36137490808810036,2,False,False,False,nan,nan,nan,,nan
22,Mjällby AIF,home,Jacob Bergström,,71,26,,,77,80,air challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
23,Mjällby AIF,home,Jacob Bergström,,71,26,,,77,80,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
24,Hammarby,away,Björn Paulsen,,29,75,,,77,80,air challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
25,Hammarby,away,Björn Paulsen,,29,75,,,77,80,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
26,Hammarby,away,Björn Paulsen,,14,85,88.0,86.0,97,100,pass inaccurate,,,0.372802342001182,2,False,False,False,nan,nan,nan,,nan
27,Mjällby AIF,home,Max Watson,Carljohan Eriksson,12,14,2.0,45.0,103,106,pass accurate,,0.002223085292182486,0.9112049623281856,2,False,False,False,nan,nan,nan,,nan
28,Mjällby AIF,home,Carljohan Eriksson,Magnus Wørts,2,45,10.0,86.0,106,109,pass accurate,,-0.002741940017186169,0.9148955092824532,2,False,False,False,nan,nan,nan,,nan
29,Mjällby AIF,home,Magnus Wørts,,21,90,56.0,69.0,111,114,pass inaccurate,,,0.5581462270102329,2,False,False,False,nan,nan,nan,,nan
30,Hammarby,away,Mads Fenger Nielsen,,44,31,44.0,27.0,113,116,pass inaccurate,,,0.26520333153042364,2,False,False,False,nan,nan,nan,,nan
31,Hammarby,away,Mads Fenger Nielsen,,44,27,,,113,116,air challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
32,Hammarby,away,Mads Fenger Nielsen,,44,27,,,113,116,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
33,Mjällby AIF,home,Amin Sarr,,56,71,,,114,117,air challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
34,Mjällby AIF,home,Amin Sarr,,56,71,,,114,117,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
35,Mjällby AIF,home,Jesper Gustavsson,,45,70,65.0,70.0,115,118,pass inaccurate,,,0.1717589627924528,2,False,False,False,nan,nan,nan,,nan
36,Mjällby AIF,home,Jesper Gustavsson,,44,74,,,116,119,air challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
37,Mjällby AIF,home,Jesper Gustavsson,,44,74,,,116,119,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
38,Hammarby,away,Jeppe Andrup Andersen,,54,25,,,116,119,air challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
39,Hammarby,away,Jeppe Andrup Andersen,,54,25,,,116,119,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
40,Hammarby,away,Mads Fenger Nielsen,,37,29,38.0,14.0,117,120,pass inaccurate,,,0.842480258563142,2,False,False,False,nan,nan,nan,,nan
41,Mjällby AIF,home,Elias Andersson,Kadir Hodzic,62,86,63.0,94.0,120,123,pass accurate,,-0.002372399841753102,0.7786533168133725,3,False,False,False,nan,nan,nan,,nan
42,Mjällby AIF,home,Kadir Hodzic,Amin Sarr,63,94,69.0,83.0,121,124,pass accurate,,0.0073100836892200545,0.7249883952226703,3,False,False,False,nan,nan,nan,,nan
43,Mjällby AIF,home,Amin Sarr,Joel Nilsson,67,58,69.0,19.0,126,129,pass accurate,,0.000248431663635168,0.7635567958937063,3,False,False,False,nan,nan,nan,,nan
44,Mjällby AIF,home,Amin Sarr,,69,83,67.0,58.0,121,129,carry,,0.0013643504669552074,,3,False,False,False,nan,nan,nan,,nan
45,Mjällby AIF,home,Joel Nilsson,,71,26,81.0,10.0,130,133,pass inaccurate,,,0.708574487120364,3,False,False,False,nan,nan,nan,,nan
