external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Kalmar FF,away,Oliver Berg,Carl Gustafsson,51,50,42.0,57.0,0,2,pass accurate,,-0.0024020638852423268,0.8606791863384019,1,False,False,False,nan,nan,nan,,nan
1,Kalmar FF,away,Carl Gustafsson,Romario Pereira Sipiao,42,56,44.0,43.0,1,3,pass accurate,,2.7625855668188953e-05,0.8395556306360467,1,False,False,False,nan,nan,nan,,nan
2,Kalmar FF,away,Romario Pereira Sipiao,Johan Stenmark,43,46,32.0,70.0,2,4,pass accurate,,-0.0034113970514068025,0.874484043114252,1,False,False,False,nan,nan,nan,,nan
3,Kalmar FF,away,Johan Stenmark,Carl Gustafsson,32,77,37.0,78.0,6,8,pass accurate,,0.0015837992739677984,0.79549185047039,1,False,False,False,nan,nan,nan,,nan
4,Kalmar FF,away,Carl Gustafsson,Rasmus Sjöstedt,35,78,32.0,49.0,7,9,pass accurate,,0.00015284658059168746,0.8697824271701776,1,False,False,False,nan,nan,nan,,nan
5,Kalmar FF,away,Rasmus Sjöstedt,Lars Saetra,34,30,36.0,14.0,10,12,pass accurate,,-0.0007527059735071007,0.8709487575289034,1,False,False,False,nan,nan,nan,,nan
6,Kalmar FF,away,Lars Saetra,Rasmus Sjöstedt,35,17,31.0,32.0,12,14,pass accurate,,-0.0005476237684746664,0.8735228605846517,1,False,False,False,nan,nan,nan,,nan
7,Kalmar FF,away,Rasmus Sjöstedt,Johan Stenmark,28,34,24.0,70.0,14,16,pass accurate,,-0.0016802485146857182,0.9285645678458856,1,False,False,False,nan,nan,nan,,nan
8,Kalmar FF,away,Johan Stenmark,Sebastian Ring,20,73,31.0,94.0,17,19,pass accurate,,-0.0010518119330823594,0.8568364631410408,1,False,False,False,nan,nan,nan,,nan
9,Kalmar FF,away,Sebastian Ring,Oliver Berg,30,98,36.0,87.0,18,20,pass accurate,,0.0029782499871288098,0.8389211348235887,1,False,False,False,nan,nan,nan,,nan
10,Kalmar FF,away,Oliver Berg,,43,86,91.0,99.0,22,24,pass inaccurate,,,0.09473757348848248,1,False,False,False,nan,nan,nan,,nan
11,Varbergs BoIS FC,home,Joakim Lindner,Gideon Mensah,9,1,24.0,7.0,43,45,pass accurate,,0.0012167428549457078,0.8860722535986659,1,False,False,False,nan,nan,nan,,nan
12,Kalmar FF,away,Sebastian Ring,,80,96,,,44,49,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
13,Kalmar FF,away,Sebastian Ring,,80,96,,,44,49,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
14,Varbergs BoIS FC,home,Gideon Mensah,,20,4,29.0,2.0,45,47,pass inaccurate,,,0.8776939101415278,1,False,False,False,nan,nan,nan,,nan
15,Varbergs BoIS FC,home,Joakim Lindner,,29,2,66.0,4.0,61,63,pass inaccurate,,,0.6382278765908799,2,False,False,False,nan,nan,nan,,nan
16,Kalmar FF,away,Rasmus Sjöstedt,Lucas Hägg Johansson,34,96,9.0,72.0,67,69,pass accurate,,-0.0014040665261844075,0.9390597474840009,2,False,False,False,nan,nan,nan,,nan
17,Kalmar FF,away,Lucas Hägg Johansson,Lars Saetra,12,71,20.0,43.0,71,73,pass accurate,,0.0018297028589146207,0.9083136917672109,2,False,False,False,nan,nan,nan,,nan
18,Kalmar FF,away,Lars Saetra,Rasmus Sjöstedt,22,46,24.0,71.0,74,76,pass accurate,,-0.0006893578405464205,0.9119977991692026,2,False,False,False,nan,nan,nan,,nan
19,Kalmar FF,away,Rasmus Sjöstedt,Johan Stenmark,31,75,34.0,93.0,80,82,pass accurate,,-7.891727226244476e-05,0.726101330785749,2,False,False,False,nan,nan,nan,,nan
20,Kalmar FF,away,Johan Stenmark,Rasmus Sjöstedt,34,95,29.0,79.0,84,86,pass accurate,,7.891727226244476e-05,0.8885949641023003,2,False,False,False,nan,nan,nan,,nan
21,Kalmar FF,away,Rasmus Sjöstedt,Lucas Hägg Johansson,29,77,10.0,51.0,85,87,pass accurate,,-0.00035052702033209863,0.9373127959400711,2,False,False,False,nan,nan,nan,,nan
22,Kalmar FF,away,Lucas Hägg Johansson,Filip Sachpekidis,11,45,49.0,22.0,90,92,pass accurate,,0.003199478316884488,0.6525989318049993,2,False,False,False,nan,nan,nan,,nan
23,Varbergs BoIS FC,home,Albert Ejupi,,55,72,,,91,96,interception unsuccesful,,,,2,False,False,False,nan,nan,nan,,nan
24,Varbergs BoIS FC,home,Albert Ejupi,,55,72,,,91,96,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
25,Kalmar FF,away,Filip Sachpekidis,,71,50,81.0,28.0,97,99,pass inaccurate,,,0.6762495191103671,2,False,False,False,nan,nan,nan,,nan
26,Varbergs BoIS FC,home,Adama Fofana,,19,72,,,98,103,interception succesful,,,,2,False,False,False,nan,nan,nan,,nan
27,Varbergs BoIS FC,home,Adama Fofana,,19,72,,,98,103,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
28,Varbergs BoIS FC,home,Adama Fofana,,15,65,36.0,28.0,100,102,pass inaccurate,,,0.7437513321558173,2,False,False,False,nan,nan,nan,,nan
29,Kalmar FF,away,Johan Stenmark,Sebastian Ring,64,72,69.0,84.0,102,104,pass accurate,,0.003996005026539164,0.6169744974982551,2,False,False,False,nan,nan,nan,,nan
30,Kalmar FF,away,Sebastian Ring,Johan Stenmark,70,93,62.0,80.0,107,109,pass accurate,,-0.0015529266837266097,0.8248493916993195,2,False,False,False,nan,nan,nan,,nan
31,Kalmar FF,away,Sebastian Ring,,69,84,70.0,93.0,102,109,carry,,-0.003384757163740343,,2,False,False,False,nan,nan,nan,,nan
32,Kalmar FF,away,Johan Stenmark,Lars Saetra,54,79,53.0,33.0,110,112,pass accurate,,0.0015351478860907153,0.7850192903522712,2,False,False,False,nan,nan,nan,,nan
33,Kalmar FF,away,Johan Stenmark,,62,80,54.0,79.0,107,112,carry,,-0.0031887910024506055,,2,False,False,False,nan,nan,nan,,nan
34,Kalmar FF,away,Lars Saetra,Piotr Johansson,55,21,62.0,5.0,113,115,pass accurate,,0.0012463253335954876,0.8260763225144645,2,False,False,False,nan,nan,nan,,nan
35,Kalmar FF,away,Lars Saetra,,53,33,55.0,21.0,110,115,carry,,-0.0008179554228269735,,2,False,False,False,nan,nan,nan,,nan
36,Kalmar FF,away,Piotr Johansson,Lars Saetra,60,4,44.0,18.0,115,117,pass accurate,,-0.003812359271904535,0.831488841357721,2,False,False,False,nan,nan,nan,,nan
37,Kalmar FF,away,Lars Saetra,Romario Pereira Sipiao,42,16,66.0,13.0,117,119,pass accurate,,0.005876055374746447,0.6364214072342239,2,False,False,False,nan,nan,nan,,nan
38,Varbergs BoIS FC,home,Adama Fofana,,33,93,,,118,123,tackle unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
39,Varbergs BoIS FC,home,Adama Fofana,,33,93,,,118,123,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
40,Kalmar FF,away,Piotr Johansson,Rasmus Sjöstedt,67,1,35.0,24.0,133,135,pass accurate,,-0.010004458598264543,0.8419106428066674,3,False,False,False,nan,nan,nan,,nan
41,Kalmar FF,away,Rasmus Sjöstedt,Johan Stenmark,33,28,30.0,64.0,137,139,pass accurate,,-0.00039776366689430603,0.8926948013525748,3,False,False,False,nan,nan,nan,,nan
42,Kalmar FF,away,Johan Stenmark,Sebastian Ring,22,72,31.0,93.0,140,142,pass accurate,,-0.0010518119330823594,0.6814958263514078,3,False,False,False,nan,nan,nan,,nan
43,Varbergs BoIS FC,home,Gideon Mensah,,70,11,,,141,146,tackle unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
44,Varbergs BoIS FC,home,Gideon Mensah,,70,11,,,141,146,challenge successful,,,,3,False,False,False,nan,nan,nan,,nan
45,Kalmar FF,away,Sebastian Ring,Romario Pereira Sipiao,20,99,32.0,81.0,153,155,pass accurate,,0.0025895409516904257,0.8039928661222101,3,False,False,False,nan,nan,nan,,nan
46,Kalmar FF,away,Romario Pereira Sipiao,Sebastian Ring,31,77,30.0,95.0,156,158,pass accurate,,-0.0013944507131610114,0.8928650201932415,3,False,False,False,nan,nan,nan,,nan
47,Kalmar FF,away,Sebastian Ring,Lars Saetra,29,95,27.0,30.0,156,158,pass accurate,,0.0027320604477680775,0.913966042374806,3,False,False,False,nan,nan,nan,,nan
48,Kalmar FF,away,Lars Saetra,,35,21,90.0,10.0,163,165,pass inaccurate,,,0.46538834015508873,3,False,False,False,nan,nan,nan,,nan
49,Varbergs BoIS FC,home,Hampus Zackrisson,,10,90,,,167,172,interception succesful,,,,3,False,False,False,nan,nan,nan,,nan
50,Varbergs BoIS FC,home,Hampus Zackrisson,,10,90,,,167,172,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
51,Kalmar FF,away,Piotr Johansson,,92,10,,,168,171,foul,,,,3,False,False,False,nan,nan,nan,,nan
52,Varbergs BoIS FC,home,Stojan Lukic,,10,89,61.0,69.0,197,199,pass inaccurate,,,0.5907909312297563,4,False,False,False,nan,nan,nan,,nan
53,Kalmar FF,away,Romario Pereira Sipiao,,39,31,59.0,26.0,200,202,pass inaccurate,,,0.7204714960753379,4,False,False,False,nan,nan,nan,,nan
54,Varbergs BoIS FC,home,Oliver Stanisic,,41,74,62.0,69.0,201,203,pass inaccurate,,,0.6901965622678308,4,False,False,False,nan,nan,nan,,nan
55,Kalmar FF,away,Romario Pereira Sipiao,Carl Gustafsson,38,31,44.0,25.0,202,204,pass accurate,,0.0014392921092553218,0.8371673631186376,4,False,False,False,nan,nan,nan,,nan
56,Kalmar FF,away,Carl Gustafsson,Lars Saetra,41,30,34.0,23.0,204,206,pass accurate,,-0.0007527059735071007,0.8833988233632172,4,False,False,False,nan,nan,nan,,nan
57,Kalmar FF,away,Lars Saetra,,33,13,70.0,20.0,207,209,pass inaccurate,,,0.433437192805915,4,False,False,False,nan,nan,nan,,nan
58,Varbergs BoIS FC,home,Oliver Stanisic,,30,80,31.0,81.0,211,213,pass inaccurate,,,0.26936147417997536,4,False,False,False,nan,nan,nan,,nan
59,Kalmar FF,away,Oliver Berg,,69,19,,,211,216,interception unsuccesful,,,,4,False,False,False,nan,nan,nan,,nan
60,Kalmar FF,away,Oliver Berg,,69,19,,,211,216,challenge successful,,,,4,False,False,False,nan,nan,nan,,nan
61,Varbergs BoIS FC,home,Hampus Zackrisson,,29,72,76.0,77.0,213,215,pass inaccurate,,,0.41484269811482455,4,False,False,False,nan,nan,nan,,nan
62,Kalmar FF,away,Lars Saetra,Carl Gustafsson,24,23,30.0,30.0,218,220,pass accurate,,0.002167052507146147,0.8472966808745795,4,False,False,False,nan,nan,nan,,nan
63,Kalmar FF,away,Carl Gustafsson,,29,31,,,219,224,lost ball,,,,4,False,False,False,nan,nan,nan,,nan
64,Kalmar FF,away,Romario Pereira Sipiao,,29,28,,,222,225,foul,,,,4,False,False,False,nan,nan,nan,,nan
65,Varbergs BoIS FC,home,Joakim Lindner,,73,72,,,259,279,direct free kick shot accurate,,,,5,False,False,False,free-kick,nan,nan,,nan
66,Varbergs BoIS FC,home,Joakim Lindner,,73,73,,,261,264,shot on target,0.010621075115913776,,,5,False,False,False,free-kick,nan,nan,,-
67,Kalmar FF,away,Lucas Hägg Johansson,,27,27,,,261,264,shot on target saved,,,,5,False,False,False,nan,nan,nan,,-
