external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Mjällby AIF,away,David Löfquist,Enock Kofi Adu,51,50,41.0,63.0,0,3,pass accurate,,-0.004393745238107941,0.8606791863384019,1,False,False,False,nan,nan,nan,,nan
1,Örebro,home,Dennis Collander,,53,48,,,1,6,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
2,Örebro,home,Dennis Collander,,53,48,,,1,6,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
3,Mjällby AIF,away,Enock Kofi Adu,,45,56,73.0,54.0,1,4,pass inaccurate,,,0.5371476439208779,1,False,False,False,nan,nan,nan,,nan
4,Mjällby AIF,away,Jacob Bergström,,73,54,,,4,29,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
5,Örebro,home,Johan Mårtensson,,45,49,,,5,10,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
6,Örebro,home,Dennis Collander,Johan Mårtensson,47,48,45.0,49.0,5,8,pass accurate,,,0.2524239532618621,1,False,False,False,nan,nan,nan,,nan
7,Örebro,home,Johan Mårtensson,,45,44,55.0,44.0,7,10,pass inaccurate,,,0.7656049328648057,1,False,False,False,nan,nan,nan,,nan
8,Mjällby AIF,away,Kadir Hodzic,David Löfquist,56,76,53.0,53.0,9,12,pass accurate,,0.0015919064916448712,0.8209726835269225,1,False,False,False,nan,nan,nan,,nan
9,Mjällby AIF,away,David Löfquist,Jacob Bergström,53,55,71.0,55.0,10,13,pass accurate,,0.007898918825227894,0.664340199081085,1,False,False,False,nan,nan,nan,,nan
10,Mjällby AIF,away,Jacob Bergström,Kadir Hodzic,74,58,79.0,90.0,13,16,pass accurate,,0.0009388506315503344,0.6941835748272245,1,False,False,False,nan,nan,nan,,nan
11,Mjällby AIF,away,Kadir Hodzic,Joel Nilsson,89,85,91.0,43.0,15,18,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
12,Mjällby AIF,away,Kadir Hodzic,Joel Nilsson,89,85,91.0,43.0,15,18,pass accurate,,0.09834377390302809,0.49702240848032514,1,False,False,False,nan,nan,nan,,nan
