external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Varbergs BoIS FC,home,Robin Tranberg,Joakim Lindner,49,51,26.0,51.0,0,2,pass accurate,,-0.0027516241001182586,0.9280471007624863,1,False,False,False,nan,nan,nan,,nan
1,Varbergs BoIS FC,home,Joakim Lindner,Jean Carlos De Brito,26,48,66.0,95.0,3,5,pass accurate,,0.004213519963186847,0.602074044057402,1,False,False,False,nan,nan,nan,,nan
2,Varbergs BoIS FC,home,Jean Carlos De Brito,,89,93,,,6,16,dribble unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
3,Varbergs BoIS FC,home,Jean Carlos De Brito,,66,95,89.0,93.0,3,16,carry,,0.01582772059057745,,1,False,False,False,nan,nan,nan,,nan
4,Varbergs BoIS FC,home,Jean Carlos De Brito,,88,91,,,8,13,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
5,Halmstad,away,Edvin Kurtulus,,10,8,48.0,9.0,15,17,pass inaccurate,,,0.43181474332002284,1,False,False,False,nan,nan,nan,,nan
6,Varbergs BoIS FC,home,Hampus Zackrisson,Robin Tranberg,52,91,61.0,80.0,17,19,pass accurate,,0.005055823931346709,0.7836033609850009,1,False,False,False,nan,nan,nan,,nan
7,Varbergs BoIS FC,home,Robin Tranberg,Joakim Lindner,62,74,29.0,58.0,19,21,pass accurate,,-0.0076922513170941086,0.9069580617813418,1,False,False,False,nan,nan,nan,,nan
8,Varbergs BoIS FC,home,Joakim Lindner,Oliver Stanisic,32,65,31.0,76.0,21,23,pass accurate,,-0.0009398460677127601,0.8688342257186795,1,False,False,False,nan,nan,nan,,nan
9,Varbergs BoIS FC,home,Oliver Stanisic,Stojan Lukic,29,71,10.0,54.0,23,25,pass accurate,,-0.0012903730880448588,0.9414389322072737,1,False,False,False,nan,nan,nan,,nan
10,Varbergs BoIS FC,home,Stojan Lukic,,20,33,66.0,26.0,34,36,pass inaccurate,,,0.5559256848609191,1,False,False,False,nan,nan,nan,,nan
11,Varbergs BoIS FC,home,Stojan Lukic,,10,54,20.0,33.0,23,36,carry,,0.00041851082407542463,,1,False,False,False,nan,nan,nan,,nan
12,Halmstad,away,Joseph Baffoe,,34,74,,,37,42,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
13,Halmstad,away,Joseph Baffoe,,34,74,,,37,42,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
14,Halmstad,away,Joseph Baffoe,,34,74,,,37,40,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
15,Halmstad,away,Joseph Baffoe,,34,74,,,37,40,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
16,Varbergs BoIS FC,home,Ryan Moon,,66,26,,,37,40,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
17,Varbergs BoIS FC,home,Ryan Moon,,66,26,,,37,40,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
18,Halmstad,away,Amir Al-Ammari,,35,68,88.0,43.0,40,42,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
19,Halmstad,away,Amir Al-Ammari,,35,68,88.0,43.0,40,42,pass inaccurate,,,0.37309494481328676,1,False,False,False,nan,nan,nan,,nan
20,Varbergs BoIS FC,home,Stojan Lukic,Oliver Stanisic,12,57,18.0,67.0,48,50,pass accurate,,7.888240253446643e-06,0.9094623924330689,1,False,False,False,nan,nan,nan,,nan
