external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Hammarby,home,Darijan Bojanic,Mads Fenger Nielsen,49,51,26.0,43.0,0,2,pass accurate,,-0.0025869714088918878,0.9280471007624863,1,False,False,False,nan,nan,nan,,nan
1,Hammarby,home,Mads Fenger Nielsen,,31,28,71.0,24.0,2,4,pass inaccurate,,,0.47213618209650565,1,False,False,False,nan,nan,nan,,nan
2,IK Sirius FK,away,Jamie Roche,,29,76,31.0,98.0,8,10,pass inaccurate,,,0.6990786503516487,1,False,False,False,nan,nan,nan,,nan
3,Hammarby,home,Simon Sandberg,Mads Fenger Nielsen,69,2,37.0,19.0,18,20,pass accurate,,-0.010004458598264543,0.8419106428066674,1,False,False,False,nan,nan,nan,,nan
4,Hammarby,home,Mads Fenger Nielsen,Jón Gudni Fjóluson,35,26,28.0,56.0,24,26,pass accurate,,-0.0010659463132557181,0.9055811398895512,1,False,False,False,nan,nan,nan,,nan
5,Hammarby,home,Jón Gudni Fjóluson,Simon Sandberg,30,54,36.0,12.0,28,30,pass accurate,,-0.0008685224418524141,0.8456215351706754,1,False,False,False,nan,nan,nan,,nan
6,Hammarby,home,Simon Sandberg,,45,12,89.0,45.0,33,35,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
7,Hammarby,home,Simon Sandberg,,45,12,89.0,45.0,33,35,pass inaccurate,,,0.3355749738666107,1,False,False,False,nan,nan,nan,,nan
8,IK Sirius FK,away,David Mitov Nilsson,Joseph Colley,11,55,11.0,29.0,46,48,pass accurate,,-0.0003730486797189417,0.9240728564160661,1,False,False,False,nan,nan,nan,,nan
9,IK Sirius FK,away,Joseph Colley,Tim Björkström,11,27,32.0,4.0,48,50,pass accurate,,-1.9274029212415153e-05,0.8507038969302472,1,False,False,False,nan,nan,nan,,nan
10,IK Sirius FK,away,Tim Björkström,Joseph Colley,28,6,10.0,16.0,50,52,pass accurate,,-0.0011876257177498694,0.9238162052364062,1,False,False,False,nan,nan,nan,,nan
11,IK Sirius FK,away,Joseph Colley,Nahom Girmai Netabay,11,15,34.0,19.0,51,53,pass accurate,,0.0038157089500950574,0.7157477991109125,1,False,False,False,nan,nan,nan,,nan
12,IK Sirius FK,away,Nahom Girmai Netabay,,34,24,50.0,24.0,53,55,pass inaccurate,,,0.7301975109131146,1,False,False,False,nan,nan,nan,,nan
13,Hammarby,home,Jón Gudni Fjóluson,,50,76,75.0,58.0,54,56,pass inaccurate,,,0.48718238402036607,1,False,False,False,nan,nan,nan,,nan
14,IK Sirius FK,away,Joseph Colley,Jamie Roche,25,42,17.0,59.0,60,62,pass accurate,,-0.0017314433039846578,0.9338338766763019,2,False,False,False,nan,nan,nan,,nan
15,Hammarby,home,Astrit Selmani,,81,34,,,60,63,foul,,,,2,False,False,False,nan,nan,nan,,nan
16,IK Sirius FK,away,Joseph Colley,Tim Björkström,24,35,34.0,9.0,73,75,pass accurate,,0.000635486917737375,0.757670988817379,2,False,False,False,nan,nan,nan,,nan
17,IK Sirius FK,away,Tim Björkström,Joseph Colley,33,10,25.0,24.0,76,78,pass accurate,,0.001348856074303859,0.9006961569005157,2,False,False,False,nan,nan,nan,,nan
18,IK Sirius FK,away,Joseph Colley,Adam Hellborg,28,24,32.0,46.0,78,80,pass accurate,,0.0011306395095190824,0.8371877024507602,2,False,False,False,nan,nan,nan,,nan
19,IK Sirius FK,away,Adam Hellborg,Axel Björnström,36,70,46.0,94.0,82,84,pass accurate,,-0.0009593812291700133,0.8249107414059801,2,False,False,False,nan,nan,nan,,nan
20,IK Sirius FK,away,Adam Hellborg,,32,46,36.0,70.0,78,84,carry,,0.000595290056026274,,2,False,False,False,nan,nan,nan,,nan
21,IK Sirius FK,away,Axel Björnström,Adam Hellborg,40,85,37.0,73.0,85,87,pass accurate,,0.0007481366366179614,0.8770100816466764,2,False,False,False,nan,nan,nan,,nan
22,IK Sirius FK,away,Adam Hellborg,Axel Björnström,39,81,35.0,95.0,87,89,pass accurate,,-0.0016627165462302432,0.8911102645873529,2,False,False,False,nan,nan,nan,,nan
23,IK Sirius FK,away,Axel Björnström,Jamie Roche,35,96,34.0,79.0,88,90,pass accurate,,0.0016627165462302432,0.8722207706991403,2,False,False,False,nan,nan,nan,,nan
24,IK Sirius FK,away,Jamie Roche,Adam Hellborg,32,75,36.0,75.0,91,93,pass accurate,,0.0015837992739677984,0.7330357460796805,2,False,False,False,nan,nan,nan,,nan
25,IK Sirius FK,away,Adam Hellborg,Jamie Roche,34,66,33.0,74.0,94,96,pass accurate,,-0.0013920898428729997,0.79549185047039,2,False,False,False,nan,nan,nan,,nan
26,Hammarby,home,Akinkunmi Ayobami Amoo,,81,29,,,96,121,final third entry,,,,2,False,False,False,nan,nan,nan,,nan
27,IK Sirius FK,away,Jamie Roche,Adam Hellborg,32,79,35.0,70.0,97,99,pass accurate,,0.00233193591058576,0.8464089072161348,2,False,False,False,nan,nan,nan,,nan
28,IK Sirius FK,away,Adam Hellborg,,34,70,44.0,70.0,98,100,pass inaccurate,,,0.7770259290252609,2,False,False,False,nan,nan,nan,,nan
29,Hammarby,home,Akinkunmi Ayobami Amoo,,92,44,,,100,110,penalty box entry unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
30,Hammarby,home,Akinkunmi Ayobami Amoo,Gustav Ludwigson,66,24,67.0,38.0,100,102,pass accurate,,0.0057020636566482395,0.7455010572827445,2,False,False,False,nan,nan,nan,,nan
