external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Norrköping FK,away,Alexander Fransson,Linus Wahlqvist,51,51,35.0,48.0,0,3,pass accurate,,-0.003823319988116164,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,IFK Norrköping FK,away,Linus Wahlqvist,Carl Björk,36,49,70.0,81.0,2,5,pass accurate,,0.01035788834638885,0.5034290283313217,1,False,False,False,nan,nan,nan,,nan
2,IFK Norrköping FK,away,Carl Björk,,70,80,74.0,58.0,4,7,pass inaccurate,,,0.7112078175904984,1,False,False,False,nan,nan,nan,,nan
3,Degerfors IF,home,Oliver Ekroth,Sebastian Ohlsson,26,42,23.0,89.0,8,11,pass accurate,,-0.0043261868062499115,0.9276704155686607,1,False,False,False,nan,nan,nan,,nan
4,Degerfors IF,home,Sebastian Ohlsson,Victor Edvardsen,22,88,30.0,83.0,11,14,pass accurate,,0.0025895409516904257,0.8443945356882949,1,False,False,False,nan,nan,nan,,nan
5,Degerfors IF,home,Victor Edvardsen,Karl Axel Lindahl,29,80,26.0,92.0,13,16,pass accurate,,-0.0013944507131610114,0.9196318010879803,1,False,False,False,nan,nan,nan,,nan
6,IFK Norrköping FK,away,Abdulrazaq Ishaq,Carl Björk,44,16,60.0,70.0,22,25,pass accurate,,0.0059793112984237,0.6209775176306994,1,False,False,False,nan,nan,nan,,nan
7,IFK Norrköping FK,away,Carl Björk,Dino Salihovic,58,66,53.0,74.0,25,28,pass accurate,,,0.8252008905999372,1,False,False,False,nan,nan,nan,,nan
8,IFK Norrköping FK,away,Dino Salihovic,Theodore Rask,45,81,37.0,75.0,28,31,pass accurate,,-0.0014124742918864026,0.8767965993722474,1,False,False,False,nan,nan,nan,,nan
9,Degerfors IF,home,Johan Bertilsson,,55,18,,,28,31,foul,,,,1,False,False,False,nan,nan,nan,,nan
10,IFK Norrköping FK,away,Dino Salihovic,Maic Sema,46,81,48.0,74.0,36,39,pass accurate,,0.000733808724579909,0.7422634064588683,1,False,False,False,nan,nan,nan,,nan
11,IFK Norrköping FK,away,Maic Sema,Dino Salihovic,46,76,60.0,91.0,39,42,pass accurate,,0.0029538922518921318,0.7796859041923931,1,False,False,False,nan,nan,nan,,nan
12,IFK Norrköping FK,away,Dino Salihovic,,70,94,,,41,51,dribble unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
13,IFK Norrköping FK,away,Dino Salihovic,,60,91,70.0,94.0,39,51,carry,,0.003925326525479712,,1,False,False,False,nan,nan,nan,,nan
14,IFK Norrköping FK,away,Dino Salihovic,,70,94,,,41,46,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
15,Degerfors IF,home,Johan Bertilsson,,30,6,,,42,47,tackle unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
16,Degerfors IF,home,Johan Bertilsson,,30,6,,,42,47,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
17,IFK Norrköping FK,away,Dino Salihovic,,70,95,71.0,98.0,43,46,pass inaccurate,,,0.08426442069252857,1,False,False,False,nan,nan,nan,,nan
18,Degerfors IF,home,Gustav Granath,Johan Bertilsson,29,2,36.0,19.0,51,54,pass accurate,,0.002628083232345188,0.7930992256760072,1,False,False,True,throw-in,nan,nan,,nan
19,Degerfors IF,home,Johan Bertilsson,,35,20,38.0,28.0,52,55,pass inaccurate,,,0.8167099211280163,1,False,False,False,throw-in,nan,nan,,nan
20,Degerfors IF,home,Villiam Dahlström,Johan Bertilsson,38,28,33.0,18.0,56,59,pass accurate,,-0.00203193313154843,0.8720439502312455,1,False,False,False,throw-in,nan,nan,,nan
21,Degerfors IF,home,Johan Bertilsson,Erik Lindell,40,15,43.0,6.0,58,61,pass accurate,,0.00014427313560944587,0.6546873451170363,1,False,False,False,throw-in,nan,nan,,nan
22,Degerfors IF,home,Erik Lindell,Johan Bertilsson,47,5,59.0,19.0,59,62,pass accurate,,0.0071314819180587925,0.7036461374642139,1,False,False,False,throw-in,nan,nan,,nan
23,IFK Norrköping FK,away,Dino Salihovic,Maic Sema,40,82,45.0,79.0,61,64,pass accurate,,0.0014124742918864026,0.7715008043663005,2,False,False,False,nan,nan,nan,,nan
24,IFK Norrköping FK,away,Maic Sema,Linus Wahlqvist,41,72,33.0,50.0,64,67,pass accurate,,-0.0007599427472526447,0.87230301542333,2,False,False,False,nan,nan,nan,,nan
25,IFK Norrköping FK,away,Linus Wahlqvist,Abdulrazaq Ishaq,33,38,38.0,25.0,67,70,pass accurate,,0.0009012936220293474,0.8526335732624709,2,False,False,False,nan,nan,nan,,nan
26,IFK Norrköping FK,away,Abdulrazaq Ishaq,Jonathan Levi,33,21,45.0,17.0,71,74,pass accurate,,0.00267892683696312,0.8035861023364038,2,False,False,False,nan,nan,nan,,nan
