external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Malmö FF,home,Anders Bleg Christiansen,Franz Brorsson,51,49,32.0,53.0,0,2,pass accurate,,-0.005149041375285539,0.8786857382041054,1,False,False,False,nan,nan,nan,,nan
1,Malmö FF,home,Franz Brorsson,Antonio Colak,33,52,71.0,30.0,2,4,pass accurate,,0.01325134955879918,0.5279983464152173,1,False,False,False,nan,nan,nan,,nan
2,Malmö FF,home,Antonio Colak,,71,30,92.0,27.0,5,7,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
3,Malmö FF,home,Antonio Colak,,71,30,92.0,27.0,5,7,pass inaccurate,,,0.6048830267660464,1,False,False,False,nan,nan,nan,,nan
4,Östersund,away,Aly Keita,,8,73,,,6,11,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
5,Östersund,away,Aly Keita,,8,73,,,6,11,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
6,Östersund,away,Aly Keita,Ronald Mukiibi,7,50,4.0,27.0,11,21,pass accurate,,,,1,False,False,False,nan,nan,nan,,nan
7,Östersund,away,Aly Keita,Ronald Mukiibi,7,50,4.0,27.0,11,21,goalkeeper throw accurate,,,,1,False,False,False,nan,nan,nan,,nan
8,Östersund,away,Ronald Mukiibi,Aly Keita,4,28,3.0,46.0,17,19,pass accurate,,0.002118539466684456,0.9207644270806854,1,False,False,False,nan,nan,nan,,nan
9,Östersund,away,Aly Keita,Eirik Haugan,3,48,4.0,73.0,20,22,pass accurate,,-0.0035689402637134916,0.923586928690396,1,False,False,False,nan,nan,nan,,nan
10,Östersund,away,Eirik Haugan,Patrick Kpozo,3,86,10.0,95.0,24,26,pass accurate,,0.00039541080357516356,0.9065003768852851,1,False,False,False,nan,nan,nan,,nan
11,Östersund,away,Patrick Kpozo,,10,92,27.0,90.0,26,28,pass inaccurate,,,0.8306935067318364,1,False,False,False,nan,nan,nan,,nan
