external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Hammarby,away,Akinkunmi Ayobami Amoo,Mads Fenger Nielsen,49,49,30.0,51.0,0,3,pass accurate,,-0.0027792499557864475,0.903703020964266,1,False,False,False,nan,nan,nan,,nan
1,Hammarby,away,Mads Fenger Nielsen,,30,50,69.0,79.0,2,5,pass inaccurate,,,0.4720384548819866,1,False,False,False,nan,nan,nan,,nan
2,Halmstad,home,Samuel Kroon,,31,21,68.0,24.0,7,10,pass inaccurate,,,0.44829456864326644,1,False,False,False,nan,nan,nan,,nan
3,Hammarby,away,Richard Magyar,Jeppe Andrup Andersen,32,76,51.0,81.0,9,12,pass accurate,,0.005133774657048829,0.7362255974691206,1,False,False,False,nan,nan,nan,,nan
4,Hammarby,away,Jeppe Andrup Andersen,Mohammed Aziz Ouattara,52,79,39.0,77.0,12,15,pass accurate,,-0.003549975383081031,0.8655187459258377,1,False,False,False,nan,nan,nan,,nan
5,Hammarby,away,Mohammed Aziz Ouattara,Mads Fenger Nielsen,38,66,29.0,50.0,14,17,pass accurate,,-0.0007599427472526447,0.8954789609775199,1,False,False,False,nan,nan,nan,,nan
6,Hammarby,away,Mads Fenger Nielsen,Richard Magyar,27,53,27.0,70.0,15,18,pass accurate,,-0.000632147095620355,0.9065749355351126,1,False,False,False,nan,nan,nan,,nan
7,Hammarby,away,Richard Magyar,Mohammed Aziz Ouattara,27,69,33.0,46.0,17,20,pass accurate,,0.0007967997868467257,0.8373838007817325,1,False,False,False,nan,nan,nan,,nan
8,Hammarby,away,Mohammed Aziz Ouattara,,32,36,57.0,2.0,21,24,pass inaccurate,,,0.7496010815034472,1,False,False,False,nan,nan,nan,,nan
9,Halmstad,home,Andreas Bengtsson,,43,98,67.0,85.0,117,120,pass inaccurate,,,0.6046635959248948,2,False,False,True,throw-in,nan,nan,,nan
10,Hammarby,away,Mads Fenger Nielsen,,33,15,41.0,20.0,120,123,pass inaccurate,,,0.8108591930373541,3,False,False,False,nan,nan,nan,,nan
11,Halmstad,home,Amir Al-Ammari,,59,80,69.0,80.0,120,123,pass inaccurate,,,0.6460301030152209,3,False,False,False,throw-in,nan,nan,,nan
12,Halmstad,home,Amir Al-Ammari,,56,86,,,121,124,air challenge unsuccessful,,,,3,False,False,False,throw-in,nan,nan,,nan
13,Halmstad,home,Amir Al-Ammari,,56,86,,,121,124,challenge unsuccessful,,,,3,False,False,False,throw-in,nan,nan,,nan
14,Hammarby,away,Akinkunmi Ayobami Amoo,,44,14,,,121,124,air challenge successful,,,,3,False,False,False,nan,nan,nan,,nan
15,Hammarby,away,Akinkunmi Ayobami Amoo,,44,14,,,121,124,challenge successful,,,,3,False,False,False,nan,nan,nan,,nan
16,Hammarby,away,Jeppe Andrup Andersen,,40,29,64.0,29.0,122,125,pass inaccurate,,,0.6528863348557803,3,False,False,False,nan,nan,nan,,nan
17,Halmstad,home,Andreas Johansson,Andreas Bengtsson,36,71,41.0,76.0,124,127,pass accurate,,-0.0007481366366179614,0.8207568248124517,3,False,False,False,throw-in,nan,nan,,nan
18,Halmstad,home,Andreas Bengtsson,Marcus Antonsson,38,78,62.0,80.0,126,129,pass accurate,,0.006738766385531636,0.6695429088291086,3,False,False,False,throw-in,nan,nan,,nan
19,Halmstad,home,Marcus Antonsson,,61,81,60.0,71.0,127,130,pass inaccurate,,,0.8000068197252319,3,False,False,False,throw-in,nan,nan,,nan
20,Hammarby,away,Jeppe Andrup Andersen,Mohammed Aziz Ouattara,40,29,40.0,21.0,128,131,pass accurate,,-0.0007527059735071007,0.7678052963614401,3,False,False,False,nan,nan,nan,,nan
21,Hammarby,away,Mohammed Aziz Ouattara,Akinkunmi Ayobami Amoo,42,24,59.0,26.0,130,133,pass accurate,,0.006387622576700214,0.7148319804028218,3,False,False,False,nan,nan,nan,,nan
22,Hammarby,away,Akinkunmi Ayobami Amoo,,61,26,72.0,15.0,133,136,pass inaccurate,,,0.7047248574120141,3,False,False,False,nan,nan,nan,,nan
23,Halmstad,home,Joseph Baffoe,,28,85,73.0,99.0,139,142,pass inaccurate,,,0.07484717215249122,3,False,False,False,nan,nan,nan,,nan
24,Hammarby,away,Simon Sandberg,Akinkunmi Ayobami Amoo,27,1,52.0,19.0,156,159,pass accurate,,0.0065938168495760265,0.5302248277927563,3,False,False,True,throw-in,nan,nan,,nan
