external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Östersund,away,Blair Sebastian Turgott,Noah Sonko Sundberg,49,52,27.0,57.0,0,3,pass accurate,,-0.0027516241001182586,0.9280471007624863,1,False,False,False,nan,nan,nan,,nan
1,Östersund,away,Noah Sonko Sundberg,,26,58,79.0,69.0,3,6,pass inaccurate,,,0.4335280366219551,1,False,False,False,nan,nan,nan,,nan
2,Östersund,away,Malcolm Stolt,,79,69,,,6,9,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
3,Östersund,away,Malcolm Stolt,,79,69,,,6,9,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
4,Varbergs BoIS FC,home,Joakim Lindner,,21,31,,,6,9,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
5,Varbergs BoIS FC,home,Joakim Lindner,,21,31,,,6,9,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
6,Östersund,away,Marco Weymans,Ludvig Fritzson,66,70,68.0,66.0,9,12,pass accurate,,0.004649636065058346,0.4919122709943042,1,False,False,False,nan,nan,nan,,nan
7,Östersund,away,Ludvig Fritzson,Henrik Bellman,69,62,69.0,82.0,10,13,pass accurate,,-0.0013643504669552074,0.7628200405474055,1,False,False,False,nan,nan,nan,,nan
8,Varbergs BoIS FC,home,Victor Karlsson,,28,7,,,12,17,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
9,Varbergs BoIS FC,home,Joakim Lindner,,32,1,57.0,9.0,29,32,pass inaccurate,,,0.4522884165102747,1,False,False,False,nan,nan,nan,,nan
10,Östersund,away,Patrick Kpozo,,43,91,57.0,87.0,31,34,pass inaccurate,,,0.7217137851208415,1,False,False,False,nan,nan,nan,,nan
11,Östersund,away,Marco Weymans,,57,87,,,32,35,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
12,Östersund,away,Marco Weymans,,57,87,,,32,35,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
13,Varbergs BoIS FC,home,Anton Liljenbäck,,43,13,,,32,35,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
14,Varbergs BoIS FC,home,Anton Liljenbäck,,43,13,,,32,35,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
