external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IF Elfsborg,away,Robert Gojani,Maudo Lamine Jarjué,49,51,29.0,53.0,0,2,pass accurate,,-0.0027516241001182586,0.9069476952091619,1,False,False,False,nan,nan,nan,,nan
1,IF Elfsborg,away,Maudo Lamine Jarjué,,29,43,70.0,34.0,2,4,pass inaccurate,,,0.48676020019993843,1,False,False,False,nan,nan,nan,,nan
2,IK Sirius FK,home,Joseph Colley,,30,66,,,4,9,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
3,IK Sirius FK,home,Joseph Colley,,30,66,,,4,9,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
4,IK Sirius FK,home,Joseph Colley,,21,66,,,6,9,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
5,IK Sirius FK,home,Joseph Colley,,21,66,,,6,9,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
6,IF Elfsborg,away,Jacob Ondrejka,,79,33,,,6,9,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
7,IF Elfsborg,away,Jacob Ondrejka,,79,33,,,6,9,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
8,IK Sirius FK,home,Joseph Colley,Axel Björnström,21,65,10.0,84.0,7,9,pass accurate,,-0.002106691391938356,0.891033543191966,1,False,False,False,nan,nan,nan,,nan
9,IK Sirius FK,home,Axel Björnström,,8,87,35.0,98.0,11,13,pass inaccurate,,,0.4561939134270627,1,False,False,False,nan,nan,nan,,nan
10,IF Elfsborg,away,Johan Larsson,Per Frick,65,2,86.0,10.0,22,24,pass accurate,,0.01659009414867331,0.6358570017511266,1,False,False,False,nan,nan,nan,,nan
11,IF Elfsborg,away,Per Frick,Jacob Ondrejka,86,11,85.0,4.0,24,26,pass accurate,,,0.767947373490845,1,False,False,False,nan,nan,nan,,nan
12,IF Elfsborg,away,Jacob Ondrejka,,90,10,,,24,29,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
13,IF Elfsborg,away,Jacob Ondrejka,,85,4,90.0,10.0,24,29,carry,,,,1,False,False,False,nan,nan,nan,,nan
14,IK Sirius FK,home,Jamie Roche,,10,92,,,25,30,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
15,IK Sirius FK,home,Jamie Roche,,10,92,,,25,30,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
16,IK Sirius FK,home,Jacob Ortmark,,14,97,33.0,74.0,29,31,pass inaccurate,,,0.7391782295176018,1,False,False,False,nan,nan,nan,,nan
17,IF Elfsborg,away,André Rømer,,67,26,,,30,35,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
18,IF Elfsborg,away,André Rømer,,67,26,,,30,35,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
19,IF Elfsborg,away,André Rømer,Robert Gojani,66,31,68.0,22.0,31,33,pass accurate,,0.005200475878853025,0.7360623682228663,1,False,False,False,nan,nan,nan,,nan
20,IF Elfsborg,away,Robert Gojani,André Rømer,65,26,67.0,34.0,35,37,pass accurate,,0.005150786963428557,0.6855186181642574,1,False,False,False,nan,nan,nan,,nan
21,IF Elfsborg,away,André Rømer,Johan Larsson,68,23,70.0,5.0,36,38,pass accurate,,-0.0029833395362104873,0.8110781401004284,1,False,False,False,nan,nan,nan,,nan
22,IF Elfsborg,away,André Rømer,,67,34,68.0,23.0,35,38,carry,,4.968891542446799e-05,,1,False,False,False,nan,nan,nan,,nan
23,IF Elfsborg,away,Johan Larsson,,82,8,,,36,61,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
24,IF Elfsborg,away,Johan Larsson,,70,5,82.0,8.0,36,61,carry,,0.005796274482870466,,1,False,False,False,nan,nan,nan,,nan
25,IK Sirius FK,home,Jamie Roche,,14,76,,,38,43,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
