external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Örebro,away,Nahir Besara,Andreas Skovgaard Larsen,49,52,30.0,44.0,0,3,pass accurate,,-0.0025869714088918878,0.9069476952091619,1,False,False,False,nan,nan,nan,,nan
1,Örebro,away,Andreas Skovgaard Larsen,Hussein Ali,31,43,58.0,3.0,3,6,pass accurate,,0.002470514534579237,0.6197036607733024,1,False,False,False,nan,nan,nan,,nan
2,Örebro,away,Hussein Ali,,59,4,62.0,1.0,5,8,pass inaccurate,,,0.8396177134901696,1,False,False,False,nan,nan,nan,,nan
3,IK Sirius FK,home,Marcus Klingenberg Mathisen,,38,99,42.0,82.0,19,22,pass inaccurate,,,0.8378489826227935,1,False,False,True,throw-in,nan,nan,,nan
4,Örebro,away,Nordin Gerzic,,58,18,68.0,8.0,20,23,pass inaccurate,,,0.7175013778941667,1,False,False,False,nan,nan,nan,,nan
5,IK Sirius FK,home,Marcus Klingenberg Mathisen,,32,92,43.0,82.0,22,25,pass inaccurate,,,0.8247846096136292,1,False,False,False,throw-in,nan,nan,,nan
6,Örebro,away,Nordin Gerzic,Deniz Hümmet,57,18,66.0,6.0,24,27,pass accurate,,0.0012463253335954876,0.604090634908799,1,False,False,False,nan,nan,nan,,nan
7,Örebro,away,Deniz Hümmet,Hussein Ali,64,3,60.0,5.0,27,30,pass accurate,,,0.5632387063993136,1,False,False,False,nan,nan,nan,,nan
8,Örebro,away,Hussein Ali,Deniz Hümmet,65,3,71.0,7.0,31,34,pass accurate,,0.004792399647438217,0.6977517987021584,1,False,False,False,nan,nan,nan,,nan
9,Örebro,away,Hussein Ali,,60,5,65.0,3.0,27,34,carry,,,,1,False,False,False,nan,nan,nan,,nan
10,IK Sirius FK,home,Marcus Klingenberg Mathisen,,30,94,,,32,35,foul,,,,1,False,False,False,throw-in,nan,nan,,nan
11,IK Sirius FK,home,David Mitov Nilsson,,7,51,,,59,64,clearance accurate,,,,1,False,False,False,nan,nan,nan,,nan
12,IK Sirius FK,home,Yukiya Sugita,,18,51,,,60,65,clearance inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
13,Örebro,away,Kevin Walker,Hussein Ali,66,21,44.0,43.0,64,67,pass accurate,,-0.004809745437630408,0.8496774191838045,2,False,False,False,free-kick,nan,nan,,nan
14,Örebro,away,Hussein Ali,Mergim Krasniqi,43,44,25.0,51.0,68,71,pass accurate,,-0.0027792499557864475,0.9182308498948432,2,False,False,False,free-kick,nan,nan,,nan
15,Örebro,away,Mergim Krasniqi,Hussein Ali,25,51,29.0,27.0,72,75,pass accurate,,-0.00023438342872604892,0.8821543134625457,2,False,False,False,nan,nan,nan,,nan
16,Örebro,away,Hussein Ali,Mergim Krasniqi,27,28,17.0,49.0,74,77,pass accurate,,-0.0009908906741392977,0.9376318742518378,2,False,False,False,nan,nan,nan,,nan
17,Örebro,away,Mergim Krasniqi,Hussein Ali,17,52,27.0,8.0,79,82,pass accurate,,-0.0007480522798382835,0.8682807255341369,2,False,False,False,nan,nan,nan,,nan
18,Örebro,away,Hussein Ali,Mergim Krasniqi,29,5,10.0,33.0,82,85,pass accurate,,1.9274029212415153e-05,0.9168424020097906,2,False,False,False,nan,nan,nan,,nan
19,Örebro,away,Mergim Krasniqi,,11,35,45.0,24.0,88,91,pass inaccurate,,,0.6901422148137046,2,False,False,False,nan,nan,nan,,nan
20,Örebro,away,Kevin Walker,,45,24,,,95,98,foul,,,,2,False,False,False,nan,nan,nan,,nan
21,IK Sirius FK,home,Tim Björkström,Laorent Shabani,34,18,46.0,5.0,110,113,pass accurate,,0.00014427313560944587,0.8023482163203353,2,False,False,False,nan,nan,nan,,nan
