external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Norrköping FK,home,Alexander Fransson,Linus Wahlqvist,51,48,34.0,41.0,0,3,pass accurate,,-0.0038186733780411174,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,IFK Norrköping FK,home,Linus Wahlqvist,Carl Björk,35,42,73.0,85.0,2,5,pass accurate,,0.01035788834638885,0.5298288131870873,1,False,False,False,nan,nan,nan,,nan
2,IFK Norrköping FK,home,Carl Björk,,74,87,75.0,88.0,5,8,pass inaccurate,,,0.2347639787404205,1,False,False,False,nan,nan,nan,,nan
3,IFK Norrköping FK,home,Carl Björk,,75,88,,,5,8,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
4,IFK Norrköping FK,home,Carl Björk,,75,88,,,5,8,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
5,Mjällby AIF,away,Joel Nilsson,,25,12,,,5,8,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
6,Mjällby AIF,away,Joel Nilsson,,25,12,,,5,8,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
7,Mjällby AIF,away,Max Watson,,22,17,28.0,22.0,7,10,pass inaccurate,,,0.8480112827816115,1,False,False,False,nan,nan,nan,,nan
8,IFK Norrköping FK,home,Kristoffer Khazeni,Alexander Fransson,72,78,68.0,69.0,10,13,pass accurate,,0.0006536310385191826,0.779891716803292,1,False,False,False,nan,nan,nan,,nan
9,IFK Norrköping FK,home,Alexander Fransson,Kristoffer Khazeni,69,67,75.0,74.0,12,15,pass accurate,,0.00748913235711093,0.6997458739081387,1,False,False,False,nan,nan,nan,,nan
10,IFK Norrköping FK,home,Kristoffer Khazeni,,75,75,79.0,70.0,14,17,pass inaccurate,,,0.6062031873926204,1,False,False,False,nan,nan,nan,,nan
11,Mjällby AIF,away,Viktor Gustafson,Carlos Moros Gracia,21,30,11.0,29.0,15,18,pass accurate,,-0.0007915595037943663,0.9355832684514611,1,False,False,False,nan,nan,nan,,nan
12,Mjällby AIF,away,Carlos Moros Gracia,,10,29,,,15,20,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
13,IFK Norrköping FK,home,Henrik Castegren,Carl Björk,45,74,63.0,85.0,20,23,pass accurate,,0.004592483369065325,0.7442901867638697,1,False,False,False,nan,nan,nan,,nan
14,IFK Norrköping FK,home,Carl Björk,Kristoffer Khazeni,61,85,62.0,76.0,22,25,pass accurate,,,0.794550540038566,1,False,False,False,nan,nan,nan,,nan
