external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Örebro,away,Deniz Hümmet,Andreas Skovgaard Larsen,51,50,29.0,44.0,0,2,pass accurate,,-0.0049890352941342146,0.9077521422162625,1,False,False,False,nan,nan,nan,,nan
1,Örebro,away,Andreas Skovgaard Larsen,,29,48,72.0,24.0,3,5,pass inaccurate,,,0.5150556740617365,1,False,False,False,nan,nan,nan,,nan
2,Kalmar FF,home,Douglas Bergqvist,,28,76,,,5,10,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
3,Kalmar FF,home,Douglas Bergqvist,,29,79,,,5,8,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
4,Kalmar FF,home,Douglas Bergqvist,,29,79,,,5,8,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
5,Örebro,away,Dennis Collander,,71,21,,,5,8,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
6,Örebro,away,Dennis Collander,,71,21,,,5,8,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
7,Örebro,away,Johan Mårtensson,Michael Almebäck,58,1,35.0,20.0,12,14,pass accurate,,-0.00232192688605699,0.833754148299634,1,False,False,False,nan,nan,nan,,nan
8,Örebro,away,Michael Almebäck,Andreas Skovgaard Larsen,34,26,33.0,47.0,17,19,pass accurate,,-0.0009012936220293474,0.8551776934406721,1,False,False,False,nan,nan,nan,,nan
9,Örebro,away,Andreas Skovgaard Larsen,Michael Almebäck,31,52,34.0,29.0,20,22,pass accurate,,0.0010659463132557181,0.8668049043636734,1,False,False,False,nan,nan,nan,,nan
10,Örebro,away,Michael Almebäck,Bobby Allain,32,31,11.0,48.0,23,25,pass accurate,,-0.0012521548694880303,0.9409034277696664,1,False,False,False,nan,nan,nan,,nan
11,Örebro,away,Bobby Allain,,22,34,73.0,1.0,40,42,pass inaccurate,,,0.6858748853981115,1,False,False,False,nan,nan,nan,,nan
12,Kalmar FF,home,Sebastian Ring,Oliver Berg,27,99,36.0,82.0,53,55,pass accurate,,0.0029782499871288098,0.8403174356032477,1,False,False,False,nan,nan,nan,,nan
