external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Djurgården,away,Kalle Holmberg,Jacob Une Larsson,49,50,31.0,43.0,0,3,pass accurate,,-0.0025869714088918878,0.887672738937848,1,False,False,False,nan,nan,nan,,nan
1,Djurgården,away,Jacob Une Larsson,,32,45,90.0,99.0,3,6,pass inaccurate,,,0.109078918654813,1,False,False,False,nan,nan,nan,,nan
2,Hammarby,home,Simon Sandberg,,10,1,68.0,20.0,23,26,pass inaccurate,,,0.3775582754450761,1,False,False,False,nan,nan,nan,,nan
3,Djurgården,away,Hjalmar Ekdal,Aleksandr Vasiutin,32,80,13.0,49.0,29,32,pass accurate,,8.545486511903587e-05,0.9378059101039934,1,False,False,False,nan,nan,nan,,nan
4,Djurgården,away,Aleksandr Vasiutin,Jacob Une Larsson,10,51,22.0,30.0,36,39,pass accurate,,0.00041851082407542463,0.9067419381422057,1,False,False,False,nan,nan,nan,,nan
5,Djurgården,away,Jacob Une Larsson,Aslak Fonn Witry,26,30,33.0,5.0,41,44,pass accurate,,-0.0020804594638705216,0.8826902519834188,1,False,False,False,nan,nan,nan,,nan
6,Djurgården,away,Aslak Fonn Witry,Kalle Holmberg,30,13,48.0,52.0,44,47,pass accurate,,0.00371761091841097,0.5781715723180049,1,False,False,False,nan,nan,nan,,nan
7,Djurgården,away,Kalle Holmberg,Edward Chilufya,48,50,41.0,29.0,46,49,pass accurate,,-0.0016856777868625404,0.8821418291652905,1,False,False,False,nan,nan,nan,,nan
8,Djurgården,away,Edward Chilufya,Rasmus Schüller,41,36,34.0,43.0,48,51,pass accurate,,0.0002644216839887033,0.87230301542333,1,False,False,False,nan,nan,nan,,nan
9,Djurgården,away,Rasmus Schüller,Magnus Eriksson,35,44,54.0,72.0,50,53,pass accurate,,0.003134608217136417,0.7320960149194484,1,False,False,False,nan,nan,nan,,nan
10,Djurgården,away,Magnus Eriksson,Nicklas Bärkroth,55,79,79.0,91.0,53,56,pass accurate,,0.0104296759484231,0.5916809414128527,1,False,False,False,nan,nan,nan,,nan
11,Djurgården,away,Nicklas Bärkroth,,89,84,92.0,51.0,57,60,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
12,Djurgården,away,Nicklas Bärkroth,,89,84,92.0,51.0,57,60,pass inaccurate,,,0.5404871397530464,1,False,False,False,nan,nan,nan,,nan
13,Djurgården,away,Nicklas Bärkroth,,89,84,92.0,51.0,57,60,cross inacurate,,,0.5404871397530464,1,False,False,False,nan,nan,nan,,nan
14,Djurgården,away,Nicklas Bärkroth,,79,91,89.0,84.0,53,60,carry,,0.007406362407210317,,1,False,False,False,nan,nan,nan,,nan
15,Hammarby,home,Jón Gudni Fjóluson,,8,49,,,58,63,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
16,Djurgården,away,Aslak Fonn Witry,,99,2,97.0,39.0,91,101,right corner inaccurate,,,,2,False,False,False,corner,cleared,nan,,nan
17,Hammarby,home,Simon Sandberg,,3,61,,,93,98,clearance inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
18,Djurgården,away,Aslak Fonn Witry,,98,10,96.0,51.0,98,101,pass into the box,,,,2,False,False,False,corner,nan,nan,,nan
19,Djurgården,away,Aslak Fonn Witry,,98,10,96.0,51.0,98,101,pass inaccurate,,,0.20193804223209713,2,False,False,False,corner,nan,nan,,nan
20,Djurgården,away,Aslak Fonn Witry,,98,10,96.0,51.0,98,101,cross inacurate,,,0.20193804223209713,2,False,False,False,corner,nan,nan,,nan
21,Hammarby,home,Jón Gudni Fjóluson,,4,49,,,98,103,clearance accurate,,,,2,False,False,False,nan,nan,nan,,nan
22,Hammarby,home,Gustav Ludwigson,,9,44,,,100,105,clearance inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
23,Djurgården,away,Aslak Fonn Witry,Hampus Finndell,71,25,70.0,31.0,104,107,pass accurate,,,0.6321116100510143,2,False,False,False,corner,nan,nan,,nan
24,Djurgården,away,Hampus Finndell,Nicklas Bärkroth,74,29,79.0,87.0,107,110,pass accurate,,0.0033363297145519895,0.5993288919148236,2,False,False,False,nan,nan,nan,,nan
25,Djurgården,away,Nicklas Bärkroth,,93,79,,,110,120,dribble unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
26,Djurgården,away,Nicklas Bärkroth,,79,87,93.0,79.0,107,120,carry,,0.007903492107556323,,2,False,False,False,nan,nan,nan,,nan
27,Djurgården,away,Nicklas Bärkroth,,92,80,,,110,115,lost ball,,,,2,False,False,False,nan,nan,nan,,nan
28,Hammarby,home,Simon Sandberg,,7,19,,,111,116,tackle successful,,,,2,False,False,False,nan,nan,nan,,nan
29,Hammarby,home,Simon Sandberg,,7,19,,,111,116,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
30,Hammarby,home,Simon Sandberg,,26,3,38.0,6.0,136,139,pass inaccurate,,,0.5695816887426465,3,False,False,False,nan,nan,nan,,nan
31,Djurgården,away,Elliot Käck,,62,94,,,138,141,air challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
32,Djurgården,away,Elliot Käck,,62,94,,,138,141,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
33,Hammarby,home,Akinkunmi Ayobami Amoo,,38,6,,,138,141,air challenge successful,,,,3,False,False,False,nan,nan,nan,,nan
34,Hammarby,home,Akinkunmi Ayobami Amoo,,38,6,,,138,141,challenge successful,,,,3,False,False,False,nan,nan,nan,,nan
35,Djurgården,away,Kalle Holmberg,Magnus Eriksson,70,82,65.0,93.0,141,144,pass accurate,,-0.0073100836892200545,0.6572016795840849,3,False,False,False,nan,nan,nan,,nan
36,Djurgården,away,Magnus Eriksson,,68,94,,,142,147,lost ball,,,,3,False,False,False,nan,nan,nan,,nan
37,Djurgården,away,Magnus Eriksson,,63,88,,,149,152,foul,,,,3,False,False,False,nan,nan,nan,,nan
38,Hammarby,home,Simon Sandberg,Jón Gudni Fjóluson,37,20,30.0,48.0,153,156,pass accurate,,-0.0001485876485222467,0.8949385086336095,3,False,False,False,nan,nan,nan,,nan
39,Hammarby,home,Jón Gudni Fjóluson,Mohanad Jeahze,28,49,58.0,91.0,157,160,pass accurate,,0.0015300958735932398,0.6014254289930933,3,False,False,False,nan,nan,nan,,nan
40,Hammarby,home,Mohanad Jeahze,Jón Gudni Fjóluson,58,87,39.0,76.0,159,162,pass accurate,,-0.003549975383081031,0.8619230260782536,3,False,False,False,nan,nan,nan,,nan
41,Hammarby,home,Jón Gudni Fjóluson,,45,72,77.0,10.0,161,164,pass inaccurate,,,0.6071608381553306,3,False,False,False,nan,nan,nan,,nan
42,Hammarby,home,Akinkunmi Ayobami Amoo,,77,10,,,165,168,air challenge successful,,,,3,False,False,False,nan,nan,nan,,nan
43,Hammarby,home,Akinkunmi Ayobami Amoo,,77,10,,,165,168,challenge successful,,,,3,False,False,False,nan,nan,nan,,nan
44,Djurgården,away,Elliot Käck,,23,90,,,165,168,air challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
45,Djurgården,away,Elliot Käck,,23,90,,,165,168,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
46,Hammarby,home,Jeppe Andrup Andersen,Darijan Bojanic,61,13,63.0,27.0,169,172,pass accurate,,0.0005115672019537672,0.7767712605136669,3,False,False,False,nan,nan,nan,,nan
47,Hammarby,home,Darijan Bojanic,,65,26,72.0,3.0,170,173,pass inaccurate,,,0.7549505764410404,3,False,False,False,nan,nan,nan,,nan
48,Djurgården,away,Elliot Käck,Rasmus Schüller,28,97,35.0,83.0,179,182,pass accurate,,0.0029782499871288098,0.845896532063723,3,False,False,False,nan,nan,nan,,nan
49,Djurgården,away,Rasmus Schüller,Aleksandr Vasiutin,29,79,4.0,49.0,183,186,pass accurate,,0.0002926098451691613,0.933628450854959,4,False,False,False,nan,nan,nan,,nan
50,Djurgården,away,Aleksandr Vasiutin,Aslak Fonn Witry,4,39,23.0,8.0,187,190,pass accurate,,-0.002355815691183689,0.9138184336261291,4,False,False,False,nan,nan,nan,,nan
51,Djurgården,away,Aslak Fonn Witry,,20,5,,,187,192,lost ball,,,,4,False,False,False,nan,nan,nan,,nan
52,Hammarby,home,Gustav Ludwigson,Astrit Selmani,76,98,92.0,90.0,192,195,pass accurate,,0.019699728366354242,0.5899550265709437,4,False,False,False,nan,nan,nan,,nan
53,Hammarby,home,Astrit Selmani,Darijan Bojanic,93,88,79.0,87.0,198,201,pass accurate,,-0.017103506535141887,0.6891824350430961,4,False,False,False,nan,nan,nan,,nan
54,Hammarby,home,Darijan Bojanic,Mohanad Jeahze,80,85,82.0,90.0,198,201,pass accurate,,-0.002596221831212355,0.4967159692080631,4,False,False,False,nan,nan,nan,,nan
55,Hammarby,home,Mohanad Jeahze,Darijan Bojanic,84,89,78.0,90.0,201,204,pass accurate,,-0.006214435802851855,0.6936820199287065,4,False,False,False,nan,nan,nan,,nan
56,Hammarby,home,Darijan Bojanic,Mohanad Jeahze,79,90,88.0,95.0,202,205,pass accurate,,0.006214435802851855,0.6245875935705286,4,False,False,False,nan,nan,nan,,nan
57,Hammarby,home,Astrit Selmani,,94,84,,,204,209,lost ball,,,,4,False,False,False,nan,nan,nan,,nan
58,Hammarby,home,Astrit Selmani,,94,84,,,204,214,dribble unsuccessful,,,,4,False,False,False,nan,nan,nan,,nan
59,Hammarby,home,Mohanad Jeahze,Astrit Selmani,89,96,94.0,83.0,205,208,pass accurate,,0.004285278135916823,0.5684850984832786,4,False,False,False,nan,nan,nan,,nan
