external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Östersund,away,Jerell Anthony Sellars,Eirik Haugan,49,51,25.0,53.0,0,3,pass accurate,,-0.0027516241001182586,0.9230545133006863,1,False,False,False,nan,nan,nan,,nan
1,Östersund,away,Eirik Haugan,,26,45,75.0,30.0,1,4,pass inaccurate,,,0.4462571120793887,1,False,False,False,nan,nan,nan,,nan
2,IK Sirius FK,home,Marcus Klingenberg Mathisen,,25,70,,,3,8,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
3,Östersund,away,Noah Sonko Sundberg,,63,31,83.0,31.0,6,9,pass inaccurate,,,0.5113120376393683,1,False,False,False,nan,nan,nan,,nan
4,Östersund,away,Ludvig Fritzson,Samuel Laryea Mensiro,60,23,30.0,18.0,10,13,pass accurate,,-0.008554982211709567,0.9035891681060974,1,False,False,False,nan,nan,nan,,nan
5,Östersund,away,Samuel Laryea Mensiro,,33,24,86.0,1.0,12,15,pass inaccurate,,,0.6474791368307187,1,False,False,False,nan,nan,nan,,nan
6,IK Sirius FK,home,Marcus Klingenberg Mathisen,Dennis Widgren,14,99,11.0,67.0,19,22,pass accurate,,0.0023085851629930775,0.9126895181469207,1,False,False,False,nan,nan,nan,,nan
7,IK Sirius FK,home,Dennis Widgren,Adam Ståhl,14,40,31.0,13.0,24,27,pass accurate,,0.0005205514799213676,0.7852128354773981,1,False,False,False,nan,nan,nan,,nan
8,IK Sirius FK,home,Dennis Widgren,,11,67,14.0,40.0,19,27,carry,,0.0015684386635658881,,1,False,False,False,nan,nan,nan,,nan
9,IK Sirius FK,home,Adam Ståhl,Moustafa Zeidan,34,18,39.0,31.0,28,31,pass accurate,,0.0007527059735071007,0.815143415725749,1,False,False,False,nan,nan,nan,,nan
10,IK Sirius FK,home,Moustafa Zeidan,Marcus Klingenberg Mathisen,32,24,33.0,74.0,31,34,pass accurate,,0.0003338397226723567,0.821145779455585,1,False,False,False,nan,nan,nan,,nan
11,IK Sirius FK,home,Marcus Klingenberg Mathisen,Laorent Shabani,33,76,63.0,93.0,34,37,pass accurate,,0.005950165817746333,0.40960823003997054,1,False,False,False,nan,nan,nan,,nan
12,IK Sirius FK,home,Laorent Shabani,Jacob Ortmark,74,93,65.0,75.0,41,44,pass accurate,,-0.0015529266837266097,0.8076174126172057,1,False,False,False,nan,nan,nan,,nan
13,IK Sirius FK,home,Laorent Shabani,,63,93,74.0,93.0,34,44,carry,,0.003925326525479712,,1,False,False,False,nan,nan,nan,,nan
14,IK Sirius FK,home,Jacob Ortmark,Marcus Klingenberg Mathisen,67,79,60.0,85.0,43,46,pass accurate,,-0.0049376838474669525,0.8366620035852576,1,False,False,False,nan,nan,nan,,nan
15,IK Sirius FK,home,Marcus Klingenberg Mathisen,Jacob Ortmark,60,85,64.0,76.0,45,48,pass accurate,,,0.7638421065841218,1,False,False,False,nan,nan,nan,,nan
16,IK Sirius FK,home,Jacob Ortmark,Dennis Widgren,65,74,47.0,50.0,47,50,pass accurate,,-0.00494062721697585,0.8356148397966864,1,False,False,False,nan,nan,nan,,nan
17,IK Sirius FK,home,Dennis Widgren,Adam Ståhl,58,24,78.0,11.0,50,53,pass accurate,,0.01183499946390417,0.6324215366321768,1,False,False,False,nan,nan,nan,,nan
18,IK Sirius FK,home,Dennis Widgren,,47,50,58.0,24.0,47,53,carry,,0.0015273498568611973,,1,False,False,False,nan,nan,nan,,nan
19,IK Sirius FK,home,Adam Ståhl,Moustafa Zeidan,78,13,75.0,27.0,55,58,pass accurate,,0.002476442949955804,0.6858054855846056,1,False,False,False,nan,nan,nan,,nan
20,Östersund,away,Isak Ssali Ssewankambo,,24,63,,,56,61,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
21,Östersund,away,Isak Ssali Ssewankambo,,24,63,,,56,61,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
22,IK Sirius FK,home,Moustafa Zeidan,,77,25,77.0,25.0,56,59,pass inaccurate,,,0.22472962528086024,1,False,False,False,nan,nan,nan,,nan
23,IK Sirius FK,home,Dennis Widgren,Patrick Nwadike,23,0,11.0,9.0,76,79,pass accurate,,-0.0012167428549457078,0.8791688207584001,2,False,False,False,nan,nan,nan,,nan
24,IK Sirius FK,home,Patrick Nwadike,Marcus Klingenberg Mathisen,9,18,13.0,49.0,79,82,pass accurate,,0.0020159303121323607,0.9089868961491531,2,False,False,False,nan,nan,nan,,nan
25,IK Sirius FK,home,Marcus Klingenberg Mathisen,Laorent Shabani,14,43,62.0,92.0,82,85,pass accurate,,0.005864710952627297,0.6148757958470003,2,False,False,False,nan,nan,nan,,nan
26,Östersund,away,Patrick Kpozo,,6,55,,,92,97,clearance inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
27,IK Sirius FK,home,Laorent Shabani,,81,89,94.0,58.0,93,96,pass into the box,,,,2,False,False,False,nan,nan,nan,,nan
28,IK Sirius FK,home,Laorent Shabani,,81,89,94.0,58.0,93,96,pass inaccurate,,,0.4901470335037078,2,False,False,False,nan,nan,nan,,nan
29,IK Sirius FK,home,Laorent Shabani,,81,89,94.0,58.0,93,96,cross inacurate,,,0.4901470335037078,2,False,False,False,nan,nan,nan,,nan
30,IK Sirius FK,home,Yukiya Sugita,,94,58,,,94,99,interception unsuccesful,,,,2,False,False,False,nan,nan,nan,,nan
31,IK Sirius FK,home,Yukiya Sugita,,94,58,,,94,99,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
32,Östersund,away,Samuel Laryea Mensiro,,9,30,61.0,31.0,98,101,pass inaccurate,,,0.491283550716056,2,False,False,False,nan,nan,nan,,nan
33,IK Sirius FK,home,Patrick Nwadike,Dennis Widgren,39,69,46.0,43.0,103,106,pass accurate,,0.0020193072085338028,0.7661843964957198,2,False,False,False,nan,nan,nan,,nan
34,IK Sirius FK,home,Dennis Widgren,Laorent Shabani,47,42,69.0,92.0,107,110,pass accurate,,0.005524249224106482,0.601189208959258,2,False,False,False,nan,nan,nan,,nan
35,IK Sirius FK,home,Laorent Shabani,Nahom Girmai Netabay,70,87,76.0,87.0,114,117,pass accurate,,0.004899422929717897,0.6920503923203942,2,False,False,False,nan,nan,nan,,nan
36,IK Sirius FK,home,Nahom Girmai Netabay,Laorent Shabani,80,92,73.0,94.0,116,119,pass accurate,,-0.005687958262245885,0.8135401943216518,2,False,False,False,nan,nan,nan,,nan
37,IK Sirius FK,home,Nahom Girmai Netabay,,76,87,80.0,92.0,114,119,carry,,-0.002596221831212355,,2,False,False,False,nan,nan,nan,,nan
38,IK Sirius FK,home,Laorent Shabani,Nahom Girmai Netabay,78,92,77.0,83.0,117,120,pass accurate,,0.002596221831212355,0.7022095875611781,2,False,False,False,nan,nan,nan,,nan
39,IK Sirius FK,home,Laorent Shabani,,73,94,78.0,92.0,116,120,carry,,0.005687958262245885,,2,False,False,False,nan,nan,nan,,nan
40,IK Sirius FK,home,Nahom Girmai Netabay,Laorent Shabani,77,87,82.0,93.0,120,123,pass accurate,,-0.002596221831212355,0.4609567203898574,3,False,False,False,nan,nan,nan,,nan
41,IK Sirius FK,home,Laorent Shabani,Jacob Ortmark,83,95,72.0,77.0,122,125,pass accurate,,-0.0023032010985055418,0.7879201903874294,3,False,False,False,nan,nan,nan,,nan
42,IK Sirius FK,home,Jacob Ortmark,Adam Ståhl,72,78,94.0,23.0,124,127,pass into the box,,,,3,False,False,False,nan,nan,nan,,nan
43,IK Sirius FK,home,Jacob Ortmark,Adam Ståhl,72,78,94.0,23.0,124,127,pass accurate,,0.014211226659934,0.6351292216373977,3,False,False,False,nan,nan,nan,,nan
44,IK Sirius FK,home,Adam Ståhl,,96,20,,,125,130,lost ball,,,,3,False,False,False,nan,nan,nan,,nan
