external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,AIK,away,Nicolas Stefanelli,Sotirios Papagiannopoulos,49,51,31.0,60.0,0,3,pass accurate,,-0.0027516241001182586,0.887672738937848,1,False,False,False,nan,nan,nan,,nan
1,AIK,away,Sotirios Papagiannopoulos,,30,58,67.0,5.0,3,6,pass inaccurate,,,0.6568755772417426,1,False,False,False,nan,nan,nan,,nan
2,Varbergs BoIS FC,home,Anton Liljenbäck,,33,95,,,5,10,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
3,AIK,away,Sotirios Papagiannopoulos,Nicolas Stefanelli,43,47,65.0,34.0,8,11,pass accurate,,0.0053213126395841755,0.6931991223818323,1,False,False,False,nan,nan,nan,,nan
4,AIK,away,Nicolas Stefanelli,Erik Ring,67,42,66.0,65.0,10,13,pass accurate,,-0.005598807732970987,0.8022338962927189,1,False,False,False,nan,nan,nan,,nan
5,AIK,away,Nicolas Stefanelli,,65,34,67.0,42.0,8,13,carry,,0.005190496454694472,,1,False,False,False,nan,nan,nan,,nan
6,AIK,away,Nicolas Stefanelli,,69,40,,,10,13,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
7,AIK,away,Nicolas Stefanelli,,69,40,,,10,13,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
8,Varbergs BoIS FC,home,Oliver Stanisic,,36,67,,,10,13,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
9,Varbergs BoIS FC,home,Oliver Stanisic,,36,67,,,10,13,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
10,AIK,away,Mikael Lustig,,70,54,,,11,21,dribble unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
11,AIK,away,Erik Ring,,73,40,,,11,16,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
12,Varbergs BoIS FC,home,Robin Tranberg,,25,65,,,12,17,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
13,Varbergs BoIS FC,home,Robin Tranberg,,25,65,,,12,17,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
14,Varbergs BoIS FC,home,Tashreeq Matthews,Robin Tranberg,41,84,29.0,71.0,15,18,pass accurate,,-0.0006439532062550383,0.8973107490925579,1,False,False,False,nan,nan,nan,,nan
15,Varbergs BoIS FC,home,Robin Tranberg,,32,70,74.0,99.0,16,19,pass inaccurate,,,0.09684791476190126,1,False,False,False,nan,nan,nan,,nan
16,AIK,away,Mikael Lustig,Sebastian Larsson,26,1,33.0,21.0,32,35,pass accurate,,0.001348856074303859,0.7692079428112725,1,False,False,False,nan,nan,nan,,nan
17,AIK,away,Sebastian Larsson,Mikael Lustig,29,21,27.0,6.0,34,37,pass accurate,,-0.001348856074303859,0.8330342323224295,1,False,False,False,nan,nan,nan,,nan
18,AIK,away,Mikael Lustig,,30,5,44.0,7.0,36,39,pass inaccurate,,,0.7791315849001058,1,False,False,False,nan,nan,nan,,nan
19,Varbergs BoIS FC,home,Anton Liljenbäck,,56,93,,,36,41,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
20,Varbergs BoIS FC,home,Anton Liljenbäck,,56,93,,,36,41,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
21,AIK,away,Sebastian Larsson,,32,18,82.0,69.0,38,41,pass inaccurate,,,0.44309976624155306,1,False,False,False,nan,nan,nan,,nan
22,Varbergs BoIS FC,home,Philip Mårtensson,,18,31,57.0,43.0,224,234,pass inaccurate,,,,4,False,False,False,nan,nan,nan,,nan
23,Varbergs BoIS FC,home,Philip Mårtensson,,18,31,57.0,43.0,224,234,goalkeeper kick inaccurate,,,,4,False,False,False,nan,nan,nan,,nan
24,AIK,away,Bilal Hussein,,43,57,,,229,234,interception succesful,,,,4,False,False,False,nan,nan,nan,,nan
