wk,date,time,home,homegoals,away,awaygoals
1,2021-04-10,15:00,Malmö,3,Hammarby,2
1,2021-04-10,17:30,Örebro,0,Göteborg,0
1,2021-04-11,15:00,Halmstad,1,Häcken,0
1,2021-04-11,15:00,Mjällby,0,Varberg,0
1,2021-04-11,17:30,Elfsborg,0,Djurgården,2
1,2021-04-11,17:30,Norrköping,1,Sirius,1
1,2021-04-12,19:00,AIK Stockholm,2,Degerfors,0
1,2021-04-12,19:00,Kalmar,0,Östersund,0
2,2021-04-17,15:00,Hammarby,2,Mjällby,0
2,2021-04-18,15:00,Degerfors,0,Kalmar,1
2,2021-04-18,15:00,Östersund,5,Örebro,0
2,2021-04-18,15:00,Häcken,1,Malmö,2
2,2021-04-18,17:30,Djurgården,1,Norrköping,0
2,2021-04-18,17:30,Sirius,1,Halmstad,0
2,2021-04-19,19:00,Göteborg,2,AIK Stockholm,0
2,2021-04-19,19:00,Varberg,1,Elfsborg,3
3,2021-04-24,15:00,Häcken,1,Sirius,2
3,2021-04-25,15:00,Norrköping,2,Halmstad,1
3,2021-04-25,15:00,Varberg,1,Djurgården,3
3,2021-04-25,15:00,Kalmar,1,Örebro,0
3,2021-04-25,17:30,AIK Stockholm,2,Hammarby,0
3,2021-04-25,17:30,Malmö,1,Östersund,1
3,2021-04-26,18:30,Elfsborg,1,Mjällby,0
3,2021-04-26,18:30,Göteborg,2,Degerfors,3
4,2021-05-01,15:00,Sirius,1,Kalmar,1
4,2021-05-01,17:30,Hammarby,1,Häcken,1
4,2021-05-02,15:00,Östersund,1,Varberg,2
4,2021-05-02,15:00,Halmstad,1,Göteborg,1
4,2021-05-02,15:00,Örebro,0,Norrköping,3
4,2021-05-02,17:30,AIK Stockholm,1,Elfsborg,0
4,2021-05-03,18:30,Mjällby,1,Degerfors,0
4,2021-05-03,18:30,Djurgården,3,Malmö,1
5,2021-05-08,15:00,Göteborg,1,Häcken,1
5,2021-05-08,15:00,Hammarby,3,Sirius,2
5,2021-05-08,17:30,Örebro,1,Halmstad,0
5,2021-05-08,17:30,Elfsborg,2,Kalmar,2
5,2021-05-09,15:00,Degerfors,2,Djurgården,0
5,2021-05-09,15:00,Mjällby,1,Östersund,0
5,2021-05-09,17:30,Malmö,3,Varberg,2
5,2021-05-10,18:30,Norrköping,2,AIK Stockholm,0
6,2021-05-12,18:30,Kalmar,0,Göteborg,0
6,2021-05-12,18:30,Varberg,1,Hammarby,3
6,2021-05-12,18:30,Djurgården,2,Östersund,0
6,2021-05-12,18:30,Häcken,2,Örebro,3
6,2021-05-12,18:30,Sirius,0,Elfsborg,2
6,2021-05-13,17:00,Halmstad,1,Mjällby,1
6,2021-05-13,18:30,Norrköping,1,Degerfors,1
6,2021-05-13,18:30,AIK Stockholm,1,Malmö,1
7,2021-05-16,17:30,Hammarby,2,Djurgården,2
7,2021-05-17,18:30,Östersund,1,AIK Stockholm,2
7,2021-05-17,18:30,Göteborg,2,Sirius,2
7,2021-05-17,18:30,Elfsborg,2,Halmstad,3
7,2021-05-17,18:30,Mjällby,1,Häcken,1
7,2021-05-17,18:30,Varberg,2,Norrköping,1
7,2021-05-17,18:30,Malmö,3,Kalmar,1
7,2021-05-18,18:30,Degerfors,3,Örebro,0
8,2021-05-22,15:00,AIK Stockholm,2,Mjällby,2
8,2021-05-22,17:30,Östersund,3,Sirius,0
8,2021-05-23,15:00,Kalmar,2,Hammarby,1
8,2021-05-23,15:00,Halmstad,0,Degerfors,0
8,2021-05-23,17:30,Häcken,3,Varberg,1
8,2021-05-23,17:30,Djurgården,0,Göteborg,0
8,2021-05-24,18:30,Elfsborg,1,Norrköping,0
8,2021-05-24,18:30,Örebro,1,Malmö,2
9,2021-07-03,15:00,Norrköping,3,Malmö,2
