external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Östersund,Francis Jno-Baptiste,Ronald Mukiibi,51,50,26.0,35.0,0,2,Pass accurate,,-0.005388071414086634,0.9290198776721619,1,False,False,False,,,,,
1,Östersund,Ronald Mukiibi,Ludvig Fritzson,27,36,72.0,85.0,4,6,Pass accurate,,0.011922639772359321,0.5264567354273364,1,False,False,False,,,,,
2,Östersund,Ludvig Fritzson,,77,88,,,6,9,Air challenge unsuccessful,,,,1,False,False,False,,,,,
3,Östersund,Ludvig Fritzson,,77,88,,,6,9,Challenge unsuccessful,,,,1,False,False,False,,,,,
4,Östersund,Ludvig Fritzson,,72,85,77.0,88.0,4,9,Carry,,0.0023032010985055418,,1,False,False,False,,,,,
5,Kalmar FF,Piotr Johansson,,23,14,,,6,9,Air challenge successful,,,,1,False,False,False,,,,,
6,Kalmar FF,Piotr Johansson,,23,14,,,6,9,Challenge successful,,,,1,False,False,False,,,,,
7,Östersund,Ludvig Fritzson,,74,85,,,7,12,Lost ball,,,,1,False,False,False,,,,,
8,Kalmar FF,Romario Pereira Sipiao,,31,24,39.0,29.0,10,12,Pass inaccurate,,,0.7956006219253955,1,False,False,False,,,,,
9,Östersund,Samuel Laryea Mensiro,,61,71,,,10,15,Tackle unsuccessful,,,,1,False,False,False,,,,,
10,Östersund,Samuel Laryea Mensiro,,61,71,,,10,15,Challenge successful,,,,1,False,False,False,,,,,
11,Kalmar FF,Filip Sachpekidis,,66,5,,,14,19,Lost ball,,,,1,False,False,False,,,,,
12,Östersund,Eirik Haugan,,29,97,,,17,22,Lost ball,,,,1,False,False,False,,,,,
13,Östersund,Eirik Haugan,,32,97,,,18,23,Tackle unsuccessful,,,,1,False,False,False,,,,,
14,Östersund,Eirik Haugan,,32,97,,,18,23,Challenge successful,,,,1,False,False,False,,,,,
15,Kalmar FF,Piotr Johansson,Romario Pereira Sipiao,69,1,67.0,15.0,27,29,Pass accurate,,0.0029833395362104873,0.7297749473213482,1,False,False,False,,,,,
16,Kalmar FF,Romario Pereira Sipiao,Piotr Johansson,68,14,63.0,5.0,28,30,Pass accurate,,-0.007775739183648704,0.8591470578359963,1,False,False,False,,,,,
17,Kalmar FF,Piotr Johansson,Lars Saetra,66,5,43.0,5.0,31,33,Pass accurate,,-0.00506778581521688,0.8815160486772732,1,False,False,False,,,,,
18,Kalmar FF,Lars Saetra,Douglas Bergqvist,45,5,27.0,36.0,34,36,Pass accurate,,-0.0006918969040841123,0.8906365041146918,1,False,False,False,,,,,
19,Kalmar FF,Douglas Bergqvist,Elias Olsson,25,32,15.0,32.0,37,39,Pass accurate,,-0.0020611854346581065,0.9405772492660882,1,False,False,False,,,,,
20,Kalmar FF,Elias Olsson,Douglas Bergqvist,38,65,31.0,54.0,43,45,Pass accurate,,-0.0007599427472526447,0.8782640631862326,1,False,False,False,,,,,
21,Kalmar FF,Douglas Bergqvist,Lars Saetra,33,50,35.0,26.0,45,47,Pass accurate,,0.0010659463132557181,0.8805618221203809,1,False,False,False,,,,,
22,Kalmar FF,Lars Saetra,Elias Olsson,39,28,41.0,80.0,49,51,Pass accurate,,-0.0010541402026210348,0.8082765497818667,1,False,False,False,,,,,
23,Kalmar FF,Elias Olsson,,68,91,74.0,72.0,56,58,Pass inaccurate,,,0.7199465974043936,1,False,False,False,,,,,
24,Kalmar FF,Elias Olsson,,41,80,68.0,91.0,49,58,Carry,,0.008291693069258246,,1,False,False,False,,,,,
25,Östersund,Noah Sonko Sundberg,,26,28,26.0,28.0,57,59,Pass inaccurate,,,0.2825058428284436,1,False,False,False,,,,,
26,Kalmar FF,Douglas Bergqvist,Sebastian Ring,27,58,36.0,84.0,68,70,Pass accurate,,1.1806110634683328e-05,0.7568429680950635,2,False,False,False,,,,,
27,Kalmar FF,Sebastian Ring,Lars Saetra,35,74,36.0,31.0,73,75,Pass accurate,,0.0003060035660030734,0.8076304988355285,2,False,False,False,,,,,
28,Kalmar FF,Piotr Johansson,,96,17,,,73,98,Final third entry,,,,2,False,False,False,,,,,
29,Kalmar FF,Lars Saetra,Carl Gustafsson,35,31,43.0,15.0,75,77,Pass accurate,,0.0006469937054146904,0.8486623924372292,2,False,False,False,,,,,
