external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IF Elfsborg,Jeppe Møldrup Okkels,Leo Väisänen,50,52,29.0,49.0,0,3,pass accurate,,-0.0049890352941342146,0.9077521422162625,1,False,False,False,nan,nan,nan,,nan
1,IF Elfsborg,Leo Väisänen,Marokhy Ndione,30,36,73.0,28.0,3,6,pass accurate,,0.013485732987525229,0.5185463601841876,1,False,False,False,nan,nan,nan,,nan
2,IF Elfsborg,Marokhy Ndione,,73,29,,,6,9,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
3,IF Elfsborg,Marokhy Ndione,,73,29,,,6,9,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
4,Varbergs BoIS FC,Albert Ejupi,,27,71,,,6,9,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
5,Varbergs BoIS FC,Albert Ejupi,,27,71,,,6,9,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
6,Varbergs BoIS FC,Joakim Lindner,,34,99,42.0,96.0,36,39,pass inaccurate,,,0.5967216818900251,1,False,False,False,nan,nan,nan,,nan
7,IF Elfsborg,Johan Larsson,,58,4,65.0,1.0,39,42,pass inaccurate,,,0.8197546321146514,1,False,False,False,nan,nan,nan,,nan
8,Varbergs BoIS FC,Joakim Lindner,Tashreeq Matthews,35,99,42.0,95.0,56,59,pass accurate,,0.0014514719536781913,0.8390276420817199,1,False,False,False,nan,nan,nan,,nan
9,Varbergs BoIS FC,Tashreeq Matthews,,43,96,44.0,74.0,59,62,pass inaccurate,,,0.8452556673437456,1,False,False,False,nan,nan,nan,,nan
10,IF Elfsborg,Jeppe Møldrup Okkels,Marokhy Ndione,56,26,62.0,23.0,60,63,pass accurate,,0.0024920660136104264,0.7501046767038257,2,False,False,False,nan,nan,nan,,nan
11,IF Elfsborg,Marokhy Ndione,Christopher Mc Vey,73,70,79.0,93.0,66,69,pass accurate,,0.0016495700599863591,0.5205575428494217,2,False,False,False,nan,nan,nan,,nan
12,IF Elfsborg,Marokhy Ndione,,62,23,73.0,70.0,60,69,carry,,0.004752891988735599,,2,False,False,False,nan,nan,nan,,nan
13,IF Elfsborg,Christopher Mc Vey,Jeppe Møldrup Okkels,77,92,70.0,91.0,71,74,pass accurate,,-0.005687958262245885,0.784458646411617,2,False,False,False,nan,nan,nan,,nan
14,IF Elfsborg,Jeppe Møldrup Okkels,Emmanuel Boateng,69,92,71.0,73.0,72,75,pass accurate,,0.0040383882022595255,0.758359911698151,2,False,False,False,nan,nan,nan,,nan
15,IF Elfsborg,Emmanuel Boateng,Leo Väisänen,67,74,55.0,40.0,75,78,pass accurate,,-0.007192846006866916,0.8213678034570668,2,False,False,False,nan,nan,nan,,nan
16,IF Elfsborg,Leo Väisänen,Johan Larsson,57,31,66.0,5.0,79,82,pass accurate,,0.00042836991076851405,0.8255838770033566,2,False,False,False,nan,nan,nan,,nan
17,IF Elfsborg,Leo Väisänen,,55,40,57.0,31.0,75,82,carry,,-5.2111995479109385e-05,,2,False,False,False,nan,nan,nan,,nan
18,IF Elfsborg,Johan Larsson,Simon Olsson,67,4,62.0,14.0,82,85,pass accurate,,-0.0027287035445963045,0.7745544802424068,2,False,False,False,nan,nan,nan,,nan
