external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IF Elfsborg,Andrè Ibsen Rømer,Joseph Stanley Okumu,49,50,30.0,51.0,0,3,pass accurate,,-0.0027516241001182586,0.903703020964266,1,False,False,False,nan,nan,nan,,nan
1,IF Elfsborg,Joseph Stanley Okumu,,31,39,77.0,18.0,3,6,pass inaccurate,,,0.4722187765191588,1,False,False,False,nan,nan,nan,,nan
2,Malmö FF,Anel Ahmedhodzic,,23,82,,,8,11,foul,,,,1,False,False,False,nan,nan,nan,,nan
3,Malmö FF,Franz Brorsson,,9,57,,,58,63,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
4,IF Elfsborg,Johan Larsson,,97,94,98.0,100.0,91,101,left corner inaccurate,,,,2,False,False,False,corner,cleared,nan,,nan
5,IF Elfsborg,Johan Larsson,,98,100,95.0,57.0,94,97,pass into the box,,,,2,False,False,False,corner,nan,nan,,nan
6,IF Elfsborg,Johan Larsson,,98,100,95.0,57.0,94,97,pass inaccurate,,,0.4065680666081063,2,False,False,False,corner,nan,nan,,nan
7,Malmö FF,Antonio Mirko Colak,,5,43,,,94,99,clearance inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
8,IF Elfsborg,Simon Strand,Tim Rönning,44,85,25.0,55.0,101,104,pass accurate,,-0.001424280402521086,0.9171241108144212,2,False,False,False,corner,nan,nan,,nan
9,IF Elfsborg,Tim Rönning,,25,55,57.0,44.0,105,108,pass inaccurate,,,0.5527875104283475,2,False,False,False,corner,nan,nan,,nan
10,Malmö FF,Pavle Vagic,Antonio Mirko Colak,43,56,60.0,79.0,107,110,pass accurate,,0.003998948396048061,0.7169008785933185,2,False,False,False,nan,nan,nan,,nan
11,Malmö FF,Antonio Mirko Colak,,72,70,89.0,41.0,113,116,pass into the box,,,,2,False,False,False,nan,nan,nan,,nan
12,Malmö FF,Antonio Mirko Colak,,72,70,89.0,41.0,113,116,pass inaccurate,,,0.5379628980032741,2,False,False,False,nan,nan,nan,,nan
13,Malmö FF,Antonio Mirko Colak,,72,70,89.0,41.0,113,116,cross inacurate,,,0.5379628980032741,2,False,False,False,nan,nan,nan,,nan
14,Malmö FF,Antonio Mirko Colak,,60,79,72.0,70.0,107,116,carry,,0.005591314885986135,,2,False,False,False,nan,nan,nan,,nan
