external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Malmö FF,Antonio Mirko Colak,Martin Olsson,49,50,31.0,50.0,0,3,Pass accurate,,-0.0027516241001182586,0.887672738937848,1,False,False,False,,,,,
1,Malmö FF,Martin Olsson,,31,52,40.0,19.0,2,5,Pass inaccurate,,,0.828013317804565,1,False,False,False,,,,,
2,Malmö FF,Anel Ahmedhodzic,,40,19,60.0,19.0,19,22,Pass inaccurate,,,0.5909014106840699,1,False,False,False,,,,,
3,AIK,Erick Ouma Otieno,,77,20,,,19,44,Final third entry,,,,1,False,False,False,,,,,
4,AIK,Erick Ouma Otieno,Zachary Elbouzedi,80,13,93.0,6.0,30,33,Pass accurate,,0.029770301883172215,0.4685685109491892,1,False,False,False,,,,,
5,AIK,Zachary Elbouzedi,,92,7,95.0,92.0,32,35,Pass inaccurate,,,0.38299838553014465,1,False,False,False,,,,,
6,AIK,Zachary Elbouzedi,,92,7,95.0,92.0,32,35,Cross inacurate,,,0.38299838553014465,1,False,False,False,,,,,
7,Malmö FF,Eric Larsson,Anel Ahmedhodzic,5,8,13.0,25.0,45,48,Pass accurate,,0.004071023188408572,0.8990512198697965,1,False,False,False,,,,,
8,Malmö FF,Anel Ahmedhodzic,Sergio Pena,13,25,25.0,25.0,47,50,Pass accurate,,0.0020611854346581065,0.8466336038548347,1,False,False,False,,,,,
9,Malmö FF,Sergio Pena,Eric Larsson,26,25,15.0,6.0,48,51,Pass accurate,,-0.004617558435567302,0.8701098350831784,1,False,False,False,,,,,
10,AIK,Zachary Elbouzedi,,90,61,,,52,62,Penalty box entry successful,,,,1,False,False,False,,,,,
11,Malmö FF,Eric Larsson,Adi Nalic,14,4,29.0,5.0,52,55,Pass accurate,,0.00253709897169678,0.7943057551902191,1,False,False,False,,,,,
12,Malmö FF,Adi Nalic,,29,5,28.0,16.0,53,56,Pass inaccurate,,,0.8558987260371658,1,False,False,False,,,,,
13,AIK,Ebenezer Ofori,Nabil Bahoui,72,84,76.0,75.0,55,58,Pass accurate,,0.004899422929717897,0.7263299841921699,1,False,False,False,,,,,
14,AIK,Nabil Bahoui,Filip Rogic,78,71,82.0,92.0,57,60,Pass accurate,,-0.005839562297124571,0.7040787185251248,1,False,False,False,,,,,
15,AIK,Filip Rogic,Zachary Elbouzedi,92,91,89.0,54.0,59,62,Pass into the box,,,,1,False,False,False,,,,,
16,AIK,Filip Rogic,Zachary Elbouzedi,92,91,89.0,54.0,59,62,Pass accurate,,0.0776163781045111,0.5480646702273629,1,False,False,False,,,,,
17,AIK,Filip Rogic,Zachary Elbouzedi,92,91,89.0,54.0,59,62,Key pass,,,0.5480646702273629,1,False,False,False,,,,,
18,AIK,Zachary Elbouzedi,,90,61,,,62,65,Shot on target,0.11555316325687108,,,2,False,False,False,,,,,-
19,Malmö FF,Johan Dahlin,,10,39,,,62,65,Shot on target saved,,,,2,False,False,False,,,,,-
20,AIK,Zachary Elbouzedi,,90,61,,,62,65,Shot,0.11555316325687108,,,2,False,False,False,,,Left Foot,,
21,Malmö FF,Johan Dahlin,,3,47,,,62,65,Save,0.11555316325687108,,,2,False,False,False,,,Low Saves,,-
22,AIK,Zachary Elbouzedi,,96,71,,,62,67,Offside,,,,2,False,False,False,,,,,
23,AIK,Filip Rogic,,96,71,71.0,67.0,64,67,Pass inaccurate,,,0.7544715219046282,2,False,False,False,,,,,
24,Malmö FF,Anel Ahmedhodzic,Lasse Ladegaard Nielsen,29,33,27.0,68.0,91,94,Pass accurate,,-0.00039776366689430603,0.9144097503213205,2,False,False,False,,,,,
25,Malmö FF,Martin Olsson,,74,94,,,91,116,Final third entry,,,,2,False,False,False,,,,,
26,Malmö FF,Lasse Ladegaard Nielsen,Sergio Pena,28,61,34.0,80.0,93,96,Pass accurate,,1.1806110634683328e-05,0.8456385493327376,2,False,False,False,,,,,
27,Malmö FF,Sergio Pena,Martin Olsson,53,85,66.0,96.0,99,102,Pass accurate,,0.0008163911606975036,0.4761926380046562,2,False,False,False,,,,,
28,Malmö FF,Sergio Pena,,34,80,53.0,85.0,93,102,Carry,,0.003549975383081031,,2,False,False,False,,,,,
29,Malmö FF,Veljko Birmančević,,87,94,,,101,106,Lost ball,,,,2,False,False,False,,,,,
30,Malmö FF,Veljko Birmančević,,87,96,,,101,111,Dribble successful,,,,2,False,False,False,,,,,
31,Malmö FF,Martin Olsson,Veljko Birmančević,72,95,87.0,90.0,101,104,Pass accurate,,0.01190239406509774,0.6026842086021403,2,False,False,False,,,,,
32,AIK,Alexander Milošević,,13,6,,,102,107,Tackle unsuccessful,,,,2,False,False,False,,,,,
33,AIK,Alexander Milošević,,13,6,,,102,107,Challenge successful,,,,2,False,False,False,,,,,
34,Malmö FF,Sergio Pena,Anel Ahmedhodzic,66,87,53.0,45.0,112,115,Pass accurate,,-0.0016015311208807809,0.8015223687152984,2,False,False,False,,,,,
