external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Degerfors IF,Victor Edvardsen,Sebastian Olsson,49,51,32.0,62.0,0,3,pass accurate,,-0.0027516241001182586,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,Degerfors IF,Sebastian Olsson,,30,57,76.0,3.0,3,6,pass inaccurate,,,0.5565102250129418,1,False,False,False,nan,nan,nan,,nan
2,BK Häcken,Oskar Sverrisson,,24,97,26.0,99.0,8,11,pass inaccurate,,,0.028562250368392533,1,False,False,False,nan,nan,nan,,nan
3,Degerfors IF,Gustav Granath,Daniel Janevski,74,1,58.0,3.0,31,34,pass accurate,,-0.007682531712207553,0.7858803603024256,1,False,False,False,nan,nan,nan,,nan
4,Degerfors IF,Daniel Janevski,Sean Sabetkar,55,4,32.0,33.0,33,36,pass accurate,,-0.0028695506545316565,0.8228204335107113,1,False,False,False,nan,nan,nan,,nan
5,Degerfors IF,Sean Sabetkar,Jeffrey Gal,33,32,17.0,53.0,37,40,pass accurate,,-0.001332407184032238,0.9409034277696664,1,False,False,False,nan,nan,nan,,nan
6,Degerfors IF,Jeffrey Gal,,19,60,57.0,77.0,42,45,pass inaccurate,,,0.5576584287021359,1,False,False,False,nan,nan,nan,,nan
7,BK Häcken,Alexander Faltsetas,Godswill Ekpolo,43,23,33.0,11.0,46,49,pass accurate,,-0.004027782911266979,0.8673647113530933,1,False,False,False,nan,nan,nan,,nan
8,BK Häcken,Godswill Ekpolo,Alexander Jeremejeff,35,10,67.0,29.0,48,51,pass accurate,,0.014119872000651594,0.4535575181154273,1,False,False,False,nan,nan,nan,,nan
9,BK Häcken,Alexander Jeremejeff,,69,32,69.0,42.0,51,54,pass inaccurate,,,0.7426706926433522,1,False,False,False,nan,nan,nan,,nan
10,Degerfors IF,Adam Carlén,,31,58,,,51,56,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
11,Degerfors IF,Adam Carlén,,31,58,,,51,56,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
12,Degerfors IF,Adam Carlén,,44,48,71.0,51.0,54,57,pass inaccurate,,,0.5422986360739285,1,False,False,False,nan,nan,nan,,nan
13,BK Häcken,Tobias Carlsson,,29,49,34.0,37.0,57,60,pass inaccurate,,,0.853182918846944,1,False,False,False,nan,nan,nan,,nan
14,Degerfors IF,Abdelrahman Saidi,,66,63,,,57,62,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
15,Degerfors IF,Abdelrahman Saidi,,66,63,,,57,62,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
16,Degerfors IF,Abdelrahman Saidi,,68,61,,,58,63,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
17,BK Häcken,Alexander Faltsetas,Gustav Berggren,32,39,32.0,47.0,61,64,pass accurate,,,0.7922642812885597,2,False,False,False,nan,nan,nan,,nan
18,BK Häcken,Gustav Berggren,Alexander Faltsetas,31,49,31.0,53.0,61,64,pass accurate,,-0.0001646526912263708,0.26549729256844895,2,False,False,False,nan,nan,nan,,nan
19,BK Häcken,Alexander Faltsetas,Johan Hammar,29,54,23.0,37.0,63,66,pass accurate,,-0.001504009359589789,0.9333126376601976,2,False,False,False,nan,nan,nan,,nan
20,BK Häcken,Johan Hammar,Tobias Carlsson,23,38,12.0,66.0,64,67,pass accurate,,-0.0018297028589146207,0.9335530379011319,2,False,False,False,nan,nan,nan,,nan
21,BK Häcken,Tobias Carlsson,,12,64,54.0,98.0,68,71,pass inaccurate,,,0.4809906215669982,2,False,False,False,nan,nan,nan,,nan
22,Degerfors IF,Gustav Granath,Johan Bertilsson,46,2,58.0,12.0,82,85,pass accurate,,0.0021776537504475443,0.6958915984396085,2,False,False,False,nan,nan,nan,,nan
23,Degerfors IF,Johan Bertilsson,Gustav Granath,56,11,42.0,7.0,83,86,pass accurate,,-0.0021776537504475443,0.8816468779787497,2,False,False,False,nan,nan,nan,,nan
24,Degerfors IF,Gustav Granath,,46,6,63.0,28.0,85,88,pass inaccurate,,,0.668427070606571,2,False,False,False,nan,nan,nan,,nan
25,BK Häcken,Johan Hammar,Gustav Berggren,37,72,40.0,73.0,88,91,pass accurate,,,0.5376768751755109,2,False,False,False,nan,nan,nan,,nan
26,BK Häcken,Johan Hammar,,36,74,,,88,91,air challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
27,BK Häcken,Johan Hammar,,36,74,,,88,91,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
28,Degerfors IF,Abdelrahman Saidi,,63,24,,,88,91,air challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
29,Degerfors IF,Abdelrahman Saidi,,63,24,,,88,91,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
30,BK Häcken,Gustav Berggren,,42,74,71.0,53.0,90,93,pass inaccurate,,,0.5171734518175003,2,False,False,False,nan,nan,nan,,nan
31,Degerfors IF,Sebastian Olsson,Jeffrey Gal,29,47,10.0,45.0,93,96,pass accurate,,-0.00165119098944045,0.9387687164520605,2,False,False,False,nan,nan,nan,,nan
32,Degerfors IF,Jeffrey Gal,Daniel Janevski,10,44,10.0,32.0,99,102,pass accurate,,-0.0008090305651700762,0.9259987240610346,2,False,False,False,nan,nan,nan,,nan
33,Degerfors IF,Daniel Janevski,Gustav Granath,11,32,28.0,5.0,101,104,pass accurate,,-1.9274029212415153e-05,0.8634555548294006,2,False,False,False,nan,nan,nan,,nan
34,Degerfors IF,Gustav Granath,Johan Bertilsson,27,5,38.0,5.0,104,107,pass accurate,,0.0014463204507441565,0.8014374435854789,2,False,False,False,nan,nan,nan,,nan
35,Degerfors IF,Victor Edvardsen,,80,17,,,104,129,final third entry,,,,2,False,False,False,nan,nan,nan,,nan
36,Degerfors IF,Victor Edvardsen,,88,24,,,104,114,penalty box entry unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
37,Degerfors IF,Johan Bertilsson,Abdelrahman Saidi,39,5,64.0,27.0,106,109,pass accurate,,0.008969085037223037,0.5039965443063932,2,False,False,False,nan,nan,nan,,nan
38,Degerfors IF,Abdelrahman Saidi,Victor Edvardsen,64,28,83.0,16.0,108,111,pass accurate,,0.010241942821305975,0.661826214028927,2,False,False,False,nan,nan,nan,,nan
39,Degerfors IF,Victor Edvardsen,,89,26,97.0,53.0,113,116,pass inaccurate,,,0.23770066205547646,2,False,False,False,nan,nan,nan,,nan
40,Degerfors IF,Victor Edvardsen,,89,26,97.0,53.0,113,116,cross inacurate,,,0.23770066205547646,2,False,False,False,nan,nan,nan,,nan
