external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Östersund,Francis Jno-Baptiste,Noah Sonko Sundberg,51,49,29.0,50.0,0,3,Pass accurate,,-0.005149041375285539,0.9077521422162625,1,False,False,False,,,,,
1,Östersund,Noah Sonko Sundberg,,31,51,70.0,88.0,2,5,Pass inaccurate,,,0.5036281391169508,1,False,False,False,,,,,
2,BK Häcken,Godswill Ekpolo,Patrik Wålemark,30,12,42.0,14.0,5,8,Pass accurate,,0.004027782911266979,0.771592344158865,1,False,False,False,,,,,
3,Östersund,Ludvig Fritzson,,74,88,,,5,8,Air challenge successful,,,,1,False,False,False,,,,,
4,Östersund,Ludvig Fritzson,,74,88,,,5,8,Challenge successful,,,,1,False,False,False,,,,,
5,BK Häcken,Godswill Ekpolo,,26,12,,,5,8,Air challenge unsuccessful,,,,1,False,False,False,,,,,
6,BK Häcken,Godswill Ekpolo,,26,12,,,5,8,Challenge unsuccessful,,,,1,False,False,False,,,,,
7,BK Häcken,Patrik Wålemark,,42,12,42.0,14.0,7,10,Pass inaccurate,,,0.22628469181820707,1,False,False,False,,,,,
8,Östersund,Patrick Kpozo,,58,86,,,7,10,Air challenge successful,,,,1,False,False,False,,,,,
9,Östersund,Patrick Kpozo,,58,86,,,7,10,Challenge successful,,,,1,False,False,False,,,,,
10,BK Häcken,Patrik Wålemark,,42,14,,,7,10,Air challenge unsuccessful,,,,1,False,False,False,,,,,
11,BK Häcken,Patrik Wålemark,,42,14,,,7,10,Challenge unsuccessful,,,,1,False,False,False,,,,,
12,Östersund,Eirik Haugan,,44,88,45.0,64.0,10,13,Pass inaccurate,,,0.8440016856482054,1,False,False,False,,,,,
13,Östersund,Nikolaos Dosis,Francis Jno-Baptiste,45,64,48.0,53.0,13,16,Pass accurate,,0.0005935349730172637,0.7812723195760852,1,False,False,False,,,,,
14,BK Häcken,Gustav Berggren,Kristoffer Lund Hansen,47,47,57.0,47.0,17,20,Pass accurate,,0.0023697914194990913,0.7291347197379158,1,False,False,False,,,,,
15,BK Häcken,Kristoffer Lund Hansen,,44,90,83.0,97.0,21,24,Pass inaccurate,,,0.6134290856780854,1,False,False,False,,,,,
16,BK Häcken,Kristoffer Lund Hansen,Gustav Berggren,83,97,71.0,92.0,38,41,Pass accurate,,-0.005687958262245885,0.7852490823409507,1,False,False,False,,,,,
17,BK Häcken,Gustav Berggren,Johan Hammar,72,93,53.0,74.0,41,44,Pass accurate,,-0.003838522965512091,0.8441242322249567,1,False,False,False,,,,,
18,BK Häcken,Johan Hammar,Tobias Carlsson,51,74,54.0,89.0,43,46,Pass accurate,,-0.002770227649561228,0.8352197382165127,1,False,False,False,,,,,
19,BK Häcken,Tobias Carlsson,Kristoffer Lund Hansen,52,90,68.0,94.0,45,48,Pass accurate,,0.006608750615073319,0.7349326634620478,1,False,False,False,,,,,
20,BK Häcken,Kristoffer Lund Hansen,Gustav Berggren,69,92,65.0,88.0,48,51,Pass accurate,,-0.003925326525479712,0.7403320578687539,1,False,False,False,,,,,
21,BK Häcken,Gustav Berggren,Johan Hammar,62,82,45.0,58.0,51,54,Pass accurate,,-0.003998948396048061,0.8614155885971638,1,False,False,False,,,,,
22,BK Häcken,Gustav Berggren,,65,88,62.0,82.0,48,54,Carry,,0.002372399841753102,,1,False,False,False,,,,,
23,BK Häcken,Johan Hammar,Joona Toivio,45,52,43.0,27.0,54,57,Pass accurate,,-0.0002463856776072186,0.8723365048389043,1,False,False,False,,,,,
24,BK Häcken,Joona Toivio,Alexander Faltsetas,42,27,52.0,41.0,57,60,Pass accurate,,0.002643802952774499,0.7724297943089855,1,False,False,False,,,,,
25,BK Häcken,Alexander Faltsetas,Johan Hammar,45,39,27.0,72.0,59,62,Pass accurate,,-0.0034113970514068025,0.918463047895967,1,False,False,False,,,,,
26,BK Häcken,Patrik Wålemark,,76,77,,,61,86,Final third entry,,,,2,False,False,False,,,,,
27,BK Häcken,Johan Hammar,Tobias Carlsson,26,71,38.0,87.0,64,67,Pass accurate,,0.0006439532062550383,0.8029125702742973,2,False,False,False,,,,,
28,BK Häcken,Kristoffer Lund Hansen,,96,73,,,65,75,Penalty box entry unsuccessful,,,,2,False,False,False,,,,,
