external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IK Sirius FK,Christian Kouakou,Jacob Ortmark,49,50,38.0,49.0,0,3,Pass accurate,,-0.0014212561028738371,0.8649489695413958,1,False,False,False,,,,,
1,IK Sirius FK,Jacob Ortmark,Tim Björkström,39,42,29.0,22.0,2,5,Pass accurate,,-0.002296354815537133,0.9121279654433834,1,False,False,False,,,,,
2,IK Sirius FK,Tim Björkström,Patrick Nwadike,27,21,24.0,38.0,6,9,Pass accurate,,-0.00025928728457263496,0.9203776121514211,1,False,False,False,,,,,
3,IK Sirius FK,Patrick Nwadike,Tim Björkström,22,44,24.0,28.0,10,13,Pass accurate,,-0.0002787352567244425,0.92487322512243,1,False,False,False,,,,,
4,IK Sirius FK,Tim Björkström,Laorent Shabani,22,30,32.0,5.0,12,15,Pass accurate,,-0.0008108335330067815,0.866074565698425,1,False,False,False,,,,,
5,IK Sirius FK,Laorent Shabani,Tim Björkström,30,4,22.0,19.0,15,18,Pass accurate,,-8.659304327562553e-05,0.9078451225129788,1,False,False,False,,,,,
6,IK Sirius FK,Tim Björkström,Patrick Nwadike,20,28,11.0,35.0,18,21,Pass accurate,,-0.0007915595037943663,0.9234084109819644,1,False,False,False,,,,,
7,IK Sirius FK,Patrick Nwadike,Laorent Shabani,9,31,20.0,15.0,20,23,Pass accurate,,-0.00010586707248804068,0.9136389133823326,1,False,False,False,,,,,
8,AIK,Tom Strannegård,,78,87,,,21,26,Tackle successful,,,,1,False,False,False,,,,,
9,AIK,Tom Strannegård,,78,87,,,21,26,Challenge unsuccessful,,,,1,False,False,False,,,,,
10,IK Sirius FK,Patrick Nwadike,,9,25,,,23,28,Interception succesful,,,,1,False,False,False,,,,,
11,IK Sirius FK,Patrick Nwadike,,9,25,,,23,28,Challenge unsuccessful,,,,1,False,False,False,,,,,
12,AIK,Tom Strannegård,,85,89,75.0,67.0,24,27,Pass inaccurate,,,0.7123734896031082,1,False,False,False,,,,,
13,AIK,Tom Strannegård,,85,89,75.0,67.0,24,27,Cross inacurate,,,0.7123734896031082,1,False,False,False,,,,,
14,IK Sirius FK,Jacob Ortmark,Dennis Widgren,25,33,26.0,85.0,29,32,Pass accurate,,-0.0013376097346070662,0.8985608157421829,1,False,False,False,,,,,
15,IK Sirius FK,Dennis Widgren,Moustafa Zeidan,36,83,37.0,75.0,32,35,Pass accurate,,,0.8102378328836062,1,False,False,False,,,,,
16,IK Sirius FK,Moustafa Zeidan,Dennis Widgren,42,78,26.0,79.0,33,36,Pass accurate,,-0.002996273565854201,0.9196996549401204,1,False,False,False,,,,,
17,IK Sirius FK,Dennis Widgren,Moustafa Zeidan,37,92,45.0,86.0,38,41,Pass accurate,,0.0030751908381166457,0.8197767953733689,1,False,False,False,,,,,
18,AIK,Sebastian Larsson,,40,12,,,39,44,Tackle successful,,,,1,False,False,False,,,,,
