external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Kalmar FF,Oliver Berg,Lars Saetra,51,49,32.0,50.0,0,3,pass accurate,,-0.005149041375285539,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,Kalmar FF,Lars Saetra,,34,51,87.0,89.0,3,6,pass inaccurate,,,0.42919929511265387,1,False,False,False,nan,nan,nan,,nan
2,Kalmar FF,Filip Sachpekidis,Nils Fröling,87,89,75.0,88.0,12,15,pass accurate,,-0.006214435802851855,0.7263465272570471,1,False,False,False,nan,nan,nan,,nan
3,Kalmar FF,Nils Fröling,Sebastian Ring,77,88,71.0,95.0,14,17,pass accurate,,-0.005687958262245885,0.7828585908341944,1,False,False,False,nan,nan,nan,,nan
4,Kalmar FF,Sebastian Ring,Nils Fröling,71,94,71.0,85.0,16,19,pass accurate,,0.003384757163740343,0.7551904656018806,1,False,False,False,nan,nan,nan,,nan
5,Kalmar FF,Jonathan Ring,Sebastian Ring,71,87,72.0,93.0,17,20,pass accurate,,-0.003384757163740343,0.43700355187724,1,False,False,False,nan,nan,nan,,nan
6,Kalmar FF,Nils Fröling,Sebastian Ring,70,93,37.0,90.0,17,20,pass accurate,,-0.00995440961548849,0.87734925984949,1,False,False,False,nan,nan,nan,,nan
7,Kalmar FF,Sebastian Ring,Lars Saetra,36,93,31.0,69.0,21,24,pass accurate,,0.001018763339975205,0.8805653952457727,1,False,False,False,nan,nan,nan,,nan
8,Kalmar FF,Lars Saetra,Nils Fröling,31,69,37.0,84.0,26,29,pass accurate,,0.0006439532062550383,0.7703266507352738,1,False,False,False,nan,nan,nan,,nan
9,Kalmar FF,Nils Fröling,Sebastian Ring,36,82,31.0,77.0,27,30,pass accurate,,-0.0015837992739677984,0.8672625818477112,1,False,False,False,nan,nan,nan,,nan
10,Kalmar FF,Sebastian Ring,Nils Fröling,31,80,37.0,81.0,31,34,pass accurate,,0.0015837992739677984,0.8294800138889149,1,False,False,False,nan,nan,nan,,nan
11,Kalmar FF,Nils Fröling,Oliver Berg,35,84,45.0,84.0,33,36,pass accurate,,0.0014124742918864026,0.7455029695293145,1,False,False,False,nan,nan,nan,,nan
12,Kalmar FF,Oliver Berg,Carl Gustafsson,46,85,44.0,78.0,34,37,pass accurate,,,0.7867732406992268,1,False,False,False,nan,nan,nan,,nan
13,Kalmar FF,Carl Gustafsson,Nils Fröling,44,81,36.0,85.0,35,38,pass accurate,,-0.0014124742918864026,0.8857919205647711,1,False,False,False,nan,nan,nan,,nan
14,Kalmar FF,Nils Fröling,Sebastian Ring,36,85,34.0,67.0,36,39,pass accurate,,0.0007481366366179614,0.8700062614065294,1,False,False,False,nan,nan,nan,,nan
15,Kalmar FF,Sebastian Ring,Lars Saetra,32,68,31.0,46.0,38,41,pass accurate,,0.0007967997868467257,0.8679426731748379,1,False,False,False,nan,nan,nan,,nan
16,Kalmar FF,Lars Saetra,Jonathan Ring,30,38,38.0,19.0,41,44,pass accurate,,0.0001485876485222467,0.8362580392757715,1,False,False,False,nan,nan,nan,,nan
17,Kalmar FF,Jonathan Ring,Romario Pereira Sipiao,35,19,37.0,30.0,43,46,pass accurate,,0.0007527059735071007,0.8633612306634886,1,False,False,False,nan,nan,nan,,nan
18,Kalmar FF,Romario Pereira Sipiao,Carl Gustafsson,59,27,54.0,56.0,46,49,pass accurate,,-0.0029468746100100376,0.8266420000044745,1,False,False,False,nan,nan,nan,,nan
19,Kalmar FF,Romario Pereira Sipiao,,37,30,59.0,27.0,43,49,carry,,0.007034616282114905,,1,False,False,False,nan,nan,nan,,nan
20,Kalmar FF,Carl Gustafsson,Nils Fröling,54,58,71.0,94.0,49,52,pass accurate,,0.003149811194532344,0.6829086557775851,1,False,False,False,nan,nan,nan,,nan
21,Kalmar FF,Nils Fröling,Carl Gustafsson,69,89,67.0,76.0,53,56,pass accurate,,0.003384757163740343,0.7873166668399988,1,False,False,False,nan,nan,nan,,nan
22,Kalmar FF,Nils Fröling,,78,73,,,54,79,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
23,Kalmar FF,Nils Fröling,,88,63,,,55,65,penalty box entry successful,,,,1,False,False,False,nan,nan,nan,,nan
24,Kalmar FF,Carl Gustafsson,Sebastian Ring,63,76,56.0,65.0,57,60,pass accurate,,-0.002285596281785481,0.8060094350007556,1,False,False,False,nan,nan,nan,,nan
25,Kalmar FF,Sebastian Ring,Jonathan Ring,54,65,57.0,56.0,58,61,pass accurate,,0.0006887117709797469,0.7660566600997625,1,False,False,False,nan,nan,nan,,nan
26,Kalmar FF,Jonathan Ring,Nils Fröling,56,61,76.0,73.0,62,65,pass accurate,0.06821831458163863,0.0146773317539028,0.6152973886861484,2,False,False,False,nan,nan,nan,,nan
27,Kalmar FF,Nils Fröling,,90,71,,,62,72,dribble unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
28,Kalmar FF,Nils Fröling,,76,73,90.0,71.0,62,72,carry,,0.026463480924353223,,2,False,False,False,nan,nan,nan,,nan
29,Kalmar FF,Nils Fröling,,93,68,,,66,69,shot on target,0.06821831458163863,,,2,False,False,False,nan,nan,nan,,-
30,Örebro,Bobby Allain,,7,32,,,66,69,shot on target saved,,,,2,False,False,False,nan,nan,nan,,-
31,Kalmar FF,Nils Fröling,,93,68,,,66,69,shot,0.06821831458163863,,,2,False,False,False,nan,nan,left foot,,nan
32,Örebro,Bobby Allain,,3,40,,,66,69,save,0.06821831458163863,,,2,False,False,False,nan,nan,low saves,,-
33,Örebro,Hussein Ali,,9,2,,,68,73,lost ball,,,,2,False,False,False,nan,nan,nan,,nan
34,Örebro,Nasiru Moro,Benjamin Hjertstrand,14,62,22.0,91.0,101,104,pass accurate,,-0.002239013931358327,0.9090860999078562,2,False,False,False,nan,nan,nan,,nan
35,Örebro,Benjamin Hjertstrand,,22,94,34.0,72.0,104,107,pass inaccurate,,,0.8039928661222101,2,False,False,False,nan,nan,nan,,nan
36,Kalmar FF,Carl Gustafsson,,66,28,,,104,109,interception succesful,,,,2,False,False,False,nan,nan,nan,,nan
37,Kalmar FF,Carl Gustafsson,,66,28,,,104,109,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
38,Örebro,David Seger,,32,69,,,106,111,interception succesful,,,,2,False,False,False,nan,nan,nan,,nan
39,Örebro,David Seger,,32,69,,,106,111,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
40,Kalmar FF,Carl Gustafsson,,65,34,67.0,35.0,107,110,pass inaccurate,,,0.2365684169078275,2,False,False,False,nan,nan,nan,,nan
41,Örebro,David Seger,Kevin Adrian Wright,33,65,30.0,77.0,110,113,pass accurate,,-0.0009398460677127601,0.8883990316606439,2,False,False,False,nan,nan,nan,,nan
42,Kalmar FF,Romario Pereira Sipiao,,63,11,,,112,117,interception unsuccesful,,,,2,False,False,False,nan,nan,nan,,nan
43,Kalmar FF,Romario Pereira Sipiao,,63,11,,,112,117,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
44,Örebro,Kevin Adrian Wright,,28,88,28.0,88.0,113,116,pass inaccurate,,,0.26857176647364916,2,False,False,False,nan,nan,nan,,nan
45,Örebro,Kevin Adrian Wright,Jake Larsson,56,100,63.0,80.0,131,134,pass accurate,,0.005055823931346709,0.7939066661011479,3,False,False,False,nan,nan,nan,,nan
46,Örebro,Jake Larsson,Kevin Adrian Wright,63,78,61.0,94.0,131,134,pass accurate,,-0.002372399841753102,0.8618870823782718,3,False,False,False,nan,nan,nan,,nan
47,Kalmar FF,Jonathan Ring,,53,11,,,133,138,tackle unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
48,Kalmar FF,Jonathan Ring,,53,11,,,133,138,challenge successful,,,,3,False,False,False,nan,nan,nan,,nan
49,Örebro,Kevin Adrian Wright,Jake Larsson,61,93,54.0,89.0,133,136,pass accurate,,-0.002683424089593607,0.83821448657144,3,False,False,False,nan,nan,nan,,nan
50,Örebro,Kevin Adrian Wright,Nahir Besara,44,100,35.0,80.0,144,147,pass accurate,,0.00021124459255205189,0.8892633248640829,3,False,False,False,nan,nan,nan,,nan
51,Örebro,Nahir Besara,Benjamin Hjertstrand,38,81,29.0,82.0,146,149,pass accurate,,-0.0015837992739677984,0.8973107490925579,3,False,False,False,nan,nan,nan,,nan
52,Örebro,Benjamin Hjertstrand,Nasiru Moro,27,81,26.0,69.0,148,151,pass accurate,,0.0009398460677127601,0.9065749355351126,3,False,False,False,nan,nan,nan,,nan
53,Örebro,Nasiru Moro,Benjamin Hjertstrand,24,66,28.0,78.0,151,154,pass accurate,,0.000342638780078652,0.8691950188623487,3,False,False,False,nan,nan,nan,,nan
54,Örebro,Benjamin Hjertstrand,Nasiru Moro,29,78,23.0,67.0,157,160,pass accurate,,-0.000342638780078652,0.928243051467031,3,False,False,False,nan,nan,nan,,nan
55,Örebro,Nasiru Moro,Niclas Bergmark,18,64,20.0,30.0,159,162,pass accurate,,0.000410622583821978,0.9321991708423503,3,False,False,False,nan,nan,nan,,nan
56,Kalmar FF,Jonathan Ring,,76,31,,,163,188,final third entry,,,,3,False,False,False,nan,nan,nan,,nan
57,Örebro,Niclas Bergmark,Nasiru Moro,22,29,21.0,63.0,164,167,pass accurate,,-0.000410622583821978,0.9206529582118943,3,False,False,False,nan,nan,nan,,nan
58,Kalmar FF,Romario Pereira Sipiao,,70,32,,,166,171,interception succesful,,,,3,False,False,False,nan,nan,nan,,nan
59,Kalmar FF,Romario Pereira Sipiao,,70,32,,,166,171,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
60,Örebro,Nasiru Moro,,20,68,23.0,75.0,166,169,pass inaccurate,,,0.7941151694256434,3,False,False,False,nan,nan,nan,,nan
61,Kalmar FF,Romario Pereira Sipiao,Jonathan Ring,77,25,72.0,37.0,171,174,pass accurate,,-0.007567598807833222,0.7686548924742271,3,False,False,False,nan,nan,nan,,nan
62,Örebro,Nasiru Moro,,9,70,,,173,178,tackle successful,,,,3,False,False,False,nan,nan,nan,,nan
63,Örebro,Nasiru Moro,,9,70,,,173,178,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
64,Kalmar FF,Filip Sachpekidis,,93,12,,,178,183,interception succesful,,,,3,False,False,False,nan,nan,nan,,nan
65,Kalmar FF,Filip Sachpekidis,,93,12,,,178,183,challenge unsuccessful,,,,3,False,False,False,nan,nan,nan,,nan
66,Örebro,Nasiru Moro,,3,89,9.0,92.0,178,181,pass inaccurate,,,0.874044324598351,3,False,False,False,nan,nan,nan,,nan
