external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Varbergs BoIS FC,away,Robin Tranberg,Joakim Lindner,49,51,28.0,50.0,0,3,pass accurate,,-0.0027516241001182586,0.9161791357261458,1,False,False,False,nan,nan,nan,,nan
1,Varbergs BoIS FC,away,Joakim Lindner,Tashreeq Matthews,29,52,76.0,95.0,3,6,pass accurate,,0.013991457442138814,0.49244080261982964,1,False,False,False,nan,nan,nan,,nan
2,IK Sirius FK,home,Jamie Roche,,24,6,,,8,13,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
3,IK Sirius FK,home,Jamie Roche,,24,6,,,8,13,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
4,Varbergs BoIS FC,away,Jean Carlos De Brito,Tashreeq Matthews,72,93,83.0,95.0,10,13,pass accurate,,0.005687958262245885,0.6785763051625822,1,False,False,False,nan,nan,nan,,nan
5,Varbergs BoIS FC,away,Tashreeq Matthews,Luke Le Roux,76,92,69.0,74.0,13,16,pass accurate,,-0.0016495700599863591,0.7858642711954029,1,False,False,False,nan,nan,nan,,nan
6,Varbergs BoIS FC,away,Tashreeq Matthews,,83,95,76.0,92.0,10,16,carry,,,,1,False,False,False,nan,nan,nan,,nan
7,Varbergs BoIS FC,away,Luke Le Roux,Joakim Lindner,66,72,56.0,25.0,16,19,pass accurate,,-0.002595321937287679,0.7750984238108184,1,False,False,False,nan,nan,nan,,nan
8,Varbergs BoIS FC,away,Joakim Lindner,Anton Liljenbäck,59,16,66.0,4.0,20,23,pass accurate,,-0.0020636961028419123,0.8746339791982611,1,False,False,False,nan,nan,nan,,nan
9,Varbergs BoIS FC,away,Joakim Lindner,,56,25,59.0,16.0,16,23,carry,,0.0024920660136104264,,1,False,False,False,nan,nan,nan,,nan
10,Varbergs BoIS FC,away,Anton Liljenbäck,,68,4,68.0,4.0,26,29,pass inaccurate,,,0.37665043555645256,1,False,False,False,nan,nan,nan,,nan
11,IK Sirius FK,home,David Mitov Nilsson,Adam Ståhl,5,50,11.0,9.0,34,44,pass accurate,,,,1,False,False,False,nan,nan,nan,,nan
12,IK Sirius FK,home,David Mitov Nilsson,Adam Ståhl,5,50,11.0,9.0,34,44,goalkeeper kick accurate,,,,1,False,False,False,nan,nan,nan,,nan
13,IK Sirius FK,home,Adam Ståhl,David Mitov Nilsson,11,10,3.0,44.0,41,44,pass accurate,,0.003572558546129397,0.9071966864372338,1,False,False,False,nan,nan,nan,,nan
14,IK Sirius FK,home,David Mitov Nilsson,,3,42,31.0,24.0,43,46,pass inaccurate,,,0.8009195079276769,1,False,False,False,nan,nan,nan,,nan
15,Varbergs BoIS FC,away,Jean Carlos De Brito,Robin Tranberg,69,76,73.0,48.0,45,48,pass accurate,,0.0016028027064318232,0.7362761148195203,1,False,False,False,nan,nan,nan,,nan
16,Varbergs BoIS FC,away,Robin Tranberg,,72,53,,,49,52,foul,,,,1,False,False,False,nan,nan,nan,,nan
17,IK Sirius FK,home,Joseph Colley,Marcus Klingenberg Mathisen,26,50,29.0,71.0,66,69,pass accurate,,-0.000632147095620355,0.8630417661181841,2,False,False,False,nan,nan,nan,,nan
18,IK Sirius FK,home,Marcus Klingenberg Mathisen,Joseph Colley,28,68,26.0,45.0,67,70,pass accurate,,0.0007967997868467257,0.9084596437917314,2,False,False,False,nan,nan,nan,,nan
19,IK Sirius FK,home,Joseph Colley,Jamie Roche,26,45,24.0,27.0,69,72,pass accurate,,-0.0016686620508161599,0.9299129907778909,2,False,False,False,nan,nan,nan,,nan
20,IK Sirius FK,home,Jamie Roche,Jacob Ortmark,23,28,27.0,32.0,71,74,pass accurate,,0.0012696259308637402,0.7969106499871191,2,False,False,False,nan,nan,nan,,nan
21,IK Sirius FK,home,Jacob Ortmark,Jamie Roche,27,29,21.0,22.0,74,77,pass accurate,,-0.002167052507146147,0.9287868557194029,2,False,False,False,nan,nan,nan,,nan
22,IK Sirius FK,home,Edi Sylisufaj,,78,8,,,76,101,final third entry,,,,2,False,False,False,nan,nan,nan,,nan
23,IK Sirius FK,home,Jamie Roche,Adam Hellborg,23,27,38.0,43.0,76,79,pass accurate,,0.0028343773568342105,0.7733421127816751,2,False,False,False,nan,nan,nan,,nan
24,IK Sirius FK,home,Adam Hellborg,Edi Sylisufaj,46,43,73.0,9.0,79,82,pass accurate,,0.007538448982226713,0.5207716068753029,2,False,False,False,nan,nan,nan,,nan
25,IK Sirius FK,home,Edi Sylisufaj,,95,5,94.0,48.0,85,88,pass into the box,,,,2,False,False,False,nan,nan,nan,,nan
26,IK Sirius FK,home,Edi Sylisufaj,,95,5,94.0,48.0,85,88,pass inaccurate,,,0.3845060047642847,2,False,False,False,nan,nan,nan,,nan
27,IK Sirius FK,home,Edi Sylisufaj,,95,5,94.0,48.0,85,88,cross inacurate,,,0.3845060047642847,2,False,False,False,nan,nan,nan,,nan
28,IK Sirius FK,home,Edi Sylisufaj,,73,9,95.0,5.0,79,88,carry,,0.03779510836183565,,2,False,False,False,nan,nan,nan,,nan
29,Varbergs BoIS FC,away,Stojan Lukic,,6,52,57.0,70.0,115,125,pass inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
30,Varbergs BoIS FC,away,Stojan Lukic,,6,52,57.0,70.0,115,125,goalkeeper kick inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
31,IK Sirius FK,home,Joseph Colley,,43,30,43.0,30.0,122,125,pass inaccurate,,,0.25753474927661163,3,False,False,False,nan,nan,nan,,nan
32,Varbergs BoIS FC,away,Oliver Stanisic,Jean Carlos De Brito,27,78,35.0,92.0,125,128,pass accurate,,-7.891727226244476e-05,0.8558541031899343,3,False,False,False,nan,nan,nan,,nan
33,IK Sirius FK,home,Edi Sylisufaj,,72,6,,,129,132,foul,,,,3,False,False,False,nan,nan,nan,,nan
34,Varbergs BoIS FC,away,Stojan Lukic,,27,91,88.0,89.0,176,179,pass inaccurate,,,0.3762934994322994,3,False,False,False,nan,nan,nan,,nan
35,IK Sirius FK,home,Adam Ståhl,Edi Sylisufaj,12,11,41.0,11.0,181,184,pass accurate,,0.003983419422440937,0.6510265156944279,4,False,False,False,nan,nan,nan,,nan
36,Varbergs BoIS FC,away,Jean Carlos De Brito,,59,90,,,185,190,tackle successful,,,,4,False,False,False,nan,nan,nan,,nan
37,Varbergs BoIS FC,away,Jean Carlos De Brito,,59,90,,,185,190,challenge unsuccessful,,,,4,False,False,False,nan,nan,nan,,nan
38,Varbergs BoIS FC,away,Jean Carlos De Brito,Luke Le Roux,59,87,59.0,81.0,188,191,pass accurate,,,0.6681452517595218,4,False,False,False,nan,nan,nan,,nan
39,Varbergs BoIS FC,away,Luke Le Roux,Hampus Zackrisson,59,79,41.0,85.0,189,192,pass accurate,,-0.006738766385531636,0.8848438781546936,4,False,False,False,nan,nan,nan,,nan
40,Varbergs BoIS FC,away,Hampus Zackrisson,Stojan Lukic,41,82,16.0,54.0,191,194,pass accurate,,-0.001934326294299897,0.9378059101039934,4,False,False,False,nan,nan,nan,,nan
41,Varbergs BoIS FC,away,Stojan Lukic,,16,49,60.0,33.0,196,199,pass inaccurate,,,0.5721566475988201,4,False,False,False,nan,nan,nan,,nan
42,IK Sirius FK,home,Marcus Klingenberg Mathisen,,40,67,61.0,59.0,199,202,pass inaccurate,,,0.690269103901827,4,False,False,False,nan,nan,nan,,nan
43,Varbergs BoIS FC,away,Oliver Stanisic,,39,41,65.0,39.0,202,205,pass inaccurate,,,0.6483134913598567,4,False,False,False,nan,nan,nan,,nan
44,IK Sirius FK,home,Jamie Roche,,35,61,37.0,62.0,204,207,pass inaccurate,,,0.2781914621651016,4,False,False,False,nan,nan,nan,,nan
45,IK Sirius FK,home,Jamie Roche,,37,62,,,204,207,air challenge unsuccessful,,,,4,False,False,False,nan,nan,nan,,nan
46,IK Sirius FK,home,Jamie Roche,,37,62,,,204,207,challenge unsuccessful,,,,4,False,False,False,nan,nan,nan,,nan
47,Varbergs BoIS FC,away,Simon Karlsson Adjei,,64,37,,,204,207,air challenge successful,,,,4,False,False,False,nan,nan,nan,,nan
48,Varbergs BoIS FC,away,Simon Karlsson Adjei,,64,37,,,204,207,challenge successful,,,,4,False,False,False,nan,nan,nan,,nan
49,Varbergs BoIS FC,away,Anton Liljenbäck,,58,23,86.0,45.0,208,211,pass into the box,,,,4,False,False,False,nan,nan,nan,,nan
50,Varbergs BoIS FC,away,Anton Liljenbäck,,58,23,86.0,45.0,208,211,pass inaccurate,,,0.5219960632669923,4,False,False,False,nan,nan,nan,,nan
51,IK Sirius FK,home,David Mitov Nilsson,Jacob Ortmark,14,55,28.0,50.0,208,218,pass accurate,,,,4,False,False,False,nan,nan,nan,,nan
52,IK Sirius FK,home,David Mitov Nilsson,Jacob Ortmark,14,55,28.0,50.0,208,218,goalkeeper throw accurate,,,,4,False,False,False,nan,nan,nan,,nan
53,IK Sirius FK,home,David Mitov Nilsson,,13,55,,,210,215,interception succesful,,,,4,False,False,False,nan,nan,nan,,nan
54,IK Sirius FK,home,David Mitov Nilsson,,13,55,,,210,215,challenge unsuccessful,,,,4,False,False,False,nan,nan,nan,,nan
55,IK Sirius FK,home,Marcus Klingenberg Mathisen,Joseph Colley,36,79,30.0,58.0,222,225,pass accurate,,-1.1806110634683328e-05,0.8954789609775199,4,False,False,False,nan,nan,nan,,nan
56,IK Sirius FK,home,Joseph Colley,Jamie Roche,28,56,29.0,32.0,224,227,pass accurate,,-0.00023438342872604892,0.8984965075225582,4,False,False,False,nan,nan,nan,,nan
57,IK Sirius FK,home,Jamie Roche,Joseph Colley,29,33,29.0,49.0,226,229,pass accurate,,0.0003990361199524197,0.8755834903944405,4,False,False,False,nan,nan,nan,,nan
58,IK Sirius FK,home,Adam Ståhl,,77,26,,,226,251,final third entry,,,,4,False,False,False,nan,nan,nan,,nan
59,IK Sirius FK,home,Adam Ståhl,,86,29,,,227,237,penalty box entry successful,,,,4,False,False,False,nan,nan,nan,,nan
60,IK Sirius FK,home,Joseph Colley,Marcus Klingenberg Mathisen,28,49,27.0,72.0,228,231,pass accurate,,-0.0007967997868467257,0.9100867805357371,4,False,False,False,nan,nan,nan,,nan
61,IK Sirius FK,home,Marcus Klingenberg Mathisen,Adam Ståhl,28,65,67.0,8.0,230,233,pass accurate,,0.010949846033633515,0.5938348022589007,4,False,False,False,nan,nan,nan,,nan
62,IK Sirius FK,home,Marcus Klingenberg Mathisen,Adam Ståhl,28,65,67.0,8.0,230,233,key pass,,,0.5938348022589007,4,False,False,False,nan,nan,nan,,nan
63,IK Sirius FK,home,Adam Ståhl,,66,8,,,231,241,dribble successful,,,,4,False,False,False,nan,nan,nan,,nan
