external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,AIK,Nicolas Stefanelli,Sotirios Papagiannopoulos,50,51,28.0,40.0,0,3,pass accurate,,-0.0049890352941342146,0.9161791357261458,1,False,False,False,nan,nan,nan,,nan
1,AIK,Sotirios Papagiannopoulos,Per Karlsson,29,33,27.0,61.0,2,5,pass accurate,,0.00023438342872604892,0.9106240852808694,1,False,False,False,nan,nan,nan,,nan
2,AIK,Per Karlsson,Eric Kahl,28,54,30.0,82.0,4,7,pass accurate,,-0.001571993163333115,0.8787506339010136,1,False,False,False,nan,nan,nan,,nan
3,AIK,Eric Kahl,Per Karlsson,30,84,27.0,54.0,5,8,pass accurate,,0.001571993163333115,0.9115597311118212,1,False,False,False,nan,nan,nan,,nan
4,AIK,Per Karlsson,Sotirios Papagiannopoulos,29,49,28.0,30.0,8,11,pass accurate,,-0.0003990361199524197,0.901869269431033,1,False,False,False,nan,nan,nan,,nan
5,AIK,Sotirios Papagiannopoulos,Eric Kahl,30,33,28.0,74.0,14,17,pass accurate,,-0.00039776366689430603,0.8876762992126072,1,False,False,False,nan,nan,nan,,nan
6,AIK,Eric Kahl,Per Karlsson,31,70,28.0,48.0,17,20,pass accurate,,0.0007967997868467257,0.8875508870076803,1,False,False,False,nan,nan,nan,,nan
7,AIK,Per Karlsson,Sotirios Papagiannopoulos,31,48,33.0,19.0,20,23,pass accurate,,-0.0011306395095190824,0.8668049043636734,1,False,False,False,nan,nan,nan,,nan
8,AIK,Sotirios Papagiannopoulos,Erick Ouma Otieno,32,22,67.0,8.0,23,26,pass accurate,,0.011283685756305872,0.5175020249158223,1,False,False,False,nan,nan,nan,,nan
9,AIK,Erick Ouma Otieno,,71,25,71.0,25.0,28,31,pass inaccurate,,,0.22977957086165948,1,False,False,False,nan,nan,nan,,nan
10,AIK,Erick Ouma Otieno,,67,8,71.0,25.0,23,31,carry,,0.0029336506207860193,,1,False,False,False,nan,nan,nan,,nan
11,BK Häcken,Peter Abrahamsson,,5,37,45.0,19.0,57,67,pass inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
12,BK Häcken,Peter Abrahamsson,,5,37,45.0,19.0,57,67,goalkeeper kick inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
13,AIK,Erik Ring,,55,81,,,64,67,air challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
14,AIK,Erik Ring,,55,81,,,64,67,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
15,BK Häcken,Patrik Wålemark,,43,21,,,65,68,air challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
16,BK Häcken,Patrik Wålemark,,43,21,,,65,68,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
17,AIK,Eric Kahl,,29,96,40.0,67.0,83,86,pass inaccurate,,,0.7992577223956132,2,False,False,False,nan,nan,nan,,nan
18,AIK,Saku Ylätupa,,40,67,,,85,90,interception succesful,,,,2,False,False,False,nan,nan,nan,,nan
19,AIK,Saku Ylätupa,,40,67,,,85,90,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
20,BK Häcken,Joona Toivio,,40,17,57.0,29.0,85,88,pass inaccurate,,,0.6968131119959151,2,False,False,False,nan,nan,nan,,nan
21,AIK,Saku Ylätupa,Bilal Hussein,43,71,31.0,78.0,86,89,pass accurate,,-0.00373008229043411,0.8803572422962729,2,False,False,False,nan,nan,nan,,nan
22,AIK,Bilal Hussein,Erick Ouma Otieno,33,75,39.0,23.0,87,90,pass accurate,,0.0018852335030817326,0.8141984912634066,2,False,False,False,nan,nan,nan,,nan
23,AIK,Erick Ouma Otieno,Sotirios Papagiannopoulos,44,18,33.0,25.0,94,97,pass accurate,,-0.0019473234473964575,0.8673647113530933,2,False,False,False,nan,nan,nan,,nan
24,AIK,Sotirios Papagiannopoulos,Bilal Hussein,40,27,39.0,71.0,97,100,pass accurate,,-0.0003060035660030734,0.8156404979129692,2,False,False,False,nan,nan,nan,,nan
25,AIK,Bilal Hussein,Per Karlsson,38,74,30.0,50.0,101,104,pass accurate,,-0.0007599427472526447,0.8954789609775199,2,False,False,False,nan,nan,nan,,nan
26,AIK,Per Karlsson,Bilal Hussein,30,49,39.0,77.0,104,107,pass accurate,,-0.00015284658059168746,0.8005665407903325,2,False,False,False,nan,nan,nan,,nan
27,AIK,Bilal Hussein,Eric Kahl,35,82,65.0,92.0,107,110,pass accurate,,0.004366366543778534,0.6109145103370487,2,False,False,False,nan,nan,nan,,nan
28,AIK,Eric Kahl,Ebenezer Ofori,64,84,61.0,68.0,110,113,pass accurate,,0.0009416788209277889,0.8060094350007556,2,False,False,False,nan,nan,nan,,nan
29,AIK,Eric Kahl,,65,92,64.0,84.0,107,113,carry,,0.002372399841753102,,2,False,False,False,nan,nan,nan,,nan
30,AIK,Ebenezer Ofori,Bilal Hussein,65,64,45.0,86.0,111,114,pass accurate,,-0.006267970914573023,0.8737944080911422,2,False,False,False,nan,nan,nan,,nan
31,AIK,Ebenezer Ofori,,61,68,65.0,64.0,110,114,carry,,,,2,False,False,False,nan,nan,nan,,nan
32,AIK,Bilal Hussein,Erik Ring,46,83,69.0,92.0,113,116,pass accurate,,0.006879218777371843,0.6690001872619995,2,False,False,False,nan,nan,nan,,nan
33,BK Häcken,Joona Toivio,,27,29,,,114,119,interception unsuccesful,,,,2,False,False,False,nan,nan,nan,,nan
34,BK Häcken,Joona Toivio,,27,29,,,114,119,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
35,AIK,Erik Ring,,69,92,73.0,78.0,114,117,pass inaccurate,,,0.7445288147852176,2,False,False,False,nan,nan,nan,,nan
36,BK Häcken,Joona Toivio,,27,22,30.0,29.0,116,119,pass inaccurate,,,0.7909040530684658,2,False,False,False,nan,nan,nan,,nan
37,AIK,Ebenezer Ofori,,70,71,,,116,121,interception succesful,,,,2,False,False,False,nan,nan,nan,,nan
38,AIK,Ebenezer Ofori,,70,71,,,116,121,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
39,AIK,Ebenezer Ofori,Erick Ouma Otieno,66,66,71.0,11.0,118,121,pass accurate,,0.002625447620919052,0.6710575770899938,2,False,False,False,nan,nan,nan,,nan
40,AIK,Erick Ouma Otieno,,81,11,76.0,69.0,123,126,pass inaccurate,,,0.5684672855120682,3,False,False,False,nan,nan,nan,,nan
41,AIK,Erick Ouma Otieno,,81,11,76.0,69.0,123,126,cross inacurate,,,0.5684672855120682,3,False,False,False,nan,nan,nan,,nan
42,AIK,Erick Ouma Otieno,,71,11,81.0,11.0,118,126,carry,,0.005796274482870466,,2,False,False,False,nan,nan,nan,,nan
43,BK Häcken,Erik Friberg,Godswill Ekpolo,24,31,29.0,9.0,129,132,pass accurate,,-0.0008108335330067815,0.8103578306640379,3,False,False,False,nan,nan,nan,,nan
44,BK Häcken,Godswill Ekpolo,Erik Friberg,27,9,27.0,30.0,132,135,pass accurate,,0.0020804594638705216,0.8940152863581843,3,False,False,False,nan,nan,nan,,nan
45,BK Häcken,Erik Friberg,Gustav Berggren,21,34,28.0,34.0,138,141,pass accurate,,0.0012696259308637402,0.8523353449044134,3,False,False,False,nan,nan,nan,,nan
46,BK Häcken,Gustav Berggren,Godswill Ekpolo,25,28,29.0,9.0,140,143,pass accurate,,-0.0020804594638705216,0.8054759495002944,3,False,False,False,nan,nan,nan,,nan
47,BK Häcken,Godswill Ekpolo,Gustav Berggren,28,4,32.0,22.0,143,146,pass accurate,,0.001348856074303859,0.7930992256760072,3,False,False,False,nan,nan,nan,,nan
48,BK Häcken,Gustav Berggren,Godswill Ekpolo,30,19,23.0,26.0,144,147,pass accurate,,-0.0005380225412970775,0.9252827641054877,3,False,False,False,nan,nan,nan,,nan
49,BK Häcken,Godswill Ekpolo,Johan Hammar,20,29,25.0,68.0,148,151,pass accurate,,0.0008718622639694341,0.8734589493701326,3,False,False,False,nan,nan,nan,,nan
50,BK Häcken,Johan Hammar,Joona Toivio,26,68,25.0,39.0,153,156,pass accurate,,0.0007967997868467257,0.8961449266024355,3,False,False,False,nan,nan,nan,,nan
51,BK Häcken,Joona Toivio,Peter Abrahamsson,23,63,8.0,56.0,157,160,pass accurate,,0.0003303668795154001,0.9305497739963653,3,False,False,False,nan,nan,nan,,nan
52,BK Häcken,Joona Toivio,,25,39,23.0,63.0,153,160,carry,,-0.002079284634638138,,3,False,False,False,nan,nan,nan,,nan
53,BK Häcken,Peter Abrahamsson,,5,56,72.0,66.0,159,162,pass inaccurate,,,0.48620918356276543,3,False,False,False,nan,nan,nan,,nan
54,AIK,Sotirios Papagiannopoulos,Budimir Janosevic,28,34,7.0,54.0,166,169,pass accurate,,-0.001349881635170318,0.936742095807094,3,False,False,False,nan,nan,nan,,nan
55,AIK,Budimir Janosevic,Eric Kahl,7,60,22.0,90.0,169,172,pass accurate,,-0.0025772690511271738,0.9005166468432104,3,False,False,False,nan,nan,nan,,nan
56,AIK,Eric Kahl,,21,92,35.0,75.0,173,176,pass inaccurate,,,0.8039928661222101,3,False,False,False,nan,nan,nan,,nan
