external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Malmö FF,Malik Abubakari,Sergio Pena,49,49,37.0,64.0,0,3,Pass accurate,,-0.0020193072085338028,0.8821105643271655,1,False,False,False,,,,,
1,Malmö FF,Sergio Pena,Anel Ahmedhodzic,38,61,32.0,32.0,1,4,Pass accurate,,-0.0014774793826186627,0.8895557510344024,1,False,False,False,,,,,
2,Malmö FF,Anel Ahmedhodzic,Sergio Pena,33,36,44.0,50.0,3,6,Pass accurate,,0.0029860075288443075,0.8103798942126422,1,False,False,False,,,,,
3,Malmö FF,Sergio Pena,Adi Nalic,45,47,59.0,30.0,5,8,Pass accurate,,0.0053213126395841755,0.7588160276386212,1,False,False,False,,,,,
4,Malmö FF,Adi Nalic,Eric Larsson,59,28,34.0,6.0,7,10,Pass accurate,,-0.008969085037223037,0.7870919724886413,1,False,False,False,,,,,
5,Malmö FF,Eric Larsson,Anel Ahmedhodzic,38,5,32.0,20.0,11,14,Pass accurate,,-9.746437644029757e-05,0.8357075521887005,1,False,False,False,,,,,
6,Malmö FF,Anel Ahmedhodzic,Eric Larsson,31,21,38.0,6.0,14,17,Pass accurate,,9.746437644029757e-05,0.6794036322936643,1,False,False,False,,,,,
7,Malmö FF,Eric Larsson,Anel Ahmedhodzic,36,6,28.0,20.0,18,21,Pass accurate,,-9.746437644029757e-05,0.8787453486221218,1,False,False,False,,,,,
8,Malmö FF,Anel Ahmedhodzic,Bonke Innocent,26,19,29.0,28.0,20,23,Pass accurate,,0.0007316033895666627,0.8400491353959126,1,False,False,False,,,,,
9,Malmö FF,Bonke Innocent,Johan Dahlin,28,31,3.0,42.0,22,25,Pass accurate,,-0.0010449998894379049,0.936742095807094,1,False,False,False,,,,,
10,Malmö FF,Johan Dahlin,Jo Inge Berget,10,56,42.0,22.0,31,34,Pass accurate,,0.0036354602023356223,0.7238386580019739,1,False,False,False,,,,,
11,Malmö FF,Jo Inge Berget,Adi Nalic,42,22,58.0,15.0,32,35,Pass accurate,,0.0025660339383090473,0.7148319804028218,1,False,False,False,,,,,
12,IK Sirius FK,Laorent Shabani,Jacob Ortmark,44,83,46.0,76.0,35,38,Pass accurate,,,0.7278114746762554,1,False,False,False,,,,,
13,IK Sirius FK,Jacob Ortmark,Marcus Klingenberg Mathisen,46,75,36.0,93.0,36,39,Pass accurate,,-0.0030751908381166457,0.7749672213597112,1,False,False,False,,,,,
14,IK Sirius FK,Moustafa Zeidan,,77,40,,,38,63,Final third entry,,,,1,False,False,False,,,,,
15,IK Sirius FK,Adam Ståhl,,95,26,,,40,50,Penalty box entry unsuccessful,,,,1,False,False,False,,,,,
16,IK Sirius FK,Marcus Klingenberg Mathisen,Moustafa Zeidan,41,75,55.0,50.0,41,44,Pass accurate,,0.005141881874725902,0.7292933996119781,1,False,False,False,,,,,
17,IK Sirius FK,Moustafa Zeidan,Adam Ståhl,76,36,94.0,25.0,47,50,Pass into the box,,,,1,False,False,False,,,,,
18,IK Sirius FK,Moustafa Zeidan,Adam Ståhl,76,36,94.0,25.0,47,50,Pass accurate,,0.023818805715770927,0.7002690604516625,1,False,False,False,,,,,
19,IK Sirius FK,Moustafa Zeidan,,55,50,76.0,36.0,41,50,Carry,,0.015665260381271816,,1,False,False,False,,,,,
20,IK Sirius FK,Adam Ståhl,,93,25,97.0,40.0,49,52,Pass inaccurate,,,0.24364476428580265,1,False,False,False,,,,,
21,Malmö FF,Anel Ahmedhodzic,,3,60,10.0,99.0,50,53,Pass inaccurate,,,0.2932017443127682,1,False,False,False,,,,,
22,Malmö FF,Søren Rieks,Sergio Pena,10,99,14.0,90.0,72,75,Pass accurate,,,0.9075280682014785,2,False,False,False,,,,,
23,Malmö FF,Sergio Pena,Søren Rieks,13,89,8.0,95.0,73,76,Pass accurate,,-0.0014459941826564637,0.8821047037369653,2,False,False,False,,,,,
24,Malmö FF,Sergio Pena,,19,95,,,74,79,Lost ball,,,,2,False,False,False,,,,,
25,Malmö FF,Søren Rieks,Sergio Pena,8,96,16.0,95.0,75,78,Pass accurate,,0.0014459941826564637,0.9113242799747155,2,False,False,False,,,,,
26,IK Sirius FK,Adam Ståhl,Dennis Widgren,75,1,72.0,6.0,82,85,Pass accurate,,-0.005796274482870466,0.3238958156628951,2,False,False,False,,,,,
27,IK Sirius FK,Dennis Widgren,Joseph Colley,68,10,45.0,15.0,85,88,Pass accurate,,-0.008604758919342752,0.8528095835530796,2,False,False,False,,,,,
28,IK Sirius FK,Dennis Widgren,,72,6,68.0,10.0,82,88,Carry,,,,2,False,False,False,,,,,
29,IK Sirius FK,Joseph Colley,Marcus Klingenberg Mathisen,45,15,42.0,40.0,86,89,Pass accurate,,0.001066309937116039,0.8399757452228988,2,False,False,False,,,,,
30,IK Sirius FK,Marcus Klingenberg Mathisen,Adam Ståhl,45,45,74.0,9.0,90,93,Pass accurate,,0.007538448982226713,0.49530430158958155,2,False,False,False,,,,,
31,IK Sirius FK,Adam Ståhl,Moustafa Zeidan,75,13,72.0,20.0,93,96,Pass accurate,,-0.00504146694245295,0.690253094067229,2,False,False,False,,,,,
32,IK Sirius FK,Moustafa Zeidan,,83,12,,,95,100,Lost ball,,,,2,False,False,False,,,,,
33,IK Sirius FK,Moustafa Zeidan,,72,20,83.0,12.0,93,100,Carry,,0.002812934946659979,,2,False,False,False,,,,,
34,IK Sirius FK,Moustafa Zeidan,,83,12,,,95,105,Dribble unsuccessful,,,,2,False,False,False,,,,,
35,Malmö FF,Sergio Pena,,17,88,,,96,101,Tackle successful,,,,2,False,False,False,,,,,
36,Malmö FF,Sergio Pena,,17,88,,,96,101,Challenge unsuccessful,,,,2,False,False,False,,,,,
37,Malmö FF,Sergio Pena,Søren Rieks,19,91,8.0,88.0,99,102,Pass accurate,,-0.0026480221924059678,0.9199908274769165,2,False,False,False,,,,,
38,Malmö FF,Søren Rieks,Malik Abubakari,11,86,40.0,77.0,101,104,Pass accurate,,0.004033129445984806,0.7032515893442619,2,False,False,False,,,,,
39,Malmö FF,Malik Abubakari,Adi Nalic,41,75,35.0,81.0,105,108,Pass accurate,,,0.8755027608014301,2,False,False,False,,,,,
40,IK Sirius FK,Jacob Ortmark,Dennis Widgren,68,19,59.0,20.0,110,113,Pass accurate,,-0.005712043080806792,0.8119903046367195,2,False,False,False,,,,,
41,IK Sirius FK,Dennis Widgren,Jacob Ortmark,59,17,68.0,15.0,110,113,Pass accurate,,0.005712043080806792,0.6955403589244394,2,False,False,False,,,,,
42,IK Sirius FK,Jacob Ortmark,,66,26,79.0,23.0,114,117,Pass inaccurate,,,0.6444320014557244,2,False,False,False,,,,,
43,IK Sirius FK,Jacob Ortmark,,68,15,66.0,26.0,110,117,Carry,,-0.005200475878853025,,2,False,False,False,,,,,
44,IK Sirius FK,Christian Kouakou,,79,23,,,115,120,Offside,,,,2,False,False,False,,,,,
45,Malmö FF,Niklas Moisander,Søren Rieks,18,73,23.0,92.0,130,133,Pass accurate,,-0.0022469021716117737,0.9191348456034698,3,False,False,False,,,,,
46,Malmö FF,Søren Rieks,Malik Abubakari,23,92,57.0,73.0,132,135,Pass accurate,,0.00862651032940438,0.5581462270102329,3,False,False,False,,,,,
47,Malmö FF,Malik Abubakari,,54,74,46.0,55.0,134,137,Pass inaccurate,,,0.8256278734987563,3,False,False,False,,,,,
48,IK Sirius FK,Nahom Girmai Netabay,Jacob Ortmark,54,45,49.0,29.0,137,140,Pass accurate,,-0.002643802952774499,0.847468143540691,3,False,False,False,,,,,
49,IK Sirius FK,Jacob Ortmark,Marcus Klingenberg Mathisen,49,31,35.0,49.0,138,141,Pass accurate,,-0.0011748704252666185,0.8811010566007584,3,False,False,False,,,,,
50,IK Sirius FK,Marcus Klingenberg Mathisen,Joseph Colley,35,47,35.0,29.0,140,143,Pass accurate,,-0.0002644216839887033,0.8900218939476326,3,False,False,False,,,,,
51,IK Sirius FK,Joseph Colley,Dennis Widgren,35,29,36.0,11.0,143,146,Pass accurate,,-0.0019344687551081322,0.8720439502312455,3,False,False,False,,,,,
52,IK Sirius FK,Dennis Widgren,Nahom Girmai Netabay,36,32,48.0,56.0,147,150,Pass accurate,,0.0016856777868625404,0.7484287317020211,3,False,False,False,,,,,
53,IK Sirius FK,Nahom Girmai Netabay,Laorent Shabani,47,56,67.0,95.0,149,152,Pass accurate,,0.005551875079774671,0.6069361577650152,3,False,False,False,,,,,
54,IK Sirius FK,Laorent Shabani,,81,75,82.0,55.0,157,160,Pass inaccurate,,,0.6490051427536875,3,False,False,False,,,,,
55,IK Sirius FK,Laorent Shabani,,67,95,81.0,75.0,149,160,Carry,,0.00828418009345824,,3,False,False,False,,,,,
56,Malmö FF,Niklas Moisander,Jo Inge Berget,18,45,25.0,19.0,158,161,Pass accurate,,0.00025928728457263496,0.8905508179897843,3,False,False,False,,,,,
57,Malmö FF,Jo Inge Berget,Adi Nalic,36,16,42.0,26.0,161,164,Pass accurate,,0.0021919980827624225,0.8247412404607346,3,False,False,False,,,,,
58,Malmö FF,Adi Nalic,Eric Larsson,43,23,29.0,19.0,164,167,Pass accurate,,-0.00267892683696312,0.8913252586599802,3,False,False,False,,,,,
59,Malmö FF,Eric Larsson,Anel Ahmedhodzic,34,13,28.0,25.0,168,171,Pass accurate,,-0.0005476237684746664,0.8848765278948459,3,False,False,False,,,,,
60,Malmö FF,Anel Ahmedhodzic,Bonke Innocent,32,22,37.0,32.0,173,176,Pass accurate,,0.00203193313154843,0.8534865516690854,3,False,False,False,,,,,
61,Malmö FF,Bonke Innocent,Sergio Pena,40,35,47.0,71.0,176,179,Pass accurate,,0.0010921428138452767,0.7377500989752901,3,False,False,False,,,,,
62,Malmö FF,Sergio Pena,Anel Ahmedhodzic,51,67,40.0,18.0,181,184,Pass accurate,,-0.004151735874632221,0.8545899006502207,4,False,False,False,,,,,
63,Malmö FF,Anel Ahmedhodzic,Eric Larsson,47,17,59.0,6.0,185,188,Pass accurate,,0.003812359271904535,0.6105066713506072,4,False,False,False,,,,,
64,Malmö FF,Adi Nalic,,89,16,,,188,213,Final third entry,,,,4,False,False,False,,,,,
65,Malmö FF,Eric Larsson,Adi Nalic,58,6,69.0,27.0,188,191,Pass accurate,,0.010616182332993572,0.6375528353110712,4,False,False,False,,,,,
66,Malmö FF,Adi Nalic,Jo Inge Berget,70,27,87.0,26.0,189,192,Pass into the box,,,,4,False,False,False,,,,,
67,Malmö FF,Adi Nalic,Jo Inge Berget,70,27,87.0,26.0,189,192,Pass accurate,,0.03650119591582994,0.6225999762178347,4,False,False,False,,,,,
68,Malmö FF,Jo Inge Berget,,89,25,85.0,51.0,191,194,Pass inaccurate,,,0.6421338942981187,4,False,False,False,,,,,
69,IK Sirius FK,Adam Ståhl,,15,49,25.0,49.0,192,195,Pass inaccurate,,,0.8483658777011084,4,False,False,False,,,,,
70,Malmö FF,Jo Inge Berget,Adi Nalic,94,12,86.0,25.0,196,199,Pass into the box,,,,4,False,False,False,,,,,
71,Malmö FF,Jo Inge Berget,Adi Nalic,94,12,86.0,25.0,196,199,Pass accurate,,0.001639738174780303,0.6731638717885691,4,False,False,False,,,,,
72,Malmö FF,Adi Nalic,Eric Larsson,85,18,76.0,31.0,199,202,Pass accurate,,-0.003294015533690235,0.7029408538054303,4,False,False,False,,,,,
73,Malmö FF,Eric Larsson,Veljko Birmančević,76,32,87.0,40.0,200,203,Pass into the box,,,,4,False,False,False,,,,,
74,Malmö FF,Eric Larsson,Veljko Birmančević,76,32,87.0,40.0,200,203,Pass accurate,,0.09892264538574483,0.5718401185857437,4,False,False,False,,,,,
