external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Hammarby,Abdul Rahman Khalili,Jón Gudni Fjóluson,49,52,31.0,49.0,0,3,Pass accurate,,-0.0025869714088918878,0.887672738937848,1,False,False,False,,,,,
1,Hammarby,Jón Gudni Fjóluson,,30,49,69.0,6.0,2,5,Pass inaccurate,,,0.4919987110318388,1,False,False,False,,,,,
2,BK Häcken,Martin Olsson,,31,94,46.0,94.0,5,8,Pass inaccurate,,,0.7677089207715502,1,False,False,False,,,,,
3,Hammarby,Simon Sandberg,Akinkunmi Ayobami Amoo,54,6,59.0,4.0,6,9,Pass accurate,,0.002890132064769336,0.803808395670946,1,False,False,False,,,,,
4,Hammarby,Akinkunmi Ayobami Amoo,Jeppe Andrup Andersen,58,2,59.0,11.0,8,11,Pass accurate,,0.002890132064769336,0.7009524534005287,1,False,False,False,,,,,
5,Hammarby,Jeppe Andrup Andersen,Simon Sandberg,57,9,44.0,3.0,9,12,Pass accurate,,-0.0021776537504475443,0.851178999345079,1,False,False,False,,,,,
6,Hammarby,Simon Sandberg,Mads Fenger Nielsen,42,4,26.0,18.0,11,14,Pass accurate,,-0.001423500293650775,0.8953078102748893,1,False,False,False,,,,,
7,Hammarby,Mads Fenger Nielsen,Jón Gudni Fjóluson,25,20,25.0,58.0,14,17,Pass accurate,,0.0009659868182927116,0.88636912728831,1,False,False,False,,,,,
8,Hammarby,Jón Gudni Fjóluson,Mohanad Jeahze,25,65,39.0,94.0,18,21,Pass accurate,,-0.001018763339975205,0.8355314427736845,1,False,False,False,,,,,
9,Hammarby,Mohanad Jeahze,,39,95,59.0,75.0,21,24,Pass inaccurate,,,0.6839182270471705,1,False,False,False,,,,,
10,BK Häcken,Alexander Faltsetas,Bénie Adama Traore,41,25,44.0,13.0,22,25,Pass accurate,,0.0006469937054146904,0.8231873600432711,1,False,False,False,,,,,
11,BK Häcken,Bénie Adama Traore,Tobias Heintz,44,13,58.0,22.0,24,27,Pass accurate,,0.0025660339383090473,0.6896542962830385,1,False,False,False,,,,,
12,BK Häcken,Tobias Heintz,,58,22,69.0,23.0,24,27,Pass inaccurate,,,0.6885917550416504,1,False,False,False,,,,,
13,Hammarby,Jón Gudni Fjóluson,Mohanad Jeahze,31,77,40.0,85.0,26,29,Pass accurate,,0.0015837992739677984,0.818822175280189,1,False,False,False,,,,,
