external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Östersund,Jerell Anthony Sellars,Noah Sonko Sundberg,49,52,29.0,48.0,0,3,Pass accurate,,-0.0025869714088918878,0.9069476952091619,1,False,False,False,,,,,
1,Östersund,Noah Sonko Sundberg,Sebastian Karlsson Grach,30,47,72.0,85.0,3,6,Pass accurate,,0.011523603652406901,0.5036281391169508,1,False,False,False,,,,,
2,Östersund,Sebastian Karlsson Grach,Charlie Colkett,72,83,68.0,78.0,6,9,Pass accurate,,,0.7289097310024906,1,False,False,False,,,,,
3,Östersund,Charlie Colkett,,67,78,80.0,71.0,8,11,Pass inaccurate,,,0.648051448197632,1,False,False,False,,,,,
4,IFK Norrköping FK,Henrik Castegren,Ísak Bergmann Jóhannesson,20,29,25.0,32.0,9,12,Pass accurate,,0.0012696259308637402,0.7510065857464954,1,False,False,False,,,,,
5,IFK Norrköping FK,Ísak Bergmann Jóhannesson,Christoffer Nyman,26,34,46.0,54.0,10,13,Pass accurate,,0.0029860075288443075,0.6659611060407483,1,False,False,False,,,,,
6,Östersund,Marco Weymans,,56,39,,,13,16,Foul,,,,1,False,False,False,,,,,
7,IFK Norrköping FK,Marco Lund Nielsen,Henrik Castegren,34,77,33.0,47.0,43,46,Pass accurate,,0.00015284658059168746,0.8548682755931084,1,False,False,False,,,,,
8,IFK Norrköping FK,Henrik Castegren,Linus Wahlqvist,34,44,38.0,23.0,45,48,Pass accurate,,-0.001017127657495804,0.8526335732624709,1,False,False,False,,,,,
9,IFK Norrköping FK,Linus Wahlqvist,,48,19,93.0,9.0,48,51,Pass inaccurate,,,0.37106351334481646,1,False,False,False,,,,,
10,Östersund,Patrick Kpozo,,7,91,,,52,57,Interception unsuccesful,,,,1,False,False,False,,,,,
11,Östersund,Patrick Kpozo,,7,91,,,52,57,Challenge successful,,,,1,False,False,False,,,,,
12,IFK Norrköping FK,Jonathan Levi,Henrik Castegren,100,1,93.0,51.0,72,82,Right corner accurate,,,,2,False,False,False,Corner,Chance Created,,,
13,IFK Norrköping FK,Jonathan Levi,Henrik Castegren,100,1,93.0,53.0,74,77,Pass into the box,,,,2,False,False,False,Corner,,,,
