external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IK Sirius FK,Christian Kouakou,Jacob Ortmark,49,51,39.0,50.0,0,3,Pass accurate,,-0.0015085281462256447,0.8606791863384019,1,False,False,False,,,,,
1,IK Sirius FK,Jacob Ortmark,Marcus Klingenberg Mathisen,39,50,29.0,71.0,2,5,Pass accurate,,-0.0018752430495129688,0.8973107490925579,1,False,False,False,,,,,
2,IK Sirius FK,Marcus Klingenberg Mathisen,Laorent Shabani,29,71,44.0,90.0,5,8,Pass accurate,,0.0004327086137029864,0.8023325457160502,1,False,False,False,,,,,
3,IK Sirius FK,Laorent Shabani,Marcus Klingenberg Mathisen,45,90,29.0,76.0,7,10,Pass accurate,,-0.0013725546814157465,0.8974928409469997,1,False,False,False,,,,,
4,IK Sirius FK,Marcus Klingenberg Mathisen,Joseph Colley,26,70,24.0,60.0,10,13,Pass accurate,,-0.0009346435171379321,0.9154057877899845,1,False,False,False,,,,,
5,IK Sirius FK,Joseph Colley,Dennis Widgren,25,57,27.0,33.0,12,15,Pass accurate,,-0.00023438342872604892,0.9032458544003016,1,False,False,False,,,,,
6,IK Sirius FK,Dennis Widgren,Marcus Klingenberg Mathisen,30,29,31.0,76.0,17,20,Pass accurate,,-0.0013376097346070662,0.8529429138435893,1,False,False,False,,,,,
7,IK Sirius FK,Marcus Klingenberg Mathisen,Laorent Shabani,32,69,46.0,96.0,20,23,Pass accurate,,0.0004327086137029864,0.4994624196752785,1,False,False,False,,,,,
8,BK Häcken,Bénie Adama Traore,,78,21,,,21,46,Final third entry,,,,1,False,False,False,,,,,
9,IK Sirius FK,Laorent Shabani,,47,97,52.0,93.0,23,26,Pass inaccurate,,,0.553564756539972,1,False,False,False,,,,,
10,BK Häcken,Godswill Ekpolo,Bénie Adama Traore,48,7,63.0,5.0,23,26,Pass accurate,,0.00506778581521688,0.8056973309298926,1,False,False,False,,,,,
11,BK Häcken,Bénie Adama Traore,Jasse Tuominen,75,15,76.0,33.0,30,33,Pass accurate,,0.002476442949955804,0.6887813836922819,1,False,False,False,,,,,
12,BK Häcken,Bénie Adama Traore,,63,5,75.0,15.0,23,33,Carry,,0.012817206126101655,,1,False,False,False,,,,,
13,IK Sirius FK,Laorent Shabani,Adam Hellborg,12,62,21.0,63.0,34,37,Pass accurate,,7.888240253446643e-06,0.8930502206141159,1,False,False,False,,,,,
14,IK Sirius FK,Adam Hellborg,,19,62,33.0,31.0,35,38,Pass inaccurate,,,0.7118606007916946,1,False,False,False,,,,,
15,BK Häcken,Kristoffer Lund Hansen,Tobias Carlsson,67,69,56.0,59.0,37,40,Pass accurate,,-0.0071881993967918695,0.8185590378066264,1,False,False,False,,,,,
16,BK Häcken,Tobias Carlsson,Johan Hammar,55,58,49.0,28.0,42,45,Pass accurate,,-0.0026484495628495454,0.8432157901640287,1,False,False,False,,,,,
17,BK Häcken,Johan Hammar,Bénie Adama Traore,48,27,79.0,10.0,45,48,Pass accurate,,0.013608734998372587,0.5879584178223534,1,False,False,False,,,,,
18,BK Häcken,Bénie Adama Traore,,84,10,,,45,50,Lost ball,,,,1,False,False,False,,,,,
19,BK Häcken,Bénie Adama Traore,,79,10,84.0,10.0,45,50,Carry,,0.006001420018364626,,1,False,False,False,,,,,
20,IK Sirius FK,Marcus Klingenberg Mathisen,Adam Hellborg,21,90,29.0,90.0,49,52,Pass accurate,,0.0011950902385294143,0.8373642229851392,1,False,False,False,,,,,
21,IK Sirius FK,Adam Hellborg,Marcus Klingenberg Mathisen,28,87,23.0,89.0,49,52,Pass accurate,,-0.0025895409516904257,0.8324427527103493,1,False,False,False,,,,,
22,IK Sirius FK,Marcus Klingenberg Mathisen,Adam Hellborg,22,89,28.0,87.0,50,53,Pass accurate,,0.0025895409516904257,0.8381378648508836,1,False,False,False,,,,,
23,IK Sirius FK,Adam Hellborg,Jacob Ortmark,26,88,23.0,79.0,51,54,Pass accurate,,-1.1340439885558842e-05,0.9149661169196148,1,False,False,False,,,,,
24,IK Sirius FK,Dennis Widgren,Joseph Colley,24,79,12.0,75.0,52,55,Pass accurate,,-0.0010435390189704376,0.9318137284260632,1,False,False,False,,,,,
25,IK Sirius FK,Joseph Colley,Marcus Klingenberg Mathisen,12,78,14.0,89.0,54,57,Pass accurate,,-0.001342238789422922,0.9133980149631047,1,False,False,False,,,,,
26,IK Sirius FK,Marcus Klingenberg Mathisen,Joseph Colley,19,86,14.0,70.0,58,61,Pass accurate,,-7.719264540028206e-05,0.9237745467748161,1,False,False,False,,,,,
27,IK Sirius FK,Joseph Colley,Dennis Widgren,14,62,19.0,33.0,61,64,Pass accurate,,0.00041851082407542463,0.9186140468571892,2,False,False,False,,,,,
28,IK Sirius FK,Dennis Widgren,Adam Ståhl,35,21,44.0,7.0,67,70,Pass accurate,,0.00014427313560944587,0.8593137208228419,2,False,False,False,,,,,
29,IK Sirius FK,Dennis Widgren,,19,33,35.0,21.0,61,70,Carry,,0.0018172496993384066,,2,False,False,False,,,,,
30,IK Sirius FK,Adam Ståhl,Dennis Widgren,46,6,37.0,13.0,69,72,Pass accurate,,-0.00014427313560944587,0.8387654507290707,2,False,False,False,,,,,
31,IK Sirius FK,Dennis Widgren,Laorent Shabani,42,28,55.0,94.0,72,75,Pass accurate,,-0.0008104898576914293,0.7648914415760701,2,False,False,False,,,,,
32,IK Sirius FK,Laorent Shabani,Adam Hellborg,55,96,52.0,87.0,77,80,Pass accurate,,0.0018670329288961035,0.8138419162925256,2,False,False,False,,,,,
33,IK Sirius FK,Adam Hellborg,Dennis Widgren,46,76,37.0,35.0,80,83,Pass accurate,,-0.00035833408926536775,0.8615063945527794,2,False,False,False,,,,,
