external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Halmstad,Amir Al-Ammari,Joseph Baffoe,51,50,32.0,56.0,0,3,pass accurate,,-0.005153687985360585,0.8786857382041054,1,False,False,False,nan,nan,nan,,nan
1,Halmstad,Joseph Baffoe,,33,57,81.0,21.0,2,5,pass inaccurate,,,0.5159374031512897,1,False,False,False,nan,nan,nan,,nan
2,IF Elfsborg,Oliver Zandén,,19,79,,,4,9,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
3,IF Elfsborg,Oliver Zandén,,21,80,,,6,9,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
4,IF Elfsborg,Oliver Zandén,,21,80,,,6,9,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
5,Halmstad,Sadat Karim,,79,20,,,6,9,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
6,Halmstad,Sadat Karim,,79,20,,,6,9,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
7,Halmstad,Edvin Kurtulus,Andreas Johansson,69,19,54.0,14.0,9,12,pass accurate,,-0.009022064517244192,0.843663535707495,1,False,False,False,nan,nan,nan,,nan
8,Halmstad,Andreas Johansson,,55,11,85.0,15.0,11,14,pass inaccurate,,,0.5029041587525791,1,False,False,False,nan,nan,nan,,nan
9,IF Elfsborg,Christopher Mc Vey,,15,85,,,13,18,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
10,IF Elfsborg,Oliver Zandén,,10,89,,,15,20,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
11,IF Elfsborg,Oliver Zandén,,10,89,,,15,20,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
12,Halmstad,Thomas Boakye,,79,8,91.0,6.0,16,19,pass inaccurate,,,0.4532775268441528,1,False,False,False,nan,nan,nan,,nan
13,Halmstad,Thomas Boakye,,91,6,,,16,21,tackle unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
14,Halmstad,Thomas Boakye,,91,6,,,16,21,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
15,IF Elfsborg,Jeppe Møldrup Okkels,,19,91,29.0,72.0,19,22,pass inaccurate,,,0.822062781136017,1,False,False,False,nan,nan,nan,,nan
16,IF Elfsborg,Simon Olsson,,29,72,,,21,26,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
17,IF Elfsborg,Simon Olsson,,29,72,,,21,26,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
18,Halmstad,Andreas Johansson,,69,20,71.0,31.0,21,24,pass inaccurate,,,0.7398569848551234,1,False,False,False,nan,nan,nan,,nan
19,Halmstad,Amir Al-Ammari,,71,31,,,23,28,tackle unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
20,Halmstad,Amir Al-Ammari,,71,31,,,23,28,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
21,IF Elfsborg,Christopher Mc Vey,Jeppe Møldrup Okkels,24,70,64.0,89.0,25,28,pass accurate,,0.006292804597824985,0.5564700675680617,1,False,False,False,nan,nan,nan,,nan
22,IF Elfsborg,Jeppe Møldrup Okkels,,65,89,,,29,34,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
