external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,BK Häcken,away,Erik Friberg,Joona Toivio,51,49,29.0,53.0,0,3,pass accurate,,-0.005149041375285539,0.9077521422162625,1,False,False,False,nan,nan,nan,,nan
1,BK Häcken,away,Joona Toivio,,30,51,72.0,77.0,3,6,pass inaccurate,,,0.4720384548819866,1,False,False,False,nan,nan,nan,,nan
2,Kalmar FF,home,Lars Saetra,Romario Pereira Sipiao,28,23,33.0,27.0,6,9,pass accurate,,0.0007316033895666627,0.7686351479727497,1,False,False,False,nan,nan,nan,,nan
3,Kalmar FF,home,Romario Pereira Sipiao,Jonathan Ring,33,28,40.0,23.0,7,10,pass accurate,,0.0005476237684746664,0.82455535084128,1,False,False,False,nan,nan,nan,,nan
4,Kalmar FF,home,Jonathan Ring,,40,19,53.0,1.0,8,11,pass inaccurate,,,0.8437637695836574,1,False,False,False,nan,nan,nan,,nan
5,BK Häcken,away,Martin Olsson,Johan Hammar,47,99,30.0,93.0,13,16,pass accurate,,-0.002767005394576758,0.7928430606453063,1,False,False,False,nan,nan,nan,,nan
6,BK Häcken,away,Johan Hammar,Joona Toivio,27,81,27.0,53.0,17,20,pass accurate,,0.001571993163333115,0.9048908874596919,1,False,False,False,nan,nan,nan,,nan
7,BK Häcken,away,Joona Toivio,Johan Hammar,28,53,26.0,71.0,21,24,pass accurate,,-0.000632147095620355,0.9100867805357371,1,False,False,False,nan,nan,nan,,nan
8,BK Häcken,away,Johan Hammar,Gustav Berggren,27,68,33.0,65.0,23,26,pass accurate,,,0.8205445338806807,1,False,False,False,nan,nan,nan,,nan
9,BK Häcken,away,Gustav Berggren,Johan Hammar,32,65,27.0,69.0,25,28,pass accurate,,,0.818187062816606,1,False,False,False,nan,nan,nan,,nan
10,BK Häcken,away,Johan Hammar,Erik Friberg,27,64,31.0,51.0,28,31,pass accurate,,0.000632147095620355,0.847605962124117,1,False,False,False,nan,nan,nan,,nan
11,BK Häcken,away,Erik Friberg,,31,45,89.0,30.0,32,35,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
12,BK Häcken,away,Erik Friberg,,31,45,89.0,30.0,32,35,pass inaccurate,,,0.41843306350364545,1,False,False,False,nan,nan,nan,,nan
13,Kalmar FF,home,Lucas Hägg Johansson,,11,70,,,34,39,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
14,Kalmar FF,home,Lucas Hägg Johansson,,11,70,,,34,39,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
15,Kalmar FF,home,Lucas Hägg Johansson,Johan Stenmark,9,64,8.0,87.0,43,46,pass accurate,,-0.002703995966568241,0.9178007706082371,1,False,False,False,nan,nan,nan,,nan
16,Kalmar FF,home,Johan Stenmark,Sebastian Ring,8,87,26.0,94.0,45,48,pass accurate,,0.002792529051854082,0.879468302064534,1,False,False,False,nan,nan,nan,,nan
17,Kalmar FF,home,Sebastian Ring,Johan Stenmark,19,92,4.0,89.0,47,50,pass accurate,,-0.0026480221924059678,0.9255458447753305,1,False,False,False,nan,nan,nan,,nan
18,Kalmar FF,home,Johan Stenmark,Sebastian Ring,2,85,5.0,94.0,52,55,pass accurate,,-0.0010505833790813,0.8969231067406547,1,False,False,False,nan,nan,nan,,nan
19,Kalmar FF,home,Sebastian Ring,Nils Fröling,3,95,15.0,95.0,53,56,pass accurate,,0.0014459941826564637,0.9065003768852851,1,False,False,False,nan,nan,nan,,nan
20,Kalmar FF,home,Nils Fröling,Sebastian Ring,15,96,8.0,94.0,57,60,pass accurate,,-0.0014459941826564637,0.9284820622769855,1,False,False,False,nan,nan,nan,,nan
21,Kalmar FF,home,Sebastian Ring,,9,95,36.0,73.0,58,61,pass inaccurate,,,0.7240828527531772,1,False,False,False,nan,nan,nan,,nan
22,BK Häcken,away,Johan Hammar,,64,27,84.0,31.0,61,64,pass into the box,,,,2,False,False,False,nan,nan,nan,,nan
23,BK Häcken,away,Johan Hammar,,64,27,84.0,31.0,61,64,pass inaccurate,,,0.6061595400929746,2,False,False,False,nan,nan,nan,,nan
24,Kalmar FF,home,Johan Stenmark,Romario Pereira Sipiao,16,69,26.0,66.0,63,66,pass accurate,,0.0024228298661596124,0.8557261826621854,2,False,False,False,nan,nan,nan,,nan
25,Kalmar FF,home,Johan Stenmark,,15,70,,,64,67,air challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
26,Kalmar FF,home,Johan Stenmark,,15,70,,,64,67,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
27,BK Häcken,away,Ali Youssef,,84,30,,,64,67,air challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
28,BK Häcken,away,Ali Youssef,,84,30,,,64,67,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
29,Kalmar FF,home,Romario Pereira Sipiao,Lars Saetra,26,67,8.0,21.0,65,68,pass accurate,,-0.0042447305314885705,0.9400801588682205,2,False,False,False,nan,nan,nan,,nan
30,Kalmar FF,home,Lars Saetra,Piotr Johansson,9,22,36.0,4.0,69,72,pass accurate,,0.002633946168494026,0.8273902323934078,2,False,False,False,nan,nan,nan,,nan
31,Kalmar FF,home,Piotr Johansson,Lars Saetra,37,5,27.0,5.0,74,77,pass accurate,,-0.0014463204507441565,0.9228895868620554,2,False,False,False,nan,nan,nan,,nan
32,Kalmar FF,home,Lars Saetra,Lucas Hägg Johansson,26,6,9.0,55.0,76,79,pass accurate,,0.00039232270893135683,0.9051983625207786,2,False,False,False,nan,nan,nan,,nan
33,Kalmar FF,home,Lucas Hägg Johansson,Johan Stenmark,9,56,14.0,70.0,80,83,pass accurate,,-0.0011324567781147536,0.9110734499787234,2,False,False,False,nan,nan,nan,,nan
