external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Hammarby,home,Akinkunmi Ayobami Amoo,Darijan Bojanic,49,50,40.0,51.0,0,2,pass accurate,,-0.0015085281462256447,0.8606791863384019,1,False,False,False,nan,nan,nan,,nan
1,Hammarby,home,Darijan Bojanic,Mads Fenger Nielsen,40,50,31.0,27.0,1,3,pass accurate,,-0.0014774793826186627,0.8973408407911795,1,False,False,False,nan,nan,nan,,nan
2,Hammarby,home,Mads Fenger Nielsen,Richard Magyar,31,23,27.0,42.0,4,6,pass accurate,,0.0011306395095190824,0.9047669375821233,1,False,False,False,nan,nan,nan,,nan
3,Hammarby,home,Richard Magyar,Björn Paulsen,27,40,28.0,71.0,6,8,pass accurate,,-0.0007967997868467257,0.8890789882223893,1,False,False,False,nan,nan,nan,,nan
4,Hammarby,home,Björn Paulsen,Darijan Bojanic,30,74,39.0,80.0,9,11,pass accurate,,0.0006439532062550383,0.8057091075624093,1,False,False,False,nan,nan,nan,,nan
5,Hammarby,home,Darijan Bojanic,Richard Magyar,37,75,28.0,49.0,10,12,pass accurate,,0.00015284658059168746,0.9081178328513149,1,False,False,False,nan,nan,nan,,nan
6,Hammarby,home,Richard Magyar,Björn Paulsen,28,50,29.0,73.0,14,16,pass accurate,,-0.000632147095620355,0.8787506339010136,1,False,False,False,nan,nan,nan,,nan
7,Hammarby,home,Björn Paulsen,Richard Magyar,32,74,28.0,52.0,17,19,pass accurate,,0.000632147095620355,0.8965814206506674,1,False,False,False,nan,nan,nan,,nan
8,Hammarby,home,Richard Magyar,Mads Fenger Nielsen,28,46,32.0,21.0,20,22,pass accurate,,-0.0011306395095190824,0.8668049043636734,1,False,False,False,nan,nan,nan,,nan
9,Hammarby,home,Mads Fenger Nielsen,,59,8,95.0,60.0,26,28,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
10,Hammarby,home,Mads Fenger Nielsen,,59,8,95.0,60.0,26,28,pass inaccurate,,,0.34775454790284815,1,False,False,False,nan,nan,nan,,nan
11,Hammarby,home,Mads Fenger Nielsen,,32,21,59.0,8.0,20,28,carry,,0.006491286108867655,,1,False,False,False,nan,nan,nan,,nan
12,IFK Göteborg,away,Ioannis Anestis,,5,40,60.0,28.0,60,70,pass inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
13,IFK Göteborg,away,Ioannis Anestis,,5,40,60.0,28.0,60,70,goalkeeper kick inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
14,Hammarby,home,Mohammed Aziz Ouattara,,40,72,,,66,71,clearance inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
15,Hammarby,home,Mohammed Aziz Ouattara,,40,75,,,66,69,air challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
16,Hammarby,home,Mohammed Aziz Ouattara,,40,75,,,66,69,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
17,IFK Göteborg,away,Gustav Svensson,,60,25,,,66,69,air challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
18,IFK Göteborg,away,Gustav Svensson,,60,25,,,66,69,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
19,IFK Göteborg,away,Alexander Jallow,,35,23,38.0,25.0,69,71,pass inaccurate,,,0.5308916553179998,2,False,False,False,nan,nan,nan,,nan
20,IFK Göteborg,away,Gustav Svensson,,38,25,,,71,76,interception succesful,,,,2,False,False,False,nan,nan,nan,,nan
21,IFK Göteborg,away,Gustav Svensson,,38,25,,,71,76,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
22,Hammarby,home,Akinkunmi Ayobami Amoo,,60,72,70.0,83.0,71,73,pass inaccurate,,,0.713150033499304,2,False,False,False,nan,nan,nan,,nan
23,IFK Göteborg,away,Alexander Jallow,Bernardo Vilar Estevão Jeronimo,30,17,28.0,79.0,77,79,pass accurate,,-0.0006060063450404034,0.8743486413441719,2,False,False,False,nan,nan,nan,,nan
24,IFK Göteborg,away,Bernardo Vilar Estevão Jeronimo,Ioannis Anestis,18,70,4.0,54.0,81,83,pass accurate,,0.0003303668795154001,0.9276438973576284,2,False,False,False,nan,nan,nan,,nan
25,IFK Göteborg,away,Ioannis Anestis,,4,53,48.0,54.0,82,84,pass inaccurate,,,0.6804504373405452,2,False,False,False,nan,nan,nan,,nan
26,Hammarby,home,Richard Magyar,,52,46,,,85,90,interception unsuccesful,,,,2,False,False,False,nan,nan,nan,,nan
27,Hammarby,home,Richard Magyar,,52,46,,,85,90,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
28,IFK Göteborg,away,Marcus Berg,,48,48,,,86,91,lost ball,,,,2,False,False,False,nan,nan,nan,,nan
29,Hammarby,home,Astrit Selmani,,82,73,,,86,90,offside,,,,2,False,False,False,nan,nan,nan,,nan
30,Hammarby,home,Akinkunmi Ayobami Amoo,Mohanad Jeahze,51,54,39.0,81.0,89,91,pass accurate,,-0.005141881874725902,0.8628240314201945,2,False,False,False,nan,nan,nan,,nan
