external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Halmstad,away,Amir Al-Ammari,Joseph Baffoe,49,51,29.0,47.0,0,3,pass accurate,,-0.0025869714088918878,0.9069476952091619,1,False,False,False,nan,nan,nan,,nan
1,Halmstad,away,Joseph Baffoe,,29,47,65.0,33.0,3,6,pass inaccurate,,,0.5638745098619438,1,False,False,False,nan,nan,nan,,nan
2,Malmö FF,home,Sergio Pena,,35,67,,,3,8,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
3,Malmö FF,home,Sergio Pena,,35,67,,,3,8,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
4,Malmö FF,home,Veljko Birmančević,,81,94,,,4,29,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
5,Malmö FF,home,Veljko Birmančević,,38,72,62.0,69.0,5,8,pass inaccurate,,,0.6695429088291086,1,False,False,False,nan,nan,nan,,nan
6,Halmstad,away,Andreas Johansson,,38,31,,,6,11,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
7,Halmstad,away,Andreas Johansson,,38,31,,,6,11,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
8,Malmö FF,home,Sergio Pena,Veljko Birmančević,43,64,79.0,95.0,8,11,pass accurate,,0.011833368315037819,0.5144490755491176,1,False,False,False,nan,nan,nan,,nan
9,Halmstad,away,Edvin Kurtulus,,17,19,,,15,20,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
10,Halmstad,away,Edvin Kurtulus,,17,19,,,15,20,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
11,Halmstad,away,Edvin Kurtulus,Joel Allansson,23,27,24.0,43.0,18,21,pass accurate,,0.0002787352567244425,0.9106707687341635,1,False,False,False,nan,nan,nan,,nan
12,Halmstad,away,Joel Allansson,Samuel Kroon,26,45,32.0,62.0,20,23,pass accurate,,-0.0001646526912263708,0.8236399522408552,1,False,False,False,nan,nan,nan,,nan
13,Halmstad,away,Samuel Kroon,,56,64,73.0,28.0,23,26,pass inaccurate,,,0.6478976043976512,1,False,False,False,nan,nan,nan,,nan
14,Halmstad,away,Samuel Kroon,,32,62,56.0,64.0,20,26,carry,,0.0044649762143808384,,1,False,False,False,nan,nan,nan,,nan
15,Malmö FF,home,Niklas Moisander,,27,72,,,23,28,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
16,Malmö FF,home,Niklas Moisander,,27,72,,,23,28,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
17,Malmö FF,home,Niklas Moisander,Johan Dahlin,24,73,7.0,54.0,27,30,pass accurate,,0.0003303668795154001,0.9335530379011319,1,False,False,False,nan,nan,nan,,nan
18,Malmö FF,home,Johan Dahlin,,11,43,67.0,29.0,31,34,pass inaccurate,,,0.5459202369796926,1,False,False,False,nan,nan,nan,,nan
19,Halmstad,away,Andreas Bengtsson,,33,71,,,33,38,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
20,Halmstad,away,Andreas Bengtsson,,36,69,,,35,38,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
21,Halmstad,away,Andreas Bengtsson,,36,69,,,35,38,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
22,Malmö FF,home,Adi Nalic,,63,25,,,35,38,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
23,Malmö FF,home,Adi Nalic,,63,25,,,35,38,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
24,Halmstad,away,Joel Allansson,Samuel Kroon,53,55,40.0,81.0,36,39,pass accurate,,-0.005141881874725902,0.8628240314201945,1,False,False,False,nan,nan,nan,,nan
25,Halmstad,away,Samuel Kroon,,41,75,53.0,56.0,37,40,pass inaccurate,,,0.7604027860373651,1,False,False,False,nan,nan,nan,,nan
26,Malmö FF,home,Lasse Ladegaard Nielsen,,47,44,,,37,42,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
27,Malmö FF,home,Lasse Ladegaard Nielsen,,47,44,,,37,42,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
28,Malmö FF,home,Lasse Ladegaard Nielsen,Søren Rieks,47,54,41.0,81.0,40,43,pass accurate,,-0.0027398179894835752,0.8590863813296413,1,False,False,False,nan,nan,nan,,nan
29,Malmö FF,home,Søren Rieks,Lasse Ladegaard Nielsen,39,83,34.0,56.0,44,47,pass accurate,,0.0012312898432579305,0.87230301542333,1,False,False,False,nan,nan,nan,,nan
30,Malmö FF,home,Lasse Ladegaard Nielsen,Sergio Pena,32,56,40.0,21.0,47,50,pass accurate,,0.0003132403397486175,0.8353315664531307,1,False,False,False,nan,nan,nan,,nan
31,Malmö FF,home,Sergio Pena,Jo Inge Berget,52,12,72.0,7.0,51,54,pass accurate,,0.007682531712207553,0.7167764231822681,1,False,False,False,nan,nan,nan,,nan
32,Malmö FF,home,Sergio Pena,,40,21,52.0,12.0,47,54,carry,,0.00232192688605699,,1,False,False,False,nan,nan,nan,,nan
33,Malmö FF,home,Jo Inge Berget,Sergio Pena,71,8,62.0,19.0,52,55,pass accurate,,-0.0027287035445963045,0.7999934807684645,1,False,False,False,nan,nan,nan,,nan
34,Malmö FF,home,Sergio Pena,,67,22,77.0,27.0,54,57,pass inaccurate,,,0.657011491391688,1,False,False,False,nan,nan,nan,,nan
