external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Mjällby AIF,Jesper Gustavsson,Eric Björkander,49,50,30.0,55.0,0,2,Pass accurate,,-0.0027516241001182586,0.9069476952091619,1,False,False,False,,,,,
1,Mjällby AIF,Jacob Bergström,,79,21,,,2,27,Final third entry,,,,1,False,False,False,,,,,
2,Mjällby AIF,Eric Björkander,,31,55,78.0,24.0,2,4,Pass inaccurate,,,0.50558840660581,1,False,False,False,,,,,
3,IFK Göteborg,Carl Johansson,,22,76,,,5,10,Clearance inaccurate,,,,1,False,False,False,,,,,
4,Mjällby AIF,David Löfquist,Jacob Bergström,67,27,80.0,25.0,7,9,Pass accurate,,0.007567598807833222,0.671501061352638,1,False,False,False,,,,,
5,Mjällby AIF,Jacob Bergström,Joel Nilsson,78,22,83.0,7.0,9,11,Pass accurate,,-0.0022285319957929713,0.755330454259344,1,False,False,False,,,,,
6,Mjällby AIF,Joel Nilsson,,96,5,95.0,42.0,13,15,Pass into the box,,,,1,False,False,False,,,,,
7,Mjällby AIF,Joel Nilsson,,96,5,95.0,42.0,13,15,Pass inaccurate,,,0.3265383642582549,1,False,False,False,,,,,
8,Mjällby AIF,Joel Nilsson,,96,5,95.0,42.0,13,15,Cross inacurate,,,0.3265383642582549,1,False,False,False,,,,,
9,Mjällby AIF,Joel Nilsson,,83,7,96.0,5.0,9,15,Carry,,0.03199883387896518,,1,False,False,False,,,,,
10,IFK Göteborg,Carl Johansson,,5,58,,,13,18,Clearance inaccurate,,,,1,False,False,False,,,,,
11,Mjällby AIF,Jacob Bergström,,93,51,,,36,40,Offside,,,,1,False,False,False,Corner,,,,
12,Mjällby AIF,Kadir Hodzic,,98,2,88.0,69.0,36,46,Right corner inaccurate,,,,1,False,False,False,Corner,Cleared,,,
13,Mjällby AIF,David Löfquist,,88,69,,,40,43,Wide shot,0.043341766037369216,,,1,False,False,False,Corner,,,True,
14,IFK Göteborg,Ioannis Anestis,,12,31,,,40,43,Goalkeeper wide shot,,,,1,False,False,False,,,,,
15,Mjällby AIF,David Löfquist,,88,69,,,40,43,Shot,0.043341766037369216,,,1,False,False,False,Corner,,Left Foot,True,
16,IFK Göteborg,Mattias Bjärsmyr,,10,60,,,40,45,Clearance inaccurate,,,,1,False,False,False,,,,,
17,IFK Göteborg,Alexander Jallow,,41,8,73.0,37.0,68,70,Pass inaccurate,,,0.44224627213491813,2,False,False,False,,,,,
18,Mjällby AIF,Eric Björkander,,27,63,,,69,74,Interception succesful,,,,2,False,False,False,,,,,
