external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Malmö FF,home,Anders Bleg Christiansen,Lasse Ladegaard Nielsen,51,50,33.0,62.0,0,2,pass accurate,,-0.005153687985360585,0.8786857382041054,1,False,False,False,nan,nan,nan,,nan
1,Malmö FF,home,Lasse Ladegaard Nielsen,,38,51,94.0,0.0,4,6,pass inaccurate,,,0.19282368426091875,1,False,False,False,nan,nan,nan,,nan
2,Varbergs BoIS FC,away,Oliver Stanisic,Robin Simovic,6,100,27.0,96.0,26,28,pass accurate,,0.003843112430935382,0.6648796386138256,1,False,False,False,nan,nan,nan,,nan
3,Varbergs BoIS FC,away,Robin Simovic,,29,98,,,28,33,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
4,Malmö FF,home,Felix Beijmo,Anel Ahmedhodzic,70,1,44.0,11.0,36,38,pass accurate,,-0.009860185462655097,0.8108263904325875,1,False,False,False,nan,nan,nan,,nan
5,Malmö FF,home,Anel Ahmedhodzic,Lasse Ladegaard Nielsen,46,11,45.0,48.0,38,40,pass accurate,,0.002321736480428384,0.8000847088128015,1,False,False,False,nan,nan,nan,,nan
6,Malmö FF,home,Lasse Ladegaard Nielsen,Jonas Bruun Knudsen,46,51,58.0,88.0,42,44,pass accurate,,-0.001056875535298648,0.7035901369565891,1,False,False,False,nan,nan,nan,,nan
7,Malmö FF,home,Jonas Bruun Knudsen,Lasse Ladegaard Nielsen,62,87,39.0,75.0,45,47,pass accurate,,-0.006738766385531636,0.8690434052573942,1,False,False,False,nan,nan,nan,,nan
8,Malmö FF,home,Lasse Ladegaard Nielsen,Ola Toivonen,42,63,80.0,12.0,48,50,pass accurate,,0.013955884293782632,0.5370168119489842,1,False,False,False,nan,nan,nan,,nan
9,Varbergs BoIS FC,away,Adama Fofana,,23,83,,,50,53,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
10,Varbergs BoIS FC,away,Adama Fofana,,23,83,,,50,53,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
11,Malmö FF,home,Ola Toivonen,,77,16,,,50,53,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
12,Malmö FF,home,Ola Toivonen,,77,16,,,50,53,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
13,Malmö FF,home,Ola Toivonen,,78,15,91.0,0.0,51,53,pass inaccurate,,,0.24891332598280638,1,False,False,False,nan,nan,nan,,nan
14,Varbergs BoIS FC,away,Oliver Stanisic,,9,100,31.0,89.0,73,75,pass inaccurate,,,0.785478014103272,2,False,False,False,nan,nan,nan,,nan
15,Malmö FF,home,Felix Beijmo,Adi Nalic,69,11,74.0,7.0,75,77,pass accurate,,,0.677240272183243,2,False,False,False,nan,nan,nan,,nan
16,Malmö FF,home,Adi Nalic,,71,5,76.0,24.0,77,79,pass inaccurate,,,0.6468410088764642,2,False,False,False,nan,nan,nan,,nan
17,Varbergs BoIS FC,away,Jon Birkfeldt,,24,76,,,77,80,air challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
18,Varbergs BoIS FC,away,Jon Birkfeldt,,24,76,,,77,80,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
19,Malmö FF,home,Antonio Colak,,75,24,,,77,80,air challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
20,Malmö FF,home,Antonio Colak,,75,24,,,77,80,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
21,Varbergs BoIS FC,away,Jon Birkfeldt,,23,77,,,77,82,clearance accurate,,,,2,False,False,False,nan,nan,nan,,nan
22,Varbergs BoIS FC,away,Luke Le Roux,Albin Winbo,28,73,27.0,85.0,80,82,pass accurate,,-0.0009398460677127601,0.9168819333655953,2,False,False,False,nan,nan,nan,,nan
23,Varbergs BoIS FC,away,Albin Winbo,,28,84,70.0,59.0,81,83,pass inaccurate,,,0.4671256348332171,2,False,False,False,nan,nan,nan,,nan
24,Malmö FF,home,Marko Johansson,Lasse Ladegaard Nielsen,30,41,34.0,46.0,86,88,pass accurate,,0.0011657153060180506,0.7763013291729887,2,False,False,False,nan,nan,nan,,nan
25,Malmö FF,home,Lasse Ladegaard Nielsen,Anel Ahmedhodzic,33,46,34.0,21.0,88,90,pass accurate,,0.0001485876485222467,0.8805618221203809,2,False,False,False,nan,nan,nan,,nan
26,Malmö FF,home,Anel Ahmedhodzic,,40,18,86.0,46.0,92,94,pass into the box,,,,2,False,False,False,nan,nan,nan,,nan
27,Malmö FF,home,Anel Ahmedhodzic,,40,18,86.0,46.0,92,94,pass inaccurate,,,0.4162959920025104,2,False,False,False,nan,nan,nan,,nan
28,Varbergs BoIS FC,away,August Strömberg,,14,54,67.0,33.0,100,110,pass inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
29,Varbergs BoIS FC,away,August Strömberg,,14,54,67.0,33.0,100,110,goalkeeper kick inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
30,Malmö FF,home,Jonas Bruun Knudsen,,33,67,47.0,73.0,108,110,pass inaccurate,,,0.7424935977248541,2,False,False,False,nan,nan,nan,,nan
31,Varbergs BoIS FC,away,Gideon Mensah,,53,27,,,110,113,air challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
32,Varbergs BoIS FC,away,Gideon Mensah,,53,27,,,110,113,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
33,Malmö FF,home,Veljko Birmančević,,47,72,,,110,113,air challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
34,Malmö FF,home,Veljko Birmančević,,47,72,,,110,113,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
35,Varbergs BoIS FC,away,Gideon Mensah,,52,27,,,110,115,interception succesful,,,,2,False,False,False,nan,nan,nan,,nan
