external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Norrköping FK,Alexander Fransson,Henrik Castegren,49,52,31.0,49.0,0,3,Pass accurate,,-0.0025869714088918878,0.887672738937848,1,False,False,False,,,,,
1,IFK Norrköping FK,Henrik Castegren,Ari Freyr Skúlason,31,52,33.0,71.0,2,5,Pass accurate,,-0.000632147095620355,0.8456385493327376,1,False,False,False,,,,,
2,IFK Norrköping FK,Ari Freyr Skúlason,Henrik Castegren,32,77,29.0,49.0,5,8,Pass accurate,,0.0017366458545594859,0.8864283953222908,1,False,False,False,,,,,
3,IFK Norrköping FK,Henrik Castegren,Ari Freyr Skúlason,33,52,42.0,79.0,8,11,Pass accurate,,0.001424280402521086,0.8197421126152438,1,False,False,False,,,,,
4,IFK Norrköping FK,Ari Freyr Skúlason,Henrik Castegren,42,78,35.0,49.0,12,15,Pass accurate,,-9.391240527666447e-05,0.8686356990526375,1,False,False,False,,,,,
5,IFK Norrköping FK,Henrik Castegren,Marco Lund Nielsen,36,51,31.0,66.0,14,17,Pass accurate,,-0.0018752430495129688,0.8782640631862326,1,False,False,False,,,,,
6,IFK Norrköping FK,Marco Lund Nielsen,Ari Freyr Skúlason,32,75,41.0,79.0,16,19,Pass accurate,,0.0015837992739677984,0.8244986164624487,1,False,False,False,,,,,
7,IFK Norrköping FK,Ari Freyr Skúlason,Kristoffer Khazeni,40,82,55.0,81.0,18,21,Pass accurate,,0.003549975383081031,0.7514597231604827,1,False,False,False,,,,,
8,IK Sirius FK,Tim Björkström,,46,16,,,18,23,Tackle successful,,,,1,False,False,False,,,,,
9,IK Sirius FK,Tim Björkström,,46,16,,,18,23,Challenge unsuccessful,,,,1,False,False,False,,,,,
10,IK Sirius FK,Tim Björkström,Jacob Ortmark,44,24,46.0,43.0,21,24,Pass accurate,,0.001066309937116039,0.7792802594775008,1,False,False,False,,,,,
11,IK Sirius FK,Jacob Ortmark,Adam Hellborg,47,41,44.0,35.0,23,26,Pass accurate,,-0.00027401153327540756,0.7987133368352277,1,False,False,False,,,,,
12,IK Sirius FK,Adam Hellborg,Marcus Klingenberg Mathisen,43,36,32.0,56.0,24,27,Pass accurate,,-0.00250523842251104,0.87230301542333,1,False,False,False,,,,,
13,IK Sirius FK,Marcus Klingenberg Mathisen,Joseph Colley,37,59,24.0,50.0,28,31,Pass accurate,,-0.002809886566650901,0.929845113813419,1,False,False,False,,,,,
14,IK Sirius FK,Joseph Colley,Hannes Sveijer,21,50,7.0,43.0,30,33,Pass accurate,,0.00028740729459433324,0.929054541285468,1,False,False,False,,,,,
15,IK Sirius FK,Hannes Sveijer,Tim Björkström,6,42,11.0,13.0,32,35,Pass accurate,,-0.002223085292182486,0.9266868605142166,1,False,False,False,,,,,
16,IK Sirius FK,Moustafa Zeidan,,29,26,,,35,45,Dribble successful,,,,1,False,False,False,,,,,
17,IK Sirius FK,Tim Björkström,Moustafa Zeidan,11,13,29.0,25.0,35,38,Pass accurate,,0.003268085181620391,0.7693869405993994,1,False,False,False,,,,,
18,IFK Norrköping FK,Marco Lund Nielsen,,52,50,,,43,46,Foul,,,,1,False,False,False,,,,,
19,IFK Norrköping FK,Marco Lund Nielsen,,49,50,,,65,70,Yellow card,,,,2,False,False,False,,,,,
20,IFK Norrköping FK,Marco Lund Nielsen,,49,50,,,65,70,Foul,,,,2,False,False,False,,,,,
21,IK Sirius FK,Adam Hellborg,Jacob Ortmark,59,55,67.0,67.0,66,69,Pass accurate,,0.0036361917246127175,0.7327101074921052,2,False,False,False,,,,,
22,IK Sirius FK,Jacob Ortmark,Joseph Colley,66,65,48.0,54.0,67,70,Pass accurate,,-0.00494062721697585,0.8412874621809008,2,False,False,False,,,,,
23,IK Sirius FK,Joseph Colley,Tim Björkström,49,50,48.0,39.0,69,72,Pass accurate,,2.7625855668188953e-05,0.8152023725413461,2,False,False,False,,,,,
24,IK Sirius FK,Tim Björkström,Marcus Klingenberg Mathisen,48,49,44.0,78.0,72,75,Pass accurate,,-0.0013549695532653616,0.8564188847245415,2,False,False,False,,,,,
25,IK Sirius FK,Marcus Klingenberg Mathisen,Dennis Widgren,43,78,57.0,94.0,74,77,Pass accurate,,0.0002704681622985247,0.7972760945615948,2,False,False,False,,,,,
26,IK Sirius FK,Dennis Widgren,Nahom Girmai Netabay,55,94,67.0,78.0,75,78,Pass accurate,,0.009993507778813662,0.6898796058241021,2,False,False,False,,,,,
27,IK Sirius FK,Jacob Ortmark,,62,86,,,75,80,Lost ball,,,,2,False,False,False,,,,,
28,IFK Norrköping FK,Linus Wahlqvist,Carl Björk,31,1,58.0,20.0,93,96,Pass accurate,,0.0065938168495760265,0.4734621653470589,2,False,False,False,,,,,
29,IFK Norrköping FK,Abdulrazaq Ishaq,,55,22,54.0,27.0,95,98,Pass inaccurate,,,0.5236536941384823,2,False,False,False,,,,,
30,IK Sirius FK,Adam Hellborg,,46,73,,,96,101,Interception succesful,,,,2,False,False,False,,,,,
31,IK Sirius FK,Adam Hellborg,,46,73,,,96,101,Challenge unsuccessful,,,,2,False,False,False,,,,,
32,IFK Norrköping FK,Carl Björk,,56,47,,,97,102,Tackle successful,,,,2,False,False,False,,,,,
33,IFK Norrköping FK,Carl Björk,,56,47,,,97,102,Challenge unsuccessful,,,,2,False,False,False,,,,,
34,IFK Norrköping FK,Carl Björk,,83,72,,,99,124,Final third entry,,,,2,False,False,False,,,,,
35,IFK Norrköping FK,Carl Björk,,86,69,,,99,109,Penalty box entry unsuccessful,,,,2,False,False,False,,,,,
36,IFK Norrköping FK,Ari Freyr Skúlason,Carl Björk,75,63,82.0,73.0,105,108,Pass accurate,0.02578896237275964,,0.6778998099024323,2,False,False,False,,,,,
37,IK Sirius FK,Tim Björkström,,12,31,,,107,112,Block unsuccessful,,,,2,False,False,False,,,,,
38,IFK Norrköping FK,Carl Björk,,86,70,,,109,112,Wide shot,0.02578896237275964,,,2,False,False,False,,,,,
39,IK Sirius FK,Hannes Sveijer,,14,30,,,109,112,Goalkeeper wide shot,,,,2,False,False,False,,,,,
40,IFK Norrköping FK,Carl Björk,,86,70,,,109,112,Shot,0.02578896237275964,,,2,False,False,False,,,Right Foot,,
41,IK Sirius FK,Tim Björkström,,14,43,,,112,117,Block successful,,,,2,False,False,False,,,,,
42,IK Sirius FK,Tim Björkström,,14,43,,,112,117,Challenge unsuccessful,,,,2,False,False,False,,,,,
43,IFK Norrköping FK,Jonathan Levi,,85,53,,,114,117,Wide shot,0.12504719602742762,,,2,False,False,False,,,,,
44,IK Sirius FK,Hannes Sveijer,,15,47,,,114,117,Goalkeeper wide shot,,,,2,False,False,False,,,,,
45,IFK Norrköping FK,Jonathan Levi,,85,53,,,114,117,Shot,0.12504719602742762,,,2,False,False,False,,,Left Foot,,
46,IK Sirius FK,Moustafa Zeidan,,15,28,,,115,120,Clearance inaccurate,,,,2,False,False,False,,,,,
47,IFK Norrköping FK,Marco Lund Nielsen,Ari Freyr Skúlason,49,79,61.0,83.0,119,122,Pass accurate,,0.005326292093645234,0.7786746468696044,2,False,False,False,,,,,
48,IFK Norrköping FK,Ari Freyr Skúlason,Marco Lund Nielsen,62,81,38.0,80.0,124,127,Pass accurate,,-0.006738766385531636,0.8728753524134394,3,False,False,False,,,,,
49,IFK Norrköping FK,Marco Lund Nielsen,Henrik Castegren,35,80,34.0,55.0,128,131,Pass accurate,,0.0012312898432579305,0.8697824271701776,3,False,False,False,,,,,
50,IFK Norrköping FK,Henrik Castegren,Jonathan Levi,37,50,53.0,23.0,130,133,Pass accurate,,0.003035878003086842,0.7772940786672901,3,False,False,False,,,,,
51,IK Sirius FK,Jacob Ortmark,,58,76,,,136,139,Foul,,,,3,False,False,False,,,,,
52,IFK Norrköping FK,Jonathan Levi,Abdulrazaq Ishaq,39,28,56.0,6.0,137,140,Pass accurate,,0.0015692209125498895,0.5442414900848197,3,False,False,False,,,,,
53,IFK Norrköping FK,Abdulrazaq Ishaq,,69,5,79.0,33.0,141,144,Pass inaccurate,,,0.5510747457421613,3,False,False,False,,,,,
54,IFK Norrköping FK,Abdulrazaq Ishaq,,56,6,69.0,5.0,137,144,Carry,,0.007682531712207553,,3,False,False,False,,,,,
55,IK Sirius FK,Joseph Colley,,21,67,,,142,147,Interception succesful,,,,3,False,False,False,,,,,
56,IK Sirius FK,Joseph Colley,,21,67,,,142,147,Challenge unsuccessful,,,,3,False,False,False,,,,,
57,IK Sirius FK,Jacob Ortmark,Marcus Klingenberg Mathisen,22,88,11.0,84.0,145,148,Pass accurate,,0.00014021077967341783,0.8912254166634046,3,False,False,False,,,,,
58,IK Sirius FK,Marcus Klingenberg Mathisen,Dennis Widgren,16,81,19.0,97.0,151,154,Pass accurate,,-0.00014021077967341783,0.9501158785453785,3,False,False,False,,,,,
59,IK Sirius FK,Dennis Widgren,Marcus Klingenberg Mathisen,27,96,15.0,87.0,155,158,Pass accurate,,-0.0010548794588559965,0.9369713239332245,3,False,False,False,,,,,
60,IK Sirius FK,Marcus Klingenberg Mathisen,Nahom Girmai Netabay,16,85,27.0,86.0,159,162,Pass accurate,,0.002449330172017008,0.8364869816380844,3,False,False,False,,,,,
61,IFK Norrköping FK,Linus Wahlqvist,,77,25,,,160,165,Tackle successful,,,,3,False,False,False,,,,,
