external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Göteborg,Marcus Berg,Simon Thern,51,48,37.0,43.0,0,3,pass accurate,,-0.0038186733780411174,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,IFK Göteborg,Simon Thern,Carl Johansson,39,40,30.0,66.0,2,5,pass accurate,,-0.0019625150928647764,0.8989697612320586,1,False,False,False,nan,nan,nan,,nan
2,IFK Göteborg,Carl Johansson,,31,67,58.0,51.0,5,8,pass inaccurate,,,0.5838252914285653,1,False,False,False,nan,nan,nan,,nan
3,AIK,Bilal Hussein,,42,49,,,5,10,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
4,AIK,Bilal Hussein,,42,49,,,5,10,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
5,AIK,Sebastian Larsson,Erik Ring,43,30,49.0,76.0,8,11,pass accurate,,-0.001080958019989954,0.7276492756067849,1,False,False,False,nan,nan,nan,,nan
6,IFK Göteborg,Gustav Svensson,,25,38,,,14,19,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
7,IFK Göteborg,Gustav Svensson,,25,38,,,14,19,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
8,IFK Göteborg,Gustaf Norlin,,27,56,64.0,92.0,19,22,pass inaccurate,,,0.5691512622031439,1,False,False,False,nan,nan,nan,,nan
9,AIK,Alexander Milošević,Bo Kristoffer Nordfeldt,36,8,11.0,21.0,25,28,pass accurate,,-0.002633946168494026,0.9277240009664239,1,False,False,False,nan,nan,nan,,nan
10,AIK,Bo Kristoffer Nordfeldt,Mikael Lustig,11,22,37.0,21.0,28,31,pass accurate,,0.0038157089500950574,0.7199317951190631,1,False,False,False,nan,nan,nan,,nan
11,AIK,Mikael Lustig,Alexander Milošević,35,22,31.0,16.0,31,34,pass accurate,,-0.0012792271580413291,0.8123371047167821,1,False,False,False,nan,nan,nan,,nan
12,AIK,Alexander Milošević,Sotirios Papagiannopoulos,33,16,27.0,51.0,32,35,pass accurate,,0.0009659868182927116,0.9062527886318273,1,False,False,False,nan,nan,nan,,nan
13,AIK,Sotirios Papagiannopoulos,Alexander Milošević,37,73,31.0,46.0,43,46,pass accurate,,-0.000595290056026274,0.8782640631862326,1,False,False,False,nan,nan,nan,,nan
14,AIK,Sotirios Papagiannopoulos,,27,51,37.0,73.0,32,46,carry,,0.0007599427472526447,,1,False,False,False,nan,nan,nan,,nan
15,AIK,Alexander Milošević,Mikael Lustig,30,46,58.0,9.0,47,50,pass accurate,,0.002470514534579237,0.5101611884801047,1,False,False,False,nan,nan,nan,,nan
16,AIK,Mikael Lustig,Zachary Elbouzedi,59,7,67.0,20.0,49,52,pass accurate,,0.007775739183648704,0.7017968892705254,1,False,False,False,nan,nan,nan,,nan
17,AIK,Zachary Elbouzedi,Sebastian Larsson,70,19,61.0,21.0,50,53,pass accurate,,-0.005712043080806792,0.8119903046367195,1,False,False,False,nan,nan,nan,,nan
18,AIK,Sebastian Larsson,Zachary Elbouzedi,65,22,83.0,11.0,51,54,pass accurate,,0.008524978027466771,0.6474173726338788,1,False,False,False,nan,nan,nan,,nan
19,IFK Göteborg,Oscar Wendt,,6,71,,,57,62,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
20,IFK Göteborg,Oscar Wendt,,6,71,,,57,62,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
21,AIK,Zachary Elbouzedi,,94,27,94.0,27.0,58,61,pass inaccurate,,,0.2957341540959063,1,False,False,False,nan,nan,nan,,nan
22,AIK,Zachary Elbouzedi,,94,27,94.0,27.0,58,61,cross inacurate,,,0.2957341540959063,1,False,False,False,nan,nan,nan,,nan
23,IFK Göteborg,Alexander Jallow,,3,27,,,59,64,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
24,AIK,Sebastian Larsson,,99,100,94.0,58.0,97,107,left corner inaccurate,,,,2,False,False,False,corner,cleared,nan,,nan
25,IFK Göteborg,Mattias Bjärsmyr,,6,42,,,100,105,clearance inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
26,AIK,Zachary Elbouzedi,Sotirios Papagiannopoulos,75,42,80.0,42.0,105,108,pass accurate,,,0.5663166480915247,2,False,False,False,corner,nan,nan,,nan
27,AIK,Sotirios Papagiannopoulos,Alexander Milošević,80,47,87.0,37.0,107,110,pass into the box,,,,2,False,False,False,corner,nan,nan,,nan
28,AIK,Sotirios Papagiannopoulos,Alexander Milošević,80,47,87.0,37.0,107,110,pass accurate,,0.019281893247138387,0.6143749010400689,2,False,False,False,corner,nan,nan,,nan
29,AIK,Alexander Milošević,Zachary Elbouzedi,88,39,91.0,28.0,109,112,pass accurate,,-0.06998904827774811,0.649448402001397,2,False,False,False,corner,nan,nan,,nan
30,IFK Göteborg,Gustav Svensson,,10,62,,,110,115,clearance accurate,,,,2,False,False,False,nan,nan,nan,,nan
31,IFK Göteborg,Gustaf Norlin,,13,44,,,111,116,clearance inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
32,AIK,Zachary Elbouzedi,,91,28,70.0,25.0,112,115,pass inaccurate,,,0.7758550572612504,2,False,False,False,nan,nan,nan,,nan
33,AIK,Zachary Elbouzedi,,91,28,70.0,25.0,112,115,cross inacurate,,,0.7758550572612504,2,False,False,False,nan,nan,nan,,nan
34,AIK,Mikael Lustig,Zachary Elbouzedi,70,25,84.0,12.0,115,118,pass accurate,,0.008864043880449073,0.6734881416351952,2,False,False,False,nan,nan,nan,,nan
35,AIK,Zachary Elbouzedi,Mikael Lustig,79,10,70.0,15.0,117,120,pass accurate,,-0.002812934946659979,0.764156676408101,2,False,False,False,nan,nan,nan,,nan
36,AIK,Zachary Elbouzedi,,84,12,79.0,10.0,115,120,carry,,-0.006001420018364626,,2,False,False,False,nan,nan,nan,,nan
