external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Malmö FF,Antonio Mirko Colak,Anel Ahmedhodzic,51,50,34.0,46.0,0,2,Pass accurate,,-0.003823319988116164,0.8821105643271655,1,False,False,False,,,,,
1,Malmö FF,Anel Ahmedhodzic,,37,44,75.0,81.0,2,4,Pass inaccurate,,,0.4456402154805547,1,False,False,False,,,,,
2,IFK Norrköping FK,Linus Wahlqvist,,25,19,,,4,9,Clearance inaccurate,,,,1,False,False,False,,,,,
3,Malmö FF,Martin Olsson,,66,81,68.0,98.0,7,9,Pass inaccurate,,,0.6150839634812248,1,False,False,False,,,,,
4,IFK Norrköping FK,Linus Wahlqvist,,32,2,64.0,9.0,19,21,Pass inaccurate,,,0.38309944323551387,1,False,False,False,,,,,
5,Malmö FF,Martin Olsson,,36,91,,,19,24,Interception succesful,,,,1,False,False,False,,,,,
6,Malmö FF,Martin Olsson,,36,91,,,19,24,Challenge unsuccessful,,,,1,False,False,False,,,,,
7,IFK Norrköping FK,Kristoffer Khazeni,,55,26,,,22,25,Foul,,,,1,False,False,False,,,,,
8,Malmö FF,Bonke Innocent,Erdal Rakip,43,81,45.0,73.0,23,25,Pass accurate,,0.000733808724579909,0.7864412687009324,1,False,False,False,,,,,
9,Malmö FF,Erdal Rakip,Anel Ahmedhodzic,44,73,34.0,68.0,24,26,Pass accurate,,-0.00139814637984835,0.87230301542333,1,False,False,False,,,,,
10,Malmö FF,Erdal Rakip,Anel Ahmedhodzic,42,69,34.0,47.0,30,32,Pass accurate,,-0.0008277211298565734,0.87230301542333,1,False,False,False,,,,,
11,Malmö FF,Anel Ahmedhodzic,Felix Beijmo,35,38,39.0,20.0,33,35,Pass accurate,,-0.001017127657495804,0.8596680878040576,1,False,False,False,,,,,
12,Malmö FF,Felix Beijmo,Antonio Mirko Colak,40,19,65.0,24.0,35,37,Pass accurate,,0.007275755053668238,0.6308250445772118,1,False,False,False,,,,,
13,Malmö FF,Antonio Mirko Colak,Felix Beijmo,61,23,41.0,12.0,37,39,Pass accurate,,-0.00845751783526927,0.8636792774035645,1,False,False,False,,,,,
14,Malmö FF,Felix Beijmo,Anel Ahmedhodzic,40,11,35.0,26.0,38,40,Pass accurate,,0.0019344687551081322,0.8582846243776666,1,False,False,False,,,,,
15,Malmö FF,Anel Ahmedhodzic,Bonke Innocent,33,31,36.0,36.0,41,43,Pass accurate,,0.001300329741981767,0.7272438088315276,1,False,False,False,,,,,
16,Malmö FF,Bonke Innocent,Ismael Diawara,36,37,14.0,40.0,42,44,Pass accurate,,-0.0025524846114697974,0.9414389322072737,1,False,False,False,,,,,
17,Malmö FF,Ismael Diawara,,14,40,58.0,78.0,44,46,Pass inaccurate,,,0.5903127188204416,1,False,False,False,,,,,
18,IFK Norrköping FK,Abdulrazaq Ishaq,,42,22,,,45,50,Interception unsuccesful,,,,1,False,False,False,,,,,
19,IFK Norrköping FK,Abdulrazaq Ishaq,,42,22,,,45,50,Challenge successful,,,,1,False,False,False,,,,,
20,IFK Norrköping FK,Abdulrazaq Ishaq,,33,10,,,49,52,Foul,,,,1,False,False,False,,,,,
21,Malmö FF,Bonke Innocent,Franz Brorsson,61,77,45.0,55.0,67,69,Pass accurate,,-0.003998948396048061,0.8614155885971638,2,False,False,False,,,,,
22,Malmö FF,Franz Brorsson,Martin Olsson,45,56,66.0,85.0,70,72,Pass accurate,,0.003998948396048061,0.6471320621691247,2,False,False,False,,,,,
23,Malmö FF,Martin Olsson,Søren Rieks,65,86,70.0,95.0,73,75,Pass accurate,,0.0015529266837266097,0.7435019740041963,2,False,False,False,,,,,
24,Malmö FF,Søren Rieks,Veljko Birmančević,69,96,72.0,80.0,75,77,Pass accurate,,0.003384757163740343,0.758359911698151,2,False,False,False,,,,,
25,Malmö FF,Veljko Birmančević,,76,87,,,75,80,Lost ball,,,,2,False,False,False,,,,,
26,Malmö FF,Veljko Birmančević,,72,80,76.0,87.0,75,80,Carry,,0.004899422929717897,,2,False,False,False,,,,,
27,IFK Norrköping FK,Linus Wahlqvist,,26,11,,,75,80,Tackle successful,,,,2,False,False,False,,,,,
28,IFK Norrköping FK,Linus Wahlqvist,,26,11,,,75,80,Challenge unsuccessful,,,,2,False,False,False,,,,,
29,IFK Norrköping FK,Abdulrazaq Ishaq,Alexander Fransson,29,7,29.0,25.0,77,79,Pass accurate,,0.0020804594638705216,0.8591660038276697,2,False,False,False,,,,,
30,IFK Norrköping FK,Alexander Fransson,Jonathan Levi,31,25,34.0,20.0,79,81,Pass accurate,,0.0005476237684746664,0.703899488374349,2,False,False,False,,,,,
31,Malmö FF,Bonke Innocent,,66,83,,,79,84,Tackle unsuccessful,,,,2,False,False,False,,,,,
32,Malmö FF,Bonke Innocent,,66,83,,,79,84,Challenge successful,,,,2,False,False,False,,,,,
33,IFK Norrköping FK,Linus Wahlqvist,,33,3,55.0,19.0,99,101,Pass inaccurate,,,0.6120214995919242,2,False,False,False,,,,,
34,Malmö FF,Franz Brorsson,,45,81,,,100,105,Clearance inaccurate,,,,2,False,False,False,,,,,
35,IFK Norrköping FK,Marco Lund Nielsen,,34,29,,,102,105,Air challenge unsuccessful,,,,2,False,False,False,,,,,
36,IFK Norrköping FK,Marco Lund Nielsen,,34,29,,,102,105,Challenge unsuccessful,,,,2,False,False,False,,,,,
37,Malmö FF,Antonio Mirko Colak,,66,71,,,102,105,Air challenge successful,,,,2,False,False,False,,,,,
38,Malmö FF,Antonio Mirko Colak,,66,71,,,102,105,Challenge successful,,,,2,False,False,False,,,,,
39,IFK Norrköping FK,Marco Lund Nielsen,,34,30,,,102,107,Interception succesful,,,,2,False,False,False,,,,,
40,IFK Norrköping FK,Marco Lund Nielsen,,34,30,,,102,107,Challenge unsuccessful,,,,2,False,False,False,,,,,
41,IFK Norrköping FK,Abdulrazaq Ishaq,Linus Wahlqvist,32,4,27.0,13.0,106,108,Pass accurate,,0.001348856074303859,0.88624430717981,2,False,False,False,,,,,
42,IFK Norrköping FK,Linus Wahlqvist,,29,12,32.0,16.0,107,109,Pass inaccurate,,,0.670544829054461,2,False,False,False,,,,,
43,IFK Norrköping FK,Jonathan Levi,,32,16,,,108,113,Tackle unsuccessful,,,,2,False,False,False,,,,,
44,IFK Norrköping FK,Jonathan Levi,,32,16,,,108,113,Challenge successful,,,,2,False,False,False,,,,,
45,Malmö FF,Bonke Innocent,,66,83,,,109,112,Foul,,,,2,False,False,False,,,,,
46,Malmö FF,Bonke Innocent,Erdal Rakip,67,85,65.0,78.0,111,113,Pass accurate,,-0.0049376838474669525,0.7466345018245183,2,False,False,False,,,,,
