external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Degerfors IF,home,Victor Edvardsen,Sebastian Ohlsson,51,49,33.0,65.0,0,3,pass accurate,,-0.005781188470905894,0.8786857382041054,1,False,False,False,nan,nan,nan,,nan
1,Degerfors IF,home,Sebastian Ohlsson,,29,72,76.0,30.0,2,5,pass inaccurate,,,0.4604027530319686,1,False,False,False,nan,nan,nan,,nan
2,Hammarby,away,Björn Paulsen,,24,70,,,4,9,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
3,Hammarby,away,Björn Paulsen,,27,69,,,5,8,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
4,Hammarby,away,Björn Paulsen,,27,69,,,5,8,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
5,Degerfors IF,home,Nikola Djurdjic,,73,34,,,5,8,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
6,Degerfors IF,home,Nikola Djurdjic,,73,34,,,5,8,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
7,Degerfors IF,home,Adam Carlén,Erik Lindell,65,21,81.0,9.0,6,9,pass accurate,,0.008524978027466771,0.5771571178104504,1,False,False,False,nan,nan,nan,,nan
8,Hammarby,away,Björn Paulsen,,19,81,,,8,13,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
9,Degerfors IF,home,Erik Lindell,,73,7,83.0,7.0,8,11,pass inaccurate,,,0.6072322127785679,1,False,False,False,nan,nan,nan,,nan
10,Degerfors IF,home,Erik Lindell,Nikola Djurdjic,71,13,84.0,9.0,10,13,pass accurate,,0.008814354965024605,0.5531415386420939,1,False,False,False,nan,nan,nan,,nan
11,Degerfors IF,home,Nikola Djurdjic,Sean Sabetkar,74,7,67.0,9.0,13,16,pass accurate,,,0.6620542738126254,1,False,False,False,nan,nan,nan,,nan
12,Degerfors IF,home,Nikola Djurdjic,,84,9,74.0,7.0,10,16,carry,,-0.011797694501235093,,1,False,False,False,nan,nan,nan,,nan
13,Degerfors IF,home,Sean Sabetkar,Christos Gravius,65,13,64.0,27.0,16,19,pass accurate,,0.0005115672019537672,0.7562902017316454,1,False,False,False,nan,nan,nan,,nan
14,Hammarby,away,Astrit Selmani,,33,81,,,17,22,block successful,,,,1,False,False,False,nan,nan,nan,,nan
15,Hammarby,away,Astrit Selmani,,33,81,,,17,22,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
16,Degerfors IF,home,Christos Gravius,,66,30,66.0,30.0,18,21,pass inaccurate,,,0.24628391085867252,1,False,False,False,nan,nan,nan,,nan
17,Hammarby,away,Gustav Ludwigson,Björn Paulsen,10,96,8.0,84.0,22,25,pass accurate,,-0.00039541080357516356,0.8627299973041441,1,False,False,False,nan,nan,nan,,nan
18,Degerfors IF,home,Nikola Djurdjic,,91,10,,,27,30,foul,,,,1,False,False,False,nan,nan,nan,,nan
19,Hammarby,away,Oliver Dovin,Gustav Ludwigson,23,92,66.0,83.0,52,62,pass accurate,,,,1,False,False,False,nan,nan,nan,,nan
20,Hammarby,away,Oliver Dovin,Gustav Ludwigson,23,92,66.0,83.0,52,62,goalkeeper kick accurate,,,,1,False,False,False,nan,nan,nan,,nan
21,Hammarby,away,Gustav Ludwigson,Paulo José De Oliveira,62,81,71.0,71.0,58,61,pass accurate,,0.005591314885986135,0.714971891122173,1,False,False,False,nan,nan,nan,,nan
22,Hammarby,away,Paulo José De Oliveira,,72,64,76.0,70.0,59,62,pass inaccurate,,,0.6587366757040944,1,False,False,False,nan,nan,nan,,nan
23,Degerfors IF,home,Sean Sabetkar,,24,30,,,60,65,clearance inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
24,Hammarby,away,Jeppe Andrup Andersen,Björn Paulsen,62,73,51.0,83.0,65,68,pass accurate,,-0.0041304698233783944,0.8439604307630175,2,False,False,False,nan,nan,nan,,nan
