external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IK Sirius FK,Christian Kouakou,Joseph Colley,51,50,28.0,50.0,0,2,Pass accurate,,-0.005153687985360585,0.9161791357261458,1,False,False,False,,,,,
1,IK Sirius FK,Joseph Colley,Marcus Klingenberg Mathisen,29,51,37.0,49.0,2,4,Pass accurate,,0.0013303679972444214,0.8430462501865745,1,False,False,False,,,,,
2,IK Sirius FK,Marcus Klingenberg Mathisen,Tim Björkström,38,42,30.0,24.0,5,7,Pass accurate,,-0.002296354815537133,0.9121279654433834,1,False,False,False,,,,,
3,IK Sirius FK,Tim Björkström,,28,9,89.0,35.0,8,10,Pass into the box,,,,1,False,False,False,,,,,
4,IK Sirius FK,Tim Björkström,,28,9,89.0,35.0,8,10,Pass inaccurate,,,0.3002194855503533,1,False,False,False,,,,,
5,Kalmar FF,Lucas Hägg Johansson,Lars Saetra,11,65,21.0,27.0,13,15,Pass accurate,,0.0015509676021901782,0.9079753358291264,1,False,False,False,,,,,
6,Kalmar FF,Lars Saetra,Lucas Hägg Johansson,25,22,4.0,37.0,18,20,Pass accurate,,-0.002431935966555698,0.9320542947832422,1,False,False,False,,,,,
7,Kalmar FF,Lucas Hägg Johansson,,5,37,23.0,2.0,21,23,Pass inaccurate,,,0.9396439554515164,1,False,False,False,,,,,
8,IK Sirius FK,Axel Björnström,Jamie Roche,77,98,63.0,94.0,32,34,Pass accurate,,-0.009613284787725596,0.8542256720889345,1,False,False,False,,,,,
9,IK Sirius FK,Jamie Roche,Joseph Colley,59,95,45.0,70.0,35,37,Pass accurate,,-0.002220083527312223,0.8600750341183492,1,False,False,False,,,,,
10,IK Sirius FK,Joseph Colley,,44,65,56.0,45.0,37,39,Pass inaccurate,,,0.7298763686299669,1,False,False,False,,,,,
11,Kalmar FF,Romario Pereira Sipiao,,44,55,64.0,69.0,38,40,Pass inaccurate,,,0.6873013845992838,1,False,False,False,,,,,
12,IK Sirius FK,Tim Björkström,Joseph Colley,36,31,39.0,48.0,41,43,Pass accurate,,0.0002644216839887033,0.8335412710396295,1,False,False,False,,,,,
13,IK Sirius FK,Joseph Colley,Jamie Roche,46,55,46.0,91.0,45,47,Pass accurate,,-0.002951062582035627,0.8176532637994183,1,False,False,False,,,,,
14,IK Sirius FK,Jamie Roche,Axel Björnström,51,95,64.0,95.0,50,52,Pass accurate,,0.002683424089593607,0.7381258534351539,1,False,False,False,,,,,
15,IK Sirius FK,Axel Björnström,Jamie Roche,63,97,42.0,94.0,52,54,Pass accurate,,-0.004577611136330586,0.8995504974521427,1,False,False,False,,,,,
16,IK Sirius FK,Jamie Roche,Joseph Colley,43,89,31.0,59.0,53,55,Pass accurate,,0.00019943848191736856,0.8834484461486996,1,False,False,False,,,,,
17,IK Sirius FK,Joseph Colley,Tim Björkström,33,52,33.0,29.0,58,60,Pass accurate,,-0.00023438342872604892,0.8805618221203809,1,False,False,False,,,,,
18,IK Sirius FK,Tim Björkström,Joseph Colley,29,28,19.0,28.0,60,62,Pass accurate,,-0.0012696259308637402,0.9399149020564669,2,False,False,False,,,,,
19,IK Sirius FK,Joseph Colley,Jacob Ortmark,32,60,44.0,66.0,63,65,Pass accurate,,0.002158089127100995,0.8103798942126422,2,False,False,False,,,,,
20,IK Sirius FK,Jacob Ortmark,Jamie Roche,45,67,39.0,95.0,67,69,Pass accurate,,-0.0038089995626965547,0.8673786413065955,2,False,False,False,,,,,
21,IK Sirius FK,Jamie Roche,Joseph Colley,40,96,29.0,71.0,69,71,Pass accurate,,0.001018763339975205,0.9009238231522989,2,False,False,False,,,,,
22,IK Sirius FK,Joseph Colley,Tim Björkström,29,56,43.0,11.0,73,75,Pass accurate,,0.00045751347535806335,0.7945809754847125,2,False,False,False,,,,,
23,IK Sirius FK,Tim Björkström,Karl Larson,46,11,85.0,6.0,77,79,Pass accurate,,0.021657879963890188,0.3523484471739613,2,False,False,False,,,,,
24,IK Sirius FK,Karl Larson,,95,6,95.0,42.0,83,85,Pass into the box,,,,2,False,False,False,,,,,
25,IK Sirius FK,Karl Larson,,95,6,95.0,42.0,83,85,Pass inaccurate,,,0.3426732376195947,2,False,False,False,,,,,
26,IK Sirius FK,Karl Larson,,95,6,95.0,42.0,83,85,Cross inacurate,,,0.3426732376195947,2,False,False,False,,,,,
27,IK Sirius FK,Karl Larson,,85,6,95.0,6.0,77,85,Carry,,0.02599741386060056,,2,False,False,False,,,,,
28,Kalmar FF,Henrik Löfkvist,,5,58,,,83,88,Interception succesful,,,,2,False,False,False,,,,,
29,Kalmar FF,Henrik Löfkvist,,5,58,,,83,88,Challenge unsuccessful,,,,2,False,False,False,,,,,
30,Kalmar FF,Henrik Löfkvist,Douglas Bergqvist,3,66,4.0,84.0,87,89,Pass accurate,,-0.000910649346470763,0.8648152220049156,2,False,False,False,,,,,
31,Kalmar FF,Douglas Bergqvist,,4,83,20.0,80.0,87,89,Pass inaccurate,,,0.9017483422799252,2,False,False,False,,,,,
32,IK Sirius FK,Marcus Klingenberg Mathisen,Tim Björkström,80,20,74.0,10.0,89,91,Pass accurate,,-0.008024806478663438,0.7832508833182015,2,False,False,False,,,,,
33,IK Sirius FK,Tim Björkström,Christian Kouakou,75,7,87.0,10.0,91,93,Pass accurate,,0.006001420018364626,0.6452778728227804,2,False,False,False,,,,,
34,IK Sirius FK,Christian Kouakou,,89,3,,,92,97,Lost ball,,,,2,False,False,False,,,,,
35,IK Sirius FK,Christian Kouakou,,87,10,89.0,3.0,91,97,Carry,,,,2,False,False,False,,,,,
36,Kalmar FF,Sebastian Ring,Romario Pereira Sipiao,22,99,23.0,84.0,97,99,Pass accurate,,0.0011837497986438555,0.871972723608995,2,False,False,False,,,,,
37,Kalmar FF,Romario Pereira Sipiao,Douglas Bergqvist,21,84,7.0,86.0,100,102,Pass accurate,,-0.002781188611968523,0.9317214142234346,2,False,False,False,,,,,
38,Kalmar FF,Douglas Bergqvist,Sebastian Ring,6,86,10.0,96.0,102,104,Pass accurate,,0.00039541080357516356,0.7019894728661696,2,False,False,False,,,,,
39,Kalmar FF,Sebastian Ring,Filip Sachpekidis,8,98,19.0,91.0,103,105,Pass accurate,,0.0026480221924059678,0.9099380279130304,2,False,False,False,,,,,
40,Kalmar FF,Filip Sachpekidis,,26,80,,,105,108,Foul,,,,2,False,False,False,,,,,
41,IK Sirius FK,Marcus Klingenberg Mathisen,Joseph Colley,71,20,61.0,27.0,111,113,Pass accurate,,-0.005200475878853025,0.8119903046367195,2,False,False,False,,,,,
42,IK Sirius FK,Joseph Colley,Marcus Klingenberg Mathisen,58,21,62.0,24.0,113,115,Pass accurate,,0.0033100214364374,0.6064632949763529,2,False,False,False,,,,,
43,IK Sirius FK,Joseph Colley,,61,27,58.0,21.0,111,115,Carry,,-0.003821588638391167,,2,False,False,False,,,,,
44,IK Sirius FK,Marcus Klingenberg Mathisen,Joseph Colley,65,27,55.0,22.0,114,116,Pass accurate,,-0.003821588638391167,0.8407275355339519,2,False,False,False,,,,,
45,IK Sirius FK,Joseph Colley,Jacob Ortmark,53,28,56.0,40.0,116,118,Pass accurate,,5.2111995479109385e-05,0.772809329105659,2,False,False,False,,,,,
46,IK Sirius FK,Jacob Ortmark,Joseph Colley,55,37,44.0,26.0,117,119,Pass accurate,,-0.0025916909572953895,0.8775416465761778,2,False,False,False,,,,,
47,IK Sirius FK,Joseph Colley,Jacob Ortmark,48,37,51.0,46.0,125,127,Pass accurate,,0.002643802952774499,0.8082106832811583,3,False,False,False,,,,,
48,IK Sirius FK,Jacob Ortmark,Jamie Roche,50,50,51.0,93.0,126,128,Pass accurate,,-0.0034589394205409747,0.6235607090354636,3,False,False,False,,,,,
49,IK Sirius FK,Jamie Roche,Joseph Colley,51,93,38.0,70.0,130,132,Pass accurate,,-0.0009348058175669659,0.8636794600450087,3,False,False,False,,,,,
50,IK Sirius FK,Joseph Colley,Jamie Roche,39,52,44.0,95.0,135,137,Pass accurate,,-0.0014425344358099824,0.8212725924224029,3,False,False,False,,,,,
51,IK Sirius FK,Jamie Roche,Marcus Klingenberg Mathisen,42,96,47.0,84.0,139,141,Pass accurate,,0.0016237188844384545,0.688687642657926,3,False,False,False,,,,,
52,IK Sirius FK,Marcus Klingenberg Mathisen,Jacob Ortmark,47,84,68.0,87.0,140,142,Pass accurate,,0.010263975941112186,0.6608374364604482,3,False,False,False,,,,,
53,Kalmar FF,Oliver Berg,,35,6,,,142,147,Interception succesful,,,,3,False,False,False,,,,,
54,Kalmar FF,Oliver Berg,,35,6,,,142,147,Challenge unsuccessful,,,,3,False,False,False,,,,,
55,IK Sirius FK,Jacob Ortmark,Axel Björnström,67,91,61.0,95.0,142,144,Pass accurate,,-0.003925326525479712,0.8194323074145768,3,False,False,False,,,,,
56,IK Sirius FK,Axel Björnström,,59,97,65.0,95.0,142,144,Pass inaccurate,,,0.7592798869727524,3,False,False,False,,,,,
