external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Degerfors IF,away,Victor Edvardsen,Christos Gravius,51,50,41.0,59.0,0,2,pass accurate,,-0.0039105920314679715,0.8606791863384019,1,False,False,False,nan,nan,nan,,nan
1,Degerfors IF,away,Christos Gravius,Oliver Ekroth,40,58,31.0,58.0,1,3,pass accurate,,-0.0012430959538926138,0.8782640631862326,1,False,False,False,nan,nan,nan,,nan
2,Degerfors IF,away,Oliver Ekroth,Sebastian Olsson,29,51,31.0,74.0,3,5,pass accurate,,-0.000632147095620355,0.8554313961087654,1,False,False,False,nan,nan,nan,,nan
3,Degerfors IF,away,Sebastian Olsson,Ferhad Ayaz,31,74,34.0,92.0,6,8,pass accurate,,-0.001018763339975205,0.8609801735444357,1,False,False,False,nan,nan,nan,,nan
4,Degerfors IF,away,Ferhad Ayaz,,35,91,73.0,86.0,8,10,pass inaccurate,,,0.4957158515415668,1,False,False,False,nan,nan,nan,,nan
5,AIK,home,Alexander Milošević,Budimir Janosevic,27,14,7.0,40.0,12,14,pass accurate,,-0.00031339649987124213,0.9309131979022847,1,False,False,False,nan,nan,nan,,nan
6,AIK,home,Budimir Janosevic,,6,41,39.0,1.0,13,15,pass inaccurate,,,0.814926303216936,1,False,False,False,nan,nan,nan,,nan
7,Degerfors IF,away,Sebastian Olsson,Christos Gravius,61,99,62.0,83.0,23,25,pass accurate,,0.002372399841753102,0.8038053581236191,1,False,False,False,nan,nan,nan,,nan
8,Degerfors IF,away,Christos Gravius,Sebastian Olsson,48,84,39.0,94.0,25,27,pass accurate,,-0.0030751908381166457,0.8968907383247571,1,False,False,False,nan,nan,nan,,nan
9,Degerfors IF,away,Sebastian Olsson,Christos Gravius,39,97,40.0,78.0,26,28,pass accurate,,0.0016627165462302432,0.8436957216491078,1,False,False,False,nan,nan,nan,,nan
10,Degerfors IF,away,Christos Gravius,Sebastian Olsson,41,82,36.0,95.0,27,29,pass accurate,,-0.0016627165462302432,0.884685388260372,1,False,False,False,nan,nan,nan,,nan
11,Degerfors IF,away,Sebastian Olsson,Victor Edvardsen,36,97,63.0,81.0,29,31,pass accurate,,0.00840148293176188,0.6206340716978965,1,False,False,False,nan,nan,nan,,nan
12,Degerfors IF,away,Victor Edvardsen,,61,83,59.0,88.0,30,32,pass inaccurate,,,0.5840102244547807,1,False,False,False,nan,nan,nan,,nan
13,AIK,home,Mikael Lustig,,41,12,,,30,35,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
14,Degerfors IF,away,Oliver Ekroth,Adam Carlén,31,72,34.0,64.0,34,36,pass accurate,,0.0013920898428729997,0.8266719733903487,1,False,False,False,nan,nan,nan,,nan
15,AIK,home,Sebastian Larsson,,60,27,,,36,41,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
16,AIK,home,Sebastian Larsson,,60,27,,,36,41,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
17,Degerfors IF,away,Adam Carlén,,36,68,36.0,65.0,36,38,pass inaccurate,,,0.2781914621651016,1,False,False,False,nan,nan,nan,,nan
18,AIK,home,Nicolas Stefanelli,Sebastian Larsson,64,35,57.0,39.0,38,40,pass accurate,,-0.002951521220085084,0.8026104845045336,1,False,False,False,nan,nan,nan,,nan
19,AIK,home,Sebastian Larsson,Nabil Bahoui,58,42,67.0,50.0,39,41,pass accurate,,0.00790356543530294,0.707777255215211,1,False,False,False,nan,nan,nan,,nan
20,AIK,home,Nabil Bahoui,,72,52,,,40,45,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
21,AIK,home,Nabil Bahoui,,67,50,72.0,52.0,39,45,carry,,,,1,False,False,False,nan,nan,nan,,nan
22,Degerfors IF,away,Adam Carlén,,30,48,,,41,46,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
23,Degerfors IF,away,Adam Carlén,,30,48,,,41,46,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
24,Degerfors IF,away,Gustav Granath,Erik Lindell,19,31,31.0,17.0,45,47,pass accurate,,0.0005380225412970775,0.803675139324718,1,False,False,False,nan,nan,nan,,nan
25,Degerfors IF,away,Erik Lindell,,29,5,49.0,20.0,48,50,pass inaccurate,,,0.5975638452393277,1,False,False,False,nan,nan,nan,,nan
26,AIK,home,Sotirios Papagiannopoulos,,51,80,68.0,64.0,50,52,pass inaccurate,,,0.6569627258886045,1,False,False,False,nan,nan,nan,,nan
27,Degerfors IF,away,Adam Carlén,,32,36,,,51,56,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
28,Degerfors IF,away,Adam Carlén,,32,36,,,51,56,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
29,Degerfors IF,away,Adam Carlén,Sebastian Olsson,32,37,32.0,51.0,53,55,pass accurate,,0.00023438342872604892,0.8588574874931381,1,False,False,False,nan,nan,nan,,nan
30,Degerfors IF,away,Sebastian Olsson,Oliver Ekroth,31,55,25.0,43.0,54,56,pass accurate,,0.0001646526912263708,0.9084596437917314,1,False,False,False,nan,nan,nan,,nan
31,Degerfors IF,away,Oliver Ekroth,Victor Edvardsen,25,52,35.0,85.0,56,58,pass accurate,,1.1806110634683328e-05,0.8353452067663608,1,False,False,False,nan,nan,nan,,nan
32,AIK,home,Nicolas Stefanelli,,77,41,,,60,85,final third entry,,,,2,False,False,False,nan,nan,nan,,nan
33,Degerfors IF,away,Victor Edvardsen,Sebastian Olsson,35,87,33.0,75.0,61,63,pass accurate,,-0.0015837992739677984,0.8722207706991403,2,False,False,False,nan,nan,nan,,nan
34,Degerfors IF,away,Sebastian Olsson,Oliver Ekroth,31,74,20.0,62.0,62,64,pass accurate,,-0.0009346435171379321,0.9366172528201364,2,False,False,False,nan,nan,nan,,nan
35,AIK,home,Nicolas Stefanelli,,78,41,,,65,68,shot on target,0.022494089666228692,,,2,False,False,False,nan,nan,nan,,-
36,Degerfors IF,away,Ismael Diawara,,22,59,,,65,68,shot on target saved,,,,2,False,False,False,nan,nan,nan,,-
37,AIK,home,Nicolas Stefanelli,,78,41,,,65,68,shot,0.022494089666228692,,,2,False,False,False,nan,nan,right foot,,nan
38,Degerfors IF,away,Ismael Diawara,,3,50,,,65,68,save,0.022494089666228692,,,2,False,False,False,nan,nan,low saves,,-
39,Degerfors IF,away,Oliver Ekroth,,19,56,34.0,69.0,65,67,pass inaccurate,,,0.7877833374040875,2,False,False,False,nan,nan,nan,,nan
40,AIK,home,Sebastian Larsson,,66,31,,,65,70,interception succesful,,,,2,False,False,False,nan,nan,nan,,nan
41,AIK,home,Sebastian Larsson,,66,31,,,65,70,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
42,AIK,home,Sebastian Larsson,Nicolas Stefanelli,67,33,74.0,38.0,68,70,pass accurate,,3.970949126591572e-05,0.7092172644862911,2,False,False,False,nan,nan,nan,,nan
43,AIK,home,Sebastian Larsson,Nicolas Stefanelli,67,33,74.0,38.0,68,70,key pass,,,0.7092172644862911,2,False,False,False,nan,nan,nan,,nan
44,Degerfors IF,away,Ismael Diawara,Victor Edvardsen,11,56,33.0,84.0,68,78,pass accurate,,,,2,False,False,False,nan,nan,nan,,nan
45,Degerfors IF,away,Ismael Diawara,Victor Edvardsen,11,56,33.0,84.0,68,78,goalkeeper throw accurate,,,,2,False,False,False,nan,nan,nan,,nan
46,Degerfors IF,away,Victor Edvardsen,Ferhad Ayaz,33,88,40.0,89.0,74,76,pass accurate,,0.0013155334408985666,0.8181904023776375,2,False,False,False,nan,nan,nan,,nan
47,AIK,home,Mikael Lustig,,46,4,,,77,82,interception succesful,,,,2,False,False,False,nan,nan,nan,,nan
48,AIK,home,Mikael Lustig,,46,4,,,77,82,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
49,Degerfors IF,away,Ferhad Ayaz,,42,94,55.0,96.0,77,79,pass inaccurate,,,0.509476158129057,2,False,False,False,nan,nan,nan,,nan
50,AIK,home,Mikael Lustig,Saku Ylätupa,45,4,63.0,9.0,79,81,pass accurate,,0.00506778581521688,0.5523618505895546,2,False,False,False,nan,nan,nan,,nan
51,AIK,home,Saku Ylätupa,Sebastian Larsson,63,7,57.0,16.0,82,84,pass accurate,,-0.0012463253335954876,0.781040255539505,2,False,False,False,nan,nan,nan,,nan
52,AIK,home,Sebastian Larsson,Bilal Hussein,61,19,54.0,25.0,83,85,pass accurate,,-0.0024920660136104264,0.8324949949960937,2,False,False,False,nan,nan,nan,,nan
53,AIK,home,Bilal Hussein,Sebastian Larsson,56,27,62.0,25.0,84,86,pass accurate,,0.0030036332155641936,0.7593863894968963,2,False,False,False,nan,nan,nan,,nan
54,AIK,home,Sebastian Larsson,Alexander Milošević,62,24,35.0,23.0,85,87,pass accurate,,-0.007275755053668238,0.8685778488086503,2,False,False,False,nan,nan,nan,,nan
55,AIK,home,Alexander Milošević,Mikael Lustig,45,23,48.0,10.0,92,94,pass accurate,,-0.0012554265433123452,0.8012209066385462,2,False,False,False,nan,nan,nan,,nan
56,AIK,home,Mikael Lustig,Bilal Hussein,46,7,48.0,24.0,94,96,pass accurate,,0.0012554265433123452,0.7732525993009525,2,False,False,False,nan,nan,nan,,nan
57,AIK,home,Bilal Hussein,Sotirios Papagiannopoulos,48,23,31.0,48.0,96,98,pass accurate,,-0.0015482873274440378,0.8848047748872241,2,False,False,False,nan,nan,nan,,nan
58,AIK,home,Sotirios Papagiannopoulos,Bilal Hussein,32,43,40.0,28.0,98,100,pass accurate,,0.0009012936220293474,0.8480428304650279,2,False,False,False,nan,nan,nan,,nan
59,AIK,home,Bilal Hussein,Sotirios Papagiannopoulos,40,35,44.0,58.0,100,102,pass accurate,,0.0016856777868625404,0.826131189244214,2,False,False,False,nan,nan,nan,,nan
60,AIK,home,Sotirios Papagiannopoulos,,65,78,90.0,83.0,106,108,pass inaccurate,,,0.5536905946777175,2,False,False,False,nan,nan,nan,,nan
61,AIK,home,Sotirios Papagiannopoulos,,44,58,65.0,78.0,100,108,carry,,0.003998948396048061,,2,False,False,False,nan,nan,nan,,nan
