external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Djurgården,home,Joel Asoro,Jacob Une Larsson,50,50,33.0,50.0,0,3,pass accurate,,-0.005153687985360585,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,Djurgården,home,Jacob Une Larsson,,34,48,72.0,87.0,2,5,pass inaccurate,,,0.526501884345166,1,False,False,False,nan,nan,nan,,nan
2,Halmstad,away,Edvin Kurtulus,,28,13,22.0,15.0,5,8,pass inaccurate,,,0.9114490279425814,1,False,False,False,nan,nan,nan,,nan
3,Djurgården,home,Haris Radetinac,,78,85,,,5,8,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
4,Djurgården,home,Haris Radetinac,,78,85,,,5,8,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
5,Halmstad,away,Edvin Kurtulus,,22,15,,,5,8,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
6,Halmstad,away,Edvin Kurtulus,,22,15,,,5,8,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
7,Halmstad,away,Edvin Kurtulus,,23,10,4.0,6.0,8,11,pass inaccurate,,,0.8578436401188212,1,False,False,False,nan,nan,nan,,nan
8,Djurgården,home,Joel Asoro,Rasmus Schüller,96,94,71.0,88.0,12,15,pass accurate,,-0.025387686628600126,0.7526868256031433,1,False,False,False,nan,nan,nan,,nan
9,Djurgården,home,Rasmus Schüller,Magnus Eriksson,70,85,74.0,92.0,15,18,pass accurate,,-0.003384757163740343,0.717190540501463,1,False,False,False,nan,nan,nan,,nan
10,Djurgården,home,Magnus Eriksson,Haris Radetinac,72,92,78.0,89.0,18,21,pass accurate,,0.005687958262245885,0.6853907834858872,1,False,False,False,nan,nan,nan,,nan
11,Djurgården,home,Haris Radetinac,Magnus Eriksson,78,90,67.0,91.0,21,24,pass accurate,,-0.005687958262245885,0.7831743948900729,1,False,False,False,nan,nan,nan,,nan
12,Djurgården,home,Elliot Käck,,82,90,,,23,48,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
13,Djurgården,home,Magnus Eriksson,,73,90,88.0,61.0,23,26,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
14,Djurgården,home,Magnus Eriksson,,73,90,88.0,61.0,23,26,pass inaccurate,,,0.5384544396876896,1,False,False,False,nan,nan,nan,,nan
15,Djurgården,home,Magnus Eriksson,,73,90,88.0,61.0,23,26,cross inacurate,,,0.5384544396876896,1,False,False,False,nan,nan,nan,,nan
16,Halmstad,away,Andreas Johansson,,12,39,33.0,33.0,24,27,pass inaccurate,,,0.763360973995413,1,False,False,False,nan,nan,nan,,nan
17,Djurgården,home,Rasmus Schüller,Jacob Une Larsson,67,67,54.0,42.0,26,29,pass accurate,,-0.007192846006866916,0.8451210868777994,1,False,False,False,nan,nan,nan,,nan
18,Djurgården,home,Jacob Une Larsson,Elliot Käck,55,46,81.0,90.0,29,32,pass accurate,,0.008842416066853275,0.5385108604592598,1,False,False,False,nan,nan,nan,,nan
19,Djurgården,home,Elliot Käck,Magnus Eriksson,83,89,73.0,78.0,33,36,pass accurate,,-0.0023032010985055418,0.7752797016388391,1,False,False,False,nan,nan,nan,,nan
20,Djurgården,home,Magnus Eriksson,Hampus Finndell,88,84,90.0,58.0,37,40,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
21,Djurgården,home,Magnus Eriksson,Hampus Finndell,88,84,90.0,58.0,37,40,pass accurate,,0.08990974406365501,0.5718974410871308,1,False,False,False,nan,nan,nan,,nan
22,Djurgården,home,Magnus Eriksson,,73,78,88.0,84.0,33,40,carry,,0.009709563505715859,,1,False,False,False,nan,nan,nan,,nan
23,Djurgården,home,Hampus Finndell,,89,60,92.0,75.0,38,41,pass inaccurate,,,0.5998677912647581,1,False,False,False,nan,nan,nan,,nan
24,Halmstad,away,Thomas Boakye,,8,25,,,39,44,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
25,Djurgården,home,Jesper Löfgren,,65,64,73.0,72.0,42,45,pass inaccurate,,,0.7150742227409622,1,False,False,False,nan,nan,nan,,nan
26,Halmstad,away,Joel Allansson,Sadat Karim,27,28,55.0,19.0,44,47,pass accurate,,0.004513357385705505,0.6292884862938342,1,False,False,False,nan,nan,nan,,nan
27,Halmstad,away,Sadat Karim,,60,7,,,47,52,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
28,Halmstad,away,Sadat Karim,,55,19,60.0,7.0,44,52,carry,,0.0012463253335954876,,1,False,False,False,nan,nan,nan,,nan
29,Djurgården,home,Jesper Löfgren,Aleksandr Vasiutin,24,89,12.0,29.0,59,62,pass accurate,,0.0018659652516393854,0.937201696473877,1,False,False,False,nan,nan,nan,,nan
30,Djurgården,home,Aleksandr Vasiutin,Jesper Löfgren,10,39,7.0,58.0,72,75,pass accurate,,-9.772676568228778e-05,0.9156814003310401,2,False,False,False,nan,nan,nan,,nan
31,Djurgården,home,Jesper Löfgren,,9,51,46.0,27.0,76,79,pass inaccurate,,,0.6598181331821953,2,False,False,False,nan,nan,nan,,nan
32,Halmstad,away,Andreas Bengtsson,,54,73,56.0,64.0,78,81,pass inaccurate,,,0.7660566600997625,2,False,False,False,nan,nan,nan,,nan
33,Djurgården,home,Joel Asoro,Rasmus Schüller,44,36,42.0,41.0,80,83,pass accurate,,0.00027401153327540756,0.5598395049717112,2,False,False,False,nan,nan,nan,,nan
34,Halmstad,away,Amir Al-Ammari,,57,68,,,80,83,air challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
35,Halmstad,away,Amir Al-Ammari,,57,68,,,80,83,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
36,Djurgården,home,Joel Asoro,,43,32,,,80,83,air challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
37,Djurgården,home,Joel Asoro,,43,32,,,80,83,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
38,Djurgården,home,Rasmus Schüller,,46,48,,,83,86,foul,,,,2,False,False,False,nan,nan,nan,,nan
39,Halmstad,away,Amir Al-Ammari,,55,49,89.0,34.0,111,114,pass into the box,,,,2,False,False,False,nan,nan,nan,,nan
40,Halmstad,away,Amir Al-Ammari,,55,49,89.0,34.0,111,114,pass inaccurate,,,0.4480499536763256,2,False,False,False,nan,nan,nan,,nan
41,Djurgården,home,Jesper Löfgren,,11,66,11.0,65.0,114,117,pass inaccurate,,,0.2744732989888067,2,False,False,False,nan,nan,nan,,nan
42,Halmstad,away,Sadat Karim,,89,35,,,114,117,air challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
43,Halmstad,away,Sadat Karim,,89,35,,,114,117,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
44,Djurgården,home,Jesper Löfgren,,11,65,,,114,117,air challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
45,Djurgården,home,Jesper Löfgren,,11,65,,,114,117,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
46,Halmstad,away,Andreas Johansson,Thomas Boakye,84,24,76.0,29.0,115,118,pass accurate,,-0.003294015533690235,0.7101381513059116,2,False,False,False,nan,nan,nan,,nan
47,Halmstad,away,Thomas Boakye,Andreas Johansson,81,30,76.0,17.0,118,121,pass accurate,,-0.002476442949955804,0.7701261887028579,2,False,False,False,nan,nan,nan,,nan
48,Halmstad,away,Thomas Boakye,,76,29,81.0,30.0,115,121,carry,,,,2,False,False,False,nan,nan,nan,,nan
