external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Norrköping FK,Maic Sema,Henrik Castegren,51,48,32.0,59.0,0,2,pass accurate,,-0.005149041375285539,0.8786857382041054,1,False,False,False,nan,nan,nan,,nan
1,IFK Norrköping FK,Henrik Castegren,,30,58,80.0,37.0,3,5,pass inaccurate,,,0.4422070944522696,1,False,False,False,nan,nan,nan,,nan
2,Mjällby AIF,Eric Björkander,,20,63,,,4,9,clearance accurate,,,,1,False,False,False,nan,nan,nan,,nan
3,Mjällby AIF,Eric Björkander,Jesper Gustavsson,22,61,38.0,45.0,5,7,pass accurate,,0.0028971586100027084,0.7530333785125873,1,False,False,False,nan,nan,nan,,nan
4,Mjällby AIF,Jesper Gustavsson,,39,45,55.0,21.0,7,9,pass inaccurate,,,0.7654811972112525,1,False,False,False,nan,nan,nan,,nan
5,IFK Norrköping FK,Viktor Agardius,,45,79,,,8,13,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
6,Mjällby AIF,Samuel Brolin,Ivan Kričak,12,55,10.0,17.0,13,23,pass accurate,,,,1,False,False,False,nan,nan,nan,,nan
7,Mjällby AIF,Samuel Brolin,Ivan Kričak,12,55,10.0,17.0,13,23,goalkeeper throw accurate,,,,1,False,False,False,nan,nan,nan,,nan
8,Mjällby AIF,Ivan Kričak,,12,16,72.0,59.0,20,22,pass inaccurate,,,0.40251151656888695,1,False,False,False,nan,nan,nan,,nan
9,IFK Norrköping FK,Linus Wahlqvist,Oscar Jansson,28,41,12.0,49.0,27,29,pass accurate,,-0.00165119098944045,0.9387687164520605,1,False,False,False,nan,nan,nan,,nan
10,IFK Norrköping FK,Oscar Jansson,Viktor Agardius,9,48,10.0,72.0,33,35,pass accurate,,-0.0015684386635658881,0.9110734499787234,1,False,False,False,nan,nan,nan,,nan
11,IFK Norrköping FK,Viktor Agardius,Oscar Jansson,12,69,5.0,48.0,37,39,pass accurate,,0.0017755936436160136,0.9156814003310401,1,False,False,False,nan,nan,nan,,nan
12,IFK Norrköping FK,Oscar Jansson,Alexander Fransson,3,48,18.0,44.0,41,43,pass accurate,,5.410921529860717e-05,0.9163999693507892,1,False,False,False,nan,nan,nan,,nan
13,IFK Norrköping FK,Alexander Fransson,Oscar Jansson,16,45,3.0,45.0,42,44,pass accurate,,0.00020715498005012545,0.9188507831875833,1,False,False,False,nan,nan,nan,,nan
14,IFK Norrköping FK,Oscar Jansson,,3,45,89.0,56.0,43,45,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
15,IFK Norrköping FK,Oscar Jansson,,3,45,89.0,56.0,43,45,pass inaccurate,,,0.44075348323143865,1,False,False,False,nan,nan,nan,,nan
16,Mjällby AIF,Daan Klinkenberg,,11,44,,,46,51,clearance accurate,,,,1,False,False,False,nan,nan,nan,,nan
17,Mjällby AIF,Daan Klinkenberg,,53,51,,,46,49,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
18,Mjällby AIF,Daan Klinkenberg,,53,51,,,46,49,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
19,IFK Norrköping FK,Maic Sema,,47,50,,,46,49,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
20,IFK Norrköping FK,Maic Sema,,47,50,,,46,49,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
21,Mjällby AIF,Joel Nilsson,,74,8,,,46,71,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
22,Mjällby AIF,Viktor Gustafson,,86,18,,,46,71,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
23,Mjällby AIF,Daan Klinkenberg,Jesper Gustavsson,54,52,68.0,30.0,48,50,pass accurate,,0.008097661573438594,0.6961106239243645,1,False,False,False,nan,nan,nan,,nan
24,Mjällby AIF,Jesper Gustavsson,Joel Nilsson,67,26,58.0,21.0,49,51,pass accurate,,-0.008972375601819724,0.8140560687412599,1,False,False,False,nan,nan,nan,,nan
