external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Örebro,Deniz Hümmet,Nordin Gerzic,49,51,44.0,49.0,0,2,pass accurate,,2.7625855668188953e-05,0.7947400708406895,1,False,False,False,nan,nan,nan,,nan
1,Örebro,Nordin Gerzic,Andreas Skovgaard Larsen,45,50,28.0,67.0,0,2,pass accurate,,-0.0033837711957386135,0.9081178328513149,1,False,False,False,nan,nan,nan,,nan
2,Örebro,Andreas Skovgaard Larsen,Michael Almebäck,27,68,25.0,27.0,3,5,pass accurate,,0.00039776366689430603,0.9183147481415196,1,False,False,False,nan,nan,nan,,nan
3,Örebro,Michael Almebäck,,31,19,69.0,11.0,7,9,pass inaccurate,,,0.44829456864326644,1,False,False,False,nan,nan,nan,,nan
4,IF Elfsborg,Simon Strand,,31,89,,,9,14,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
5,Örebro,Hussein Ali,,55,10,,,11,16,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
6,Örebro,Hussein Ali,,55,10,,,11,16,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
7,IF Elfsborg,Andrè Ibsen Rømer,,34,82,81.0,75.0,13,15,pass inaccurate,,,0.4372360327468439,1,False,False,False,nan,nan,nan,,nan
8,Örebro,Bobby Allain,,19,25,,,16,21,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
9,IF Elfsborg,Per Frick,,77,85,,,30,55,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
10,IF Elfsborg,Simon Strand,Per Frick,56,98,75.0,79.0,36,38,pass accurate,,0.014892930708531558,0.6157654200644961,1,False,False,False,nan,nan,nan,,nan
11,IF Elfsborg,Per Frick,,74,83,74.0,83.0,38,40,pass inaccurate,,,0.23004057707237435,1,False,False,False,nan,nan,nan,,nan
12,Örebro,Bobby Allain,Michael Almebäck,0,54,5.0,22.0,62,64,pass accurate,,-0.0032926125632125585,0.9310637988655496,2,False,False,False,nan,nan,nan,,nan
13,Örebro,Michael Almebäck,Hussein Ali,4,18,16.0,5.0,64,66,pass accurate,,2.493576281557483e-05,0.9342014528755973,2,False,False,False,nan,nan,nan,,nan
14,Örebro,Hussein Ali,Michael Almebäck,22,3,5.0,11.0,68,70,pass accurate,,-0.0027313930424450843,0.9028013764617485,2,False,False,False,nan,nan,nan,,nan
15,IF Elfsborg,Per Frick,,90,97,,,71,74,foul,,,,2,False,False,False,nan,nan,nan,,nan
16,Örebro,Bobby Allain,,20,12,68.0,24.0,100,110,pass inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
17,Örebro,Bobby Allain,,20,12,68.0,24.0,100,110,goalkeeper kick inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
18,IF Elfsborg,Maudo Lamine Jarjué,,32,76,,,105,108,air challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
19,IF Elfsborg,Maudo Lamine Jarjué,,32,76,,,105,108,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
20,Örebro,Deniz Hümmet,,68,25,,,105,108,air challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
21,Örebro,Deniz Hümmet,,68,25,,,105,108,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
22,IF Elfsborg,Maudo Lamine Jarjué,,32,73,,,105,110,clearance inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
