external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Norrköping FK,Kristoffer Khazeni,Samuel Adeniyi Adegbenro,51,48,39.0,49.0,0,3,pass accurate,,-0.0038186733780411174,0.8606791863384019,1,False,False,False,nan,nan,nan,,nan
1,IFK Norrköping FK,Samuel Adeniyi Adegbenro,Viktor Agardius,40,50,28.0,67.0,1,4,pass accurate,,-0.0018752430495129688,0.9049096826134415,1,False,False,False,nan,nan,nan,,nan
2,IFK Norrköping FK,Viktor Agardius,Henrik Castegren,29,65,32.0,43.0,3,6,pass accurate,,0.0007967997868467257,0.8430462501865745,1,False,False,False,nan,nan,nan,,nan
3,IFK Norrköping FK,Henrik Castegren,Viktor Agardius,36,40,36.0,62.0,8,11,pass accurate,,-8.72720433518076e-05,0.8697824271701776,1,False,False,False,nan,nan,nan,,nan
4,IFK Norrköping FK,Viktor Agardius,Ari Freyr Skúlason,36,63,59.0,93.0,10,13,pass accurate,,0.003618229907160573,0.44632331138119546,1,False,False,False,nan,nan,nan,,nan
5,IFK Norrköping FK,Samuel Adeniyi Adegbenro,,83,47,,,15,40,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
6,IFK Norrköping FK,Ari Freyr Skúlason,Henrik Castegren,69,93,53.0,55.0,16,19,pass accurate,,-0.003149811194532344,0.8060951168217032,1,False,False,False,nan,nan,nan,,nan
7,IFK Norrköping FK,Henrik Castegren,Linus Wahlqvist,54,49,69.0,23.0,19,22,pass accurate,,0.008151997098938109,0.6956537575677022,1,False,False,False,nan,nan,nan,,nan
8,IFK Norrköping FK,Samuel Adeniyi Adegbenro,,83,46,,,20,25,goal,0.6875994967734562,,,1,False,False,False,nan,nan,nan,,bottom-left
9,Varbergs BoIS FC,Philip Mårtensson,,17,54,,,20,25,goal conceded,0.6875994967734562,,,1,False,False,False,nan,nan,nan,,bottom-left
10,Varbergs BoIS FC,André Boman,,17,70,,,21,26,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
11,Varbergs BoIS FC,André Boman,,17,70,,,21,26,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
12,IFK Norrköping FK,Linus Wahlqvist,,73,17,83.0,46.0,22,25,pass inaccurate,,,0.6153894958594146,1,False,False,False,nan,nan,nan,,nan
13,IFK Norrköping FK,Linus Wahlqvist,,73,17,83.0,46.0,22,25,cross inacurate,,,0.6153894958594146,1,False,False,False,nan,nan,nan,,nan
14,Varbergs BoIS FC,Joakim Lindner,Anton Liljenbäck,26,35,36.0,7.0,73,76,pass accurate,,-0.0006341390131263652,0.8721113563135814,2,False,False,False,nan,nan,nan,,nan
15,IFK Norrköping FK,Viktor Agardius,,45,81,,,77,80,foul,,,,2,False,False,False,nan,nan,nan,,nan
16,Varbergs BoIS FC,Anton Liljenbäck,Oliver Alfonsi,56,11,60.0,5.0,90,93,pass accurate,,0.002890132064769336,0.6770652113877632,2,False,False,False,nan,nan,nan,,nan
17,Varbergs BoIS FC,Anton Liljenbäck,,36,7,56.0,11.0,73,93,carry,,0.0035036896676580217,,2,False,False,False,nan,nan,nan,,nan
