external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Norrköping FK,Sead Haksabanovic,Marco Lund Nielsen,51,49,32.0,54.0,0,3,pass accurate,,-0.005149041375285539,0.8786857382041054,1,False,False,False,nan,nan,nan,,nan
1,IFK Norrköping FK,Marco Lund Nielsen,,33,49,74.0,9.0,2,5,pass inaccurate,,,0.4603326469326306,1,False,False,False,nan,nan,nan,,nan
2,IFK Norrköping FK,Abdulrazaq Ishaq,,74,9,,,5,8,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
3,IFK Norrköping FK,Abdulrazaq Ishaq,,74,9,,,5,8,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
4,Örebro,Benjamin Hjertstrand,,27,90,,,5,8,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
5,Örebro,Benjamin Hjertstrand,,27,90,,,5,8,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
6,IFK Norrköping FK,Linus Wahlqvist,Carl Björk,73,1,86.0,14.0,16,19,pass accurate,,0.013795264962309477,0.6435770111043521,1,False,False,False,nan,nan,nan,,nan
7,IFK Norrköping FK,Carl Björk,Linus Wahlqvist,85,13,75.0,9.0,19,22,pass accurate,,-0.00799899047943901,0.6375670439658966,1,False,False,False,nan,nan,nan,,nan
8,IFK Norrköping FK,Linus Wahlqvist,Abdulrazaq Ishaq,76,11,86.0,8.0,20,23,pass accurate,,0.006001420018364626,0.6879049602951054,1,False,False,False,nan,nan,nan,,nan
9,Örebro,Romain Gall,,19,92,,,21,26,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
10,Örebro,Romain Gall,,19,92,,,21,26,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
11,Örebro,Romain Gall,Benjamin Hjertstrand,22,90,22.0,94.0,22,25,pass accurate,,,0.35003320300912655,1,False,False,False,nan,nan,nan,,nan
12,Örebro,Benjamin Hjertstrand,,20,96,23.0,99.0,23,26,pass inaccurate,,,0.0770425307755781,1,False,False,False,nan,nan,nan,,nan
13,Örebro,Benjamin Hjertstrand,Nordin Gerzic,23,99,26.0,90.0,33,36,pass accurate,,0.0011950902385294143,0.8790650024526007,1,False,False,False,nan,nan,nan,,nan
14,Örebro,Nordin Gerzic,Benjamin Hjertstrand,26,91,21.0,94.0,34,37,pass accurate,,-0.0011950902385294143,0.8517636079881564,1,False,False,False,nan,nan,nan,,nan
15,Örebro,Benjamin Hjertstrand,Deniz Hümmet,22,95,38.0,81.0,35,38,pass accurate,,0.004173340225658224,0.7629797294611155,1,False,False,False,nan,nan,nan,,nan
16,Örebro,Deniz Hümmet,,39,78,,,37,42,lost ball,,,,1,False,False,False,nan,nan,nan,,nan
17,IFK Norrköping FK,Ísak Bergmann Jóhannesson,Sead Haksabanovic,66,33,71.0,59.0,39,42,pass accurate,,0.004952044215217857,0.6699180169401029,1,False,False,False,counter,nan,nan,,nan
18,IFK Norrköping FK,Sead Haksabanovic,Jonathan Levi,71,57,59.0,75.0,40,43,pass accurate,,-0.00630203431442216,0.8245634817964301,1,False,False,False,counter,nan,nan,,nan
19,IFK Norrköping FK,Ísak Bergmann Jóhannesson,,72,90,,,41,66,final third entry,,,,1,False,False,False,counter,nan,nan,,nan
20,IFK Norrköping FK,Jonathan Levi,Ísak Bergmann Jóhannesson,60,77,59.0,67.0,43,46,pass accurate,,0.0009416788209277889,0.7875098788956261,1,False,False,False,counter,nan,nan,,nan
21,IFK Norrköping FK,Ísak Bergmann Jóhannesson,Jonathan Levi,58,68,59.0,80.0,45,48,pass accurate,,0.002285596281785481,0.7832678133031049,1,False,False,False,counter,nan,nan,,nan
22,IFK Norrköping FK,Jonathan Levi,Ísak Bergmann Jóhannesson,58,78,68.0,90.0,47,50,pass accurate,,0.004741717686177215,0.7319623565448763,1,False,False,False,counter,nan,nan,,nan
23,IFK Norrköping FK,Ísak Bergmann Jóhannesson,,72,90,92.0,70.0,50,53,pass into the box,,,,1,False,False,False,counter,nan,nan,,nan
24,IFK Norrköping FK,Ísak Bergmann Jóhannesson,,72,90,92.0,70.0,50,53,pass inaccurate,,,0.550273956094083,1,False,False,False,counter,nan,nan,,nan
25,IFK Norrköping FK,Ísak Bergmann Jóhannesson,,72,90,92.0,70.0,50,53,cross inacurate,,,0.550273956094083,1,False,False,False,counter,nan,nan,,nan
26,Örebro,Michael Almebäck,Johan Mårtensson,8,30,24.0,24.0,69,72,pass accurate,,0.0009964868489762135,0.8963140544584606,2,False,False,False,nan,nan,nan,,nan
27,Örebro,Johan Mårtensson,Daniel Björnkvist,23,25,24.0,3.0,71,74,pass accurate,,-0.0021311896497578538,0.9145157844996715,2,False,False,False,nan,nan,nan,,nan
28,Örebro,Daniel Björnkvist,,25,5,35.0,5.0,72,75,pass inaccurate,,,0.7777319355019265,2,False,False,False,nan,nan,nan,,nan
29,Örebro,Daniel Björnkvist,Nordin Gerzic,19,1,26.0,9.0,85,88,pass accurate,,0.0013203561167510723,0.7639506569107922,2,False,False,False,nan,nan,nan,,nan
30,Örebro,Nordin Gerzic,Daniel Björnkvist,27,6,17.0,5.0,89,92,pass accurate,,-0.0013203561167510723,0.9383430174767853,2,False,False,False,nan,nan,nan,,nan
