external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Östersund,home,Blair Sebastian Turgott,Noah Sonko Sundberg,49,52,28.0,49.0,0,3,pass accurate,,-0.0025869714088918878,0.9161791357261458,1,False,False,False,nan,nan,nan,,nan
1,Östersund,home,Noah Sonko Sundberg,,29,50,97.0,48.0,3,6,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
2,Östersund,home,Noah Sonko Sundberg,,29,50,97.0,48.0,3,6,pass inaccurate,,,0.15272384692019356,1,False,False,False,nan,nan,nan,,nan
3,Hammarby,away,Oliver Dovin,Jón Gudni Fjóluson,3,52,10.0,72.0,8,18,pass accurate,,,,1,False,False,False,nan,nan,nan,,nan
4,Hammarby,away,Oliver Dovin,Jón Gudni Fjóluson,3,52,10.0,72.0,8,18,goalkeeper kick accurate,,,,1,False,False,False,nan,nan,nan,,nan
5,Hammarby,away,Jón Gudni Fjóluson,Mohanad Jeahze,13,76,20.0,94.0,15,18,pass accurate,,-0.00014021077967341783,0.9334470932761753,1,False,False,False,nan,nan,nan,,nan
6,Hammarby,away,Mohanad Jeahze,Astrit Selmani,23,95,46.0,75.0,18,21,pass accurate,,0.005585814517544627,0.6729037401305468,1,False,False,False,nan,nan,nan,,nan
7,Hammarby,away,Astrit Selmani,,45,80,36.0,94.0,20,23,pass inaccurate,,,0.9111892940290206,1,False,False,False,nan,nan,nan,,nan
8,Östersund,home,Felix Hörberg,Ludvig Fritzson,64,6,64.0,13.0,21,24,pass accurate,,0.0020636961028419123,0.5538617283050418,1,False,False,False,nan,nan,nan,,nan
9,Östersund,home,Ludvig Fritzson,Patrick Kpozo,66,27,66.0,72.0,26,29,pass accurate,,-0.0004083112782765144,0.7166028013993069,1,False,False,False,nan,nan,nan,,nan
10,Östersund,home,Ludvig Fritzson,,64,13,66.0,27.0,21,29,carry,,0.0005115672019537672,,1,False,False,False,nan,nan,nan,,nan
11,Östersund,home,Patrick Kpozo,Eirik Haugan,65,69,48.0,70.0,29,32,pass accurate,,-0.005534162189993114,0.8481404932501304,1,False,False,False,nan,nan,nan,,nan
12,Östersund,home,Eirik Haugan,,49,70,73.0,27.0,33,36,pass inaccurate,,,0.6057617975638655,1,False,False,False,nan,nan,nan,,nan
13,Hammarby,away,Mohanad Jeahze,,27,73,,,35,40,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
14,Hammarby,away,Mohanad Jeahze,,27,73,,,35,40,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
15,Hammarby,away,Mohanad Jeahze,Darijan Bojanic,32,71,32.0,66.0,36,39,pass accurate,,,0.5784697156358019,1,False,False,False,nan,nan,nan,,nan
16,Hammarby,away,Darijan Bojanic,David Accam,33,61,45.0,41.0,39,42,pass accurate,,0.0027792499557864475,0.8103798942126422,1,False,False,False,nan,nan,nan,,nan
17,Hammarby,away,David Accam,Mohammed Aziz Ouattara,42,29,39.0,15.0,42,45,pass accurate,,-0.0021919980827624225,0.851948465545587,1,False,False,False,nan,nan,nan,,nan
18,Hammarby,away,Mohammed Aziz Ouattara,,47,7,94.0,44.0,45,48,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
19,Hammarby,away,Mohammed Aziz Ouattara,,47,7,94.0,44.0,45,48,pass inaccurate,,,0.332549106012146,1,False,False,False,nan,nan,nan,,nan
20,Östersund,home,Aly Keita,,6,56,5.0,58.0,68,78,pass inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
21,Östersund,home,Aly Keita,,6,56,5.0,58.0,68,78,goalkeeper kick inaccurate,,,,2,False,False,False,nan,nan,nan,,nan
22,Östersund,home,Aly Keita,Sebastian Karlsson Grach,5,58,54.0,88.0,73,76,pass accurate,,0.0032790136287159776,0.6632686269149796,2,False,False,False,nan,nan,nan,,nan
23,Östersund,home,Sebastian Karlsson Grach,Nikolaos Dosis,54,88,46.0,72.0,76,79,pass accurate,,0.00046334056228138423,0.8317235391437601,2,False,False,False,nan,nan,nan,,nan
24,Östersund,home,Nikolaos Dosis,,46,72,56.0,59.0,77,80,pass inaccurate,,,0.7503004646046084,2,False,False,False,nan,nan,nan,,nan
25,Hammarby,away,Darijan Bojanic,Jeppe Andrup Andersen,44,41,43.0,26.0,79,82,pass accurate,,-0.00027401153327540756,0.8723365048389043,2,False,False,False,nan,nan,nan,,nan
26,Hammarby,away,Jeppe Andrup Andersen,,43,27,53.0,27.0,82,85,pass inaccurate,,,0.7172174751776283,2,False,False,False,nan,nan,nan,,nan
27,Hammarby,away,Jeppe Andrup Andersen,,40,34,,,82,85,air challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
28,Hammarby,away,Jeppe Andrup Andersen,,40,34,,,82,85,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
29,Östersund,home,Simon Kroon,,60,66,,,82,85,air challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
30,Östersund,home,Simon Kroon,,60,66,,,82,85,challenge successful,,,,2,False,False,False,nan,nan,nan,,nan
31,Östersund,home,Patrick Kpozo,,52,72,46.0,67.0,83,86,pass inaccurate,,,0.8239046013430738,2,False,False,False,nan,nan,nan,,nan
