external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,IFK Norrköping FK,Maic Sema,Marco Lund Nielsen,51,48,32.0,50.0,0,3,Pass accurate,,-0.005149041375285539,0.8821105643271655,1,False,False,False,,,,,
1,IFK Norrköping FK,Marco Lund Nielsen,,33,52,93.0,49.0,2,5,Pass into the box,,,,1,False,False,False,,,,,
2,IFK Norrköping FK,Marco Lund Nielsen,,33,52,93.0,49.0,2,5,Pass inaccurate,,,0.3444893197865633,1,False,False,False,,,,,
3,Malmö FF,Johan Dahlin,Felix Beijmo,7,51,11.0,11.0,2,12,Pass accurate,,,,1,False,False,False,,,,,
4,Malmö FF,Johan Dahlin,Felix Beijmo,7,51,11.0,11.0,2,12,Goalkeeper throw accurate,,,,1,False,False,False,,,,,
5,Malmö FF,Felix Beijmo,Adi Nalic,12,14,40.0,37.0,15,18,Pass accurate,,0.004568414923602158,0.6462604348028635,1,False,False,False,,,,,
6,Malmö FF,Adi Nalic,Antonio Colak,39,29,44.0,34.0,18,21,Pass accurate,,0.0014392921092553218,0.8068495666599635,1,False,False,False,,,,,
7,Malmö FF,Antonio Colak,Adi Nalic,43,34,43.0,26.0,19,22,Pass accurate,,,0.7967631127813434,1,False,False,False,,,,,
8,Malmö FF,Adi Nalic,Jo Inge Berget,45,26,66.0,14.0,20,23,Pass accurate,,0.005083756970905816,0.6694108243221324,1,False,False,False,,,,,
9,Malmö FF,Jo Inge Berget,,70,10,89.0,34.0,25,28,Pass into the box,,,,1,False,False,False,,,,,
10,Malmö FF,Jo Inge Berget,,70,10,89.0,34.0,25,28,Pass inaccurate,,,0.49195455031091667,1,False,False,False,,,,,
11,Malmö FF,Jo Inge Berget,,66,14,70.0,10.0,20,28,Carry,,0.0027287035445963045,,1,False,False,False,,,,,
12,Malmö FF,Adi Nalic,,89,34,,,28,31,Foul,,,,1,False,False,False,,,,,
13,IFK Norrköping FK,Oscar Jansson,Linus Wahlqvist,11,62,12.0,30.0,62,65,Pass accurate,,-0.0003730486797189417,0.9239418846026918,2,False,False,False,,,,,
14,IFK Norrköping FK,Linus Wahlqvist,Abdulrazaq Ishaq,10,30,28.0,5.0,64,67,Pass accurate,,-1.9274029212415153e-05,0.8634555548294006,2,False,False,False,,,,,
15,IFK Norrköping FK,Abdulrazaq Ishaq,Ísak Bergmann Jóhannesson,34,20,46.0,42.0,69,72,Pass accurate,,0.00246600961603783,0.736455375318389,2,False,False,False,,,,,
16,IFK Norrköping FK,Ísak Bergmann Jóhannesson,Maic Sema,54,46,88.0,11.0,73,76,Pass accurate,,0.016966352063962714,0.5389957635776514,2,False,False,False,,,,,
17,Malmö FF,Lasse Ladegaard Nielsen,,3,55,,,79,84,Clearance inaccurate,,,,2,False,False,False,,,,,
18,IFK Norrköping FK,Maic Sema,,96,12,91.0,24.0,79,82,Pass into the box,,,,2,False,False,False,,,,,
19,IFK Norrköping FK,Maic Sema,,96,12,91.0,24.0,79,82,Pass inaccurate,,,0.5980766929852565,2,False,False,False,,,,,
20,IFK Norrköping FK,Maic Sema,,96,12,91.0,24.0,79,82,Cross inacurate,,,0.5980766929852565,2,False,False,False,,,,,
21,IFK Norrköping FK,Ísak Bergmann Jóhannesson,,91,24,,,79,89,Penalty box entry unsuccessful,,,,2,False,False,False,,,,,
22,Malmö FF,Erdal Rakip,,13,58,,,83,86,Air challenge unsuccessful,,,,2,False,False,False,,,,,
23,Malmö FF,Erdal Rakip,,13,58,,,83,86,Challenge unsuccessful,,,,2,False,False,False,,,,,
24,IFK Norrköping FK,Abdulrazaq Ishaq,,87,42,,,83,86,Air challenge successful,,,,2,False,False,False,,,,,
25,IFK Norrköping FK,Abdulrazaq Ishaq,,87,42,,,83,86,Challenge successful,,,,2,False,False,False,,,,,
26,Malmö FF,Johan Dahlin,Lasse Ladegaard Nielsen,6,51,6.0,59.0,86,96,Pass accurate,,,,2,False,False,False,,,,,
27,Malmö FF,Johan Dahlin,Lasse Ladegaard Nielsen,6,51,6.0,59.0,86,96,Goalkeeper kick accurate,,,,2,False,False,False,,,,,
28,IFK Norrköping FK,Maic Sema,Ísak Bergmann Jóhannesson,93,9,90.0,17.0,86,89,Pass accurate,,-0.023999843399526176,0.5984363610740707,2,False,False,False,,,,,
29,IFK Norrköping FK,Ísak Bergmann Jóhannesson,,90,23,96.0,44.0,88,91,Pass inaccurate,,,0.24114925257573216,2,False,False,False,,,,,
30,Malmö FF,Lasse Ladegaard Nielsen,Johan Dahlin,4,56,3.0,45.0,105,108,Pass accurate,,0.0003048817457324132,0.9213232373560731,2,False,False,False,,,,,
31,Malmö FF,Johan Dahlin,,2,42,46.0,25.0,108,111,Pass inaccurate,,,0.6620662430035087,2,False,False,False,,,,,
32,IFK Norrköping FK,Viktor Agardius,Alexander Fransson,54,75,58.0,66.0,110,113,Pass accurate,,0.0009031947206651243,0.7741556573031041,2,False,False,False,,,,,
33,IFK Norrköping FK,Alexander Fransson,Viktor Agardius,59,61,79.0,61.0,112,115,Pass accurate,,0.022338635384128162,0.6143727612292031,2,False,False,False,,,,,
