external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Hammarby,Mohanad Jeahze,Jón Gudni Fjóluson,61,100,32.0,84.0,0,2,pass accurate,,-0.005950165817746333,0.8369137640941329,1,False,False,False,nan,nan,nan,,nan
1,Hammarby,Jón Gudni Fjóluson,Astrit Selmani,31,84,70.0,90.0,3,5,pass accurate,,0.009875492343226044,0.4874896983871589,1,False,False,False,nan,nan,nan,,nan
2,Hammarby,Astrit Selmani,,72,92,70.0,93.0,6,8,pass inaccurate,,,0.1345060138018565,1,False,False,False,nan,nan,nan,,nan
3,Malmö FF,Anel Ahmedhodzic,,30,7,,,7,12,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
4,Hammarby,Mohanad Jeahze,Mads Fenger Nielsen,67,99,66.0,86.0,16,18,pass accurate,,-0.0015529266837266097,0.80070466789277,1,False,False,False,nan,nan,nan,,nan
5,Hammarby,Mads Fenger Nielsen,Mohanad Jeahze,68,84,67.0,95.0,17,19,pass accurate,,-0.003384757163740343,0.8005215207894858,1,False,False,False,nan,nan,nan,,nan
6,Hammarby,Mohanad Jeahze,Jón Gudni Fjóluson,67,94,48.0,91.0,19,21,pass accurate,,-0.008502937661810298,0.8486258358475045,1,False,False,False,nan,nan,nan,,nan
7,Hammarby,Jón Gudni Fjóluson,Richard Magyar,47,93,35.0,67.0,20,22,pass accurate,,0.0009593812291700133,0.8730100184018674,1,False,False,False,nan,nan,nan,,nan
8,Hammarby,Richard Magyar,Jón Gudni Fjóluson,34,70,33.0,83.0,23,25,pass accurate,,-0.00233193591058576,0.8612316282472083,1,False,False,False,nan,nan,nan,,nan
9,Hammarby,Jón Gudni Fjóluson,,35,88,93.0,74.0,26,28,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
10,Hammarby,Jón Gudni Fjóluson,,35,88,93.0,74.0,26,28,pass inaccurate,,,0.36640623244833137,1,False,False,False,nan,nan,nan,,nan
11,Malmö FF,Marko Johansson,,7,26,,,32,37,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
12,Malmö FF,Marko Johansson,,7,26,,,32,37,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
13,Malmö FF,Marko Johansson,Anel Ahmedhodzic,9,43,13.0,25.0,37,47,pass accurate,,,,1,False,False,False,nan,nan,nan,,nan
14,Malmö FF,Marko Johansson,Anel Ahmedhodzic,9,43,13.0,25.0,37,47,goalkeeper throw accurate,,,,1,False,False,False,nan,nan,nan,,nan
15,Malmö FF,Anel Ahmedhodzic,Franz Brorsson,20,30,13.0,69.0,44,46,pass accurate,,-0.0015509676021901782,0.9248711216931212,1,False,False,False,nan,nan,nan,,nan
16,Malmö FF,Franz Brorsson,Anel Ahmedhodzic,13,68,19.0,30.0,47,49,pass accurate,,0.0015509676021901782,0.9194013653984622,1,False,False,False,nan,nan,nan,,nan
17,Malmö FF,Anel Ahmedhodzic,Franz Brorsson,28,36,29.0,59.0,53,55,pass accurate,,0.00023438342872604892,0.8766332856334041,1,False,False,False,nan,nan,nan,,nan
18,Malmö FF,Franz Brorsson,Anel Ahmedhodzic,27,57,30.0,33.0,55,57,pass accurate,,-0.00023438342872604892,0.8805303803597406,1,False,False,False,nan,nan,nan,,nan
19,Malmö FF,Søren Rieks,,80,40,,,56,81,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
20,Malmö FF,Søren Rieks,,80,39,,,57,61,offside,,,,1,False,False,False,nan,nan,nan,,nan
21,Malmö FF,Anel Ahmedhodzic,Antonio Colak,34,26,55.0,46.0,59,61,pass accurate,,0.004083095062029821,0.6842391365924779,1,False,False,False,nan,nan,nan,,nan
22,Malmö FF,Antonio Colak,Ola Toivonen,57,49,55.0,55.0,61,63,pass accurate,0.03310967998925877,4.646610075046548e-06,0.6732075593663503,2,False,False,False,nan,nan,nan,,nan
23,Malmö FF,Søren Rieks,,80,40,,,61,64,shot on target,0.03310967998925877,,,2,False,False,False,nan,nan,nan,True,-
24,Hammarby,David Ousted,,20,60,,,61,64,shot on target saved,,,,2,False,False,False,nan,nan,nan,,-
25,Malmö FF,Søren Rieks,,80,40,,,61,64,shot,0.03310967998925877,,,2,False,False,False,nan,nan,right foot,True,nan
26,Hammarby,David Ousted,,1,49,,,61,64,save,0.03310967998925877,,,2,False,False,False,nan,nan,high saves,True,-
27,Malmö FF,Ola Toivonen,Søren Rieks,57,56,78.0,38.0,62,64,pass accurate,,0.025316964242130143,0.5763871092052769,2,False,False,False,nan,nan,nan,,nan
28,Malmö FF,Ola Toivonen,Søren Rieks,57,56,78.0,38.0,62,64,key pass,,,0.5763871092052769,2,False,False,False,nan,nan,nan,,nan
29,Hammarby,David Ousted,Jón Gudni Fjóluson,19,60,27.0,73.0,83,85,pass accurate,,0.0009346435171379321,0.8655824212168374,2,False,False,False,nan,nan,nan,,nan
30,Hammarby,Jón Gudni Fjóluson,,31,78,64.0,80.0,86,88,pass inaccurate,,,0.5493167057674676,2,False,False,False,nan,nan,nan,,nan
31,Malmö FF,Eric Larsson,Jo Inge Berget,36,20,45.0,9.0,88,90,pass accurate,,0.00014427313560944587,0.7468272864602014,2,False,False,False,nan,nan,nan,,nan
32,Malmö FF,Jo Inge Berget,Anders Bleg Christiansen,46,12,47.0,19.0,90,92,pass accurate,,0.0012554265433123452,0.633710850044978,2,False,False,False,nan,nan,nan,,nan
33,Hammarby,Gustav Ludwigson,,53,83,,,90,95,tackle successful,,,,2,False,False,False,nan,nan,nan,,nan
34,Hammarby,Gustav Ludwigson,,53,83,,,90,95,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
35,Malmö FF,Anders Bleg Christiansen,,46,17,,,91,96,lost ball,,,,2,False,False,False,nan,nan,nan,,nan
36,Hammarby,Gustav Ludwigson,Abdul Rahman Khalili,57,84,64.0,76.0,93,95,pass accurate,,0.0031887910024506055,0.7426911480027857,2,False,False,False,nan,nan,nan,,nan
37,Hammarby,Abdul Rahman Khalili,Gustav Ludwigson,65,81,70.0,91.0,95,97,pass accurate,,0.0015529266837266097,0.7656322284673968,2,False,False,False,nan,nan,nan,,nan
38,Hammarby,Gustav Ludwigson,Mohanad Jeahze,77,90,68.0,96.0,101,103,pass accurate,,-0.005687958262245885,0.5356622540236333,2,False,False,False,nan,nan,nan,,nan
39,Hammarby,Gustav Ludwigson,,70,91,77.0,90.0,95,103,carry,,0.005687958262245885,,2,False,False,False,nan,nan,nan,,nan
40,Hammarby,Mohanad Jeahze,Jón Gudni Fjóluson,63,73,52.0,90.0,106,108,pass accurate,,-0.005997502752274498,0.8549565913285212,2,False,False,False,nan,nan,nan,,nan
41,Hammarby,Mohanad Jeahze,,68,96,63.0,73.0,101,108,carry,,-0.0006112478627988208,,2,False,False,False,nan,nan,nan,,nan
42,Hammarby,Jón Gudni Fjóluson,Gustav Ludwigson,55,88,66.0,92.0,108,110,pass accurate,,0.002683424089593607,0.7400192994098069,2,False,False,False,nan,nan,nan,,nan
43,Hammarby,Gustav Ludwigson,,67,96,,,109,114,lost ball,,,,2,False,False,False,nan,nan,nan,,nan
44,Malmö FF,Eric Larsson,,32,6,,,110,115,tackle successful,,,,2,False,False,False,nan,nan,nan,,nan
45,Malmö FF,Eric Larsson,,32,6,,,110,115,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
46,Malmö FF,Eric Larsson,,33,5,47.0,17.0,112,114,pass inaccurate,,,0.6663470530765101,2,False,False,False,nan,nan,nan,,nan
47,Hammarby,Mads Fenger Nielsen,,53,83,,,112,117,interception succesful,,,,2,False,False,False,nan,nan,nan,,nan
48,Hammarby,Mads Fenger Nielsen,,53,83,,,112,117,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
49,Hammarby,Mads Fenger Nielsen,Jón Gudni Fjóluson,53,84,38.0,87.0,113,115,pass accurate,,-0.003549975383081031,0.8720756001930384,2,False,False,False,nan,nan,nan,,nan
50,Hammarby,Jón Gudni Fjóluson,Mohanad Jeahze,37,84,50.0,92.0,115,117,pass accurate,,0.0016829424541849273,0.7703464612607017,2,False,False,False,nan,nan,nan,,nan
51,Hammarby,Mohanad Jeahze,,47,91,47.0,81.0,115,117,pass inaccurate,,,0.8024208525563129,2,False,False,False,nan,nan,nan,,nan
